absorbance_6.5_1A,6.5_1A,6.5_2A,6.5_3A,6.5_4A,6.5_5A,6.5_6A
525.5073,0.0781889,0.04448973,0.02023399,0.03072013,0.01720048,0.06109243
525.9894,0.08463534,0.04643975,0.01993281,0.03175639,0.01949794,0.06217147
526.4715,0.0831466,0.04631435,0.0217546,0.03052041,0.02275789,0.06437934
526.9536,0.07758079,0.04557918,0.02456293,0.02805256,0.02601432,0.06669511
527.4357,0.06842594,0.04468983,0.02611722,0.02671169,0.02775003,0.06737767
527.9178,0.06114775,0.04379237,0.02742391,0.02487911,0.02816968,0.07021903
528.4,0.05457323,0.04223515,0.02897085,0.02339951,0.02858872,0.07054812
528.8821,0.04946452,0.04200159,0.02959311,0.0227527,0.02920265,0.06885605
529.3642,0.04465596,0.04266433,0.02985331,0.02261692,0.03006362,0.06635308
529.8463,0.03898478,0.04314075,0.03024262,0.02273363,0.0316821,0.06423365
530.3284,0.03209915,0.04247187,0.03100739,0.02273187,0.03466066,0.06277613
530.8105,0.02453241,0.04031105,0.03224033,0.02223463,0.03879931,0.06148088
531.2927,0.01760135,0.03717938,0.03377605,0.02093262,0.04317819,0.05937877
531.7748,0.01283089,0.03429269,0.03518301,0.01879654,0.04673181,0.05546719
532.2569,0.01121265,0.03308437,0.03606309,0.01623763,0.04864286,0.04913133
532.739,0.01276768,0.03448386,0.03612114,0.01411565,0.04811992,0.04082926
533.2211,0.01631457,0.03838281,0.03532659,0.01339677,0.04519618,0.03202969
533.7032,0.02021231,0.04388138,0.03370953,0.01460334,0.04120792,0.02472022
534.1854,0.02250381,0.04965434,0.03163502,0.01775872,0.03848667,0.0205363
534.6675,0.02184625,0.05446636,0.02977782,0.022389,0.0389122,0.02041049
535.1496,0.01805946,0.05763875,0.02888533,0.02779906,0.0430332,0.02434625
535.6317,0.01221761,0.05916915,0.02946102,0.03333574,0.04994488,0.03131665
536.1138,0.006180927,0.05964379,0.03163307,0.03860825,0.05741534,0.03969855
536.5959,0.001693007,0.05965798,0.03522556,0.04358655,0.06275872,0.04775286
537.0781,0.0,0.05936892,0.03957115,0.04847847,0.0638338,0.05379236
537.5602,0.001493644,0.05864704,0.04361694,0.05346602,0.06021595,0.05662648
538.0423,0.005603261,0.05755515,0.04646009,0.05840039,0.05337788,0.05562792
538.5244,0.01111621,0.05656476,0.04768658,0.06281485,0.04576383,0.05112608
539.0065,0.01639803,0.05411403,0.04945984,0.06483968,0.03981086,0.04503711
539.4886,0.02290972,0.05477958,0.04903413,0.0652947,0.036801,0.0401759
539.9708,0.02746227,0.05672373,0.04811346,0.0643843,0.03725322,0.03457619
540.4529,0.03142094,0.05912147,0.04791887,0.06123843,0.03949498,0.03193724
540.935,0.03494006,0.06076462,0.04901852,0.05633846,0.04125895,0.03307068
541.4171,0.03696798,0.06188207,0.05010144,0.0522094,0.04086019,0.03510939
541.8992,0.04050615,0.06122768,0.05247932,0.04750028,0.03724394,0.04254486
542.3813,0.04263352,0.0573318,0.05675485,0.04359222,0.03162201,0.04991056
542.8635,0.04407308,0.05257628,0.06116536,0.04155192,0.02565233,0.05523065
543.3456,0.04521506,0.04824682,0.06531252,0.04138266,0.02129005,0.05689373
543.8277,0.04957196,0.04700138,0.06962181,0.04229173,0.02120167,0.0531573
544.3098,0.05281886,0.04645809,0.07304262,0.04420732,0.02334563,0.04744055
544.7919,0.05779823,0.04764856,0.07637984,0.04606762,0.02814553,0.04063226
545.274,0.06332802,0.04896493,0.07951137,0.04733834,0.03384502,0.03555821
545.7562,0.07269055,0.05140932,0.08314522,0.04712296,0.04091259,0.0320004
546.2383,0.08045625,0.05052412,0.08715726,0.04521745,0.04656852,0.03182393
546.7204,0.08777651,0.04923093,0.08864927,0.0427513,0.05017543,0.03426452
547.2025,0.09279015,0.04640364,0.08772521,0.0396275,0.0513026,0.03755373
547.6846,0.09471729,0.04261385,0.0836731,0.03636138,0.0498192,0.04015276
548.1667,0.09313754,0.03815152,0.076464,0.03342093,0.04588789,0.04099947
548.6489,0.08801933,0.03219464,0.06744969,0.03077185,0.03997798,0.04023325
549.131,0.07955173,0.0257709,0.05641018,0.02980113,0.03297536,0.03703609
549.6131,0.06989689,0.01887552,0.04498139,0.02992403,0.02600317,0.03373405
550.0952,0.06068459,0.0120469,0.03436528,0.03078573,0.02027886,0.03128333
550.5773,0.05317651,0.006033123,0.02536569,0.03179726,0.01657691,0.03027748
551.0594,0.04825504,0.001749441,0.01838663,0.03224848,0.01510831,0.03090443
551.5416,0.04639905,0.0,0.01345686,0.03157113,0.01544673,0.03277894
552.0237,0.0459275,0.0001463592,0.01005511,0.0298003,0.01588823,0.03589207
552.5058,0.04586988,0.001540259,0.00800786,0.02727994,0.0151227,0.0394678
552.9879,0.04995558,0.005612724,0.008283578,0.02408287,0.01437672,0.04065175
553.47,0.05422112,0.00857728,0.01117994,0.02096304,0.01236862,0.03952925
553.9521,0.0590152,0.01161744,0.0146385,0.01954999,0.009302981,0.03595649
554.4343,0.06360341,0.0138103,0.01856194,0.0199921,0.005933676,0.03000434
554.9164,0.06751136,0.01510476,0.02242646,0.02202315,0.003042933,0.02237123
555.3985,0.07054859,0.0164185,0.02511382,0.02512667,0.001152411,0.01432126
555.8806,0.07231623,0.01839386,0.02596842,0.0284541,0.0002653375,0.007230632
556.3627,0.07182287,0.02026094,0.02553375,0.03080283,5.882233e-05,0.002140529
556.8448,0.06915434,0.02295442,0.02304585,0.03206045,5.544722e-05,0.0
557.327,0.06422065,0.02608105,0.01886638,0.03220874,1.867861e-05,0.0008984432
557.8091,0.05726353,0.02900961,0.01370823,0.03157786,0.0,0.004259735
558.2912,0.04889992,0.03104553,0.008456448,0.03066025,0.0002224669,0.009037159
558.7733,0.03959846,0.02953435,0.005844967,0.02860469,0.001069177,0.01471549
559.2554,0.0355753,0.03032179,0.003444238,0.02682393,0.003762685,0.01985457
559.7375,0.02965171,0.02836629,0.001595998,0.02613369,0.006000716,0.02328121
560.2197,0.02632993,0.02545459,0.001284182,0.02518877,0.008547671,0.0254642
560.7018,0.02595414,0.02223942,0.002289465,0.0237758,0.01105897,0.02655337
561.1839,0.02738928,0.01893955,0.004161051,0.02197289,0.01300752,0.02717815
561.666,0.02874392,0.0172948,0.005213413,0.02151815,0.01461072,0.02504037
562.1481,0.03480656,0.01851673,0.007370314,0.02009956,0.01680941,0.02484547
562.6302,0.04016943,0.02045427,0.01061477,0.01908924,0.01915918,0.02474634
563.1124,0.04458135,0.02422357,0.01387713,0.01925414,0.02151126,0.02548822
563.5945,0.04740398,0.02947457,0.01708884,0.0206699,0.02358313,0.02760903
564.0766,0.04826536,0.03561661,0.0201824,0.02312965,0.02505209,0.03145213
564.5587,0.04711238,0.04200515,0.02300862,0.02624937,0.0257812,0.03704066
565.0408,0.04413468,0.04807521,0.02538955,0.02953979,0.02589557,0.04403204
565.5229,0.03970787,0.05344648,0.02710784,0.03256969,0.02571099,0.0517836
566.0051,0.03426759,0.05791525,0.02797181,0.03502789,0.02557579,0.05957796
566.4872,0.02831209,0.06131025,0.02784171,0.036691,0.02570294,0.06676053
566.9693,0.0223755,0.06345131,0.0267015,0.03742289,0.02603658,0.07295719
567.4514,0.01696384,0.06415723,0.02479505,0.0371572,0.02630142,0.07806383
567.9335,0.01266065,0.06331017,0.02260097,0.0359201,0.02625695,0.08204847
568.4156,0.01358772,0.0630104,0.02155053,0.03335984,0.02763204,0.08312541
568.8978,0.01277697,0.05949489,0.02053787,0.03060266,0.02743522,0.08441851
569.3799,0.01356046,0.05427484,0.02188241,0.02694141,0.02825686,0.08343073
569.862,0.01706573,0.05110739,0.02287446,0.02393003,0.03038039,0.08054328
570.3441,0.02194477,0.0490292,0.02435701,0.0212271,0.03411046,0.07566984
570.8262,0.02692094,0.04736356,0.02645434,0.01854667,0.03913371,0.069415
571.3083,0.03167196,0.04707661,0.02772213,0.01619187,0.04451582,0.06314141
571.7905,0.03556802,0.04812723,0.02763656,0.01408952,0.04913124,0.05820352
572.2726,0.03817353,0.05033308,0.02606958,0.01220257,0.05205322,0.05561627
572.7547,0.03869368,0.05206272,0.02453966,0.01006532,0.05308364,0.05535683
573.2368,0.03872534,0.05582352,0.0213938,0.008980781,0.05243139,0.05731982
573.7189,0.03818295,0.06004216,0.01844115,0.008803866,0.05106393,0.06013302
574.201,0.03768088,0.06441393,0.01623133,0.009867795,0.0499253,0.06268701
574.6832,0.03776713,0.06850287,0.01497895,0.01235596,0.04958929,0.06430775
575.1653,0.03872247,0.07182702,0.01460465,0.01612774,0.05008928,0.06496155
575.6474,0.04045389,0.07403349,0.01482072,0.0206698,0.05097926,0.06509798
576.1295,0.04252943,0.07513399,0.01527568,0.02513564,0.05167347,0.06527174
576.6116,0.04430778,0.07559875,0.01575246,0.02861633,0.05178077,0.06570313
577.0938,0.04515869,0.07607742,0.01628349,0.03050049,0.05128768,0.06613772
577.5759,0.04461746,0.07715382,0.01706222,0.03065112,0.05047058,0.06598905
578.058,0.04251106,0.07903834,0.01834558,0.02940283,0.04978752,0.064681
578.5401,0.03899422,0.08146122,0.02022882,0.02735269,0.04952699,0.06204695
579.0222,0.03447114,0.08370434,0.02260648,0.02519018,0.04972873,0.05849305
