absorbance_6.10_1 (1),6.10_1 (1),6.10_2,6.10_3,6.10_4
525.5073,0.0304281,0.04689878,0.0516961,0.0004012585
525.9894,0.0319596,0.04877264,0.05430624,0.009453848
526.4715,0.03453048,0.04652175,0.05296053,0.02464274
526.9536,0.03808432,0.04353729,0.05100093,0.04208443
527.4357,0.04216788,0.04163659,0.04843126,0.05801099
527.9178,0.04727757,0.04058661,0.04564179,0.07006016
528.4,0.0488628,0.03943845,0.04198007,0.07725475
528.8821,0.04791707,0.03890773,0.03892962,0.07990322
529.3642,0.04520594,0.03801685,0.03667617,0.07916558
529.8463,0.04198861,0.03618022,0.03517154,0.07660222
530.3284,0.03964461,0.03341038,0.03419014,0.07359375
530.8105,0.03951116,0.03012183,0.03359644,0.0708386
531.2927,0.04206949,0.02683846,0.0334388,0.06832981
531.7748,0.04654264,0.02408565,0.03374033,0.06545945
532.2569,0.05136835,0.0222413,0.03457477,0.06139088
532.739,0.05490742,0.02154057,0.03605528,0.0553246
533.2211,0.05594732,0.02190726,0.03808155,0.04687763
533.7032,0.0537922,0.02292743,0.04015747,0.03633535
534.1854,0.0487963,0.02392526,0.04135583,0.02483799
534.6675,0.04249338,0.02420092,0.0407775,0.01420606
535.1496,0.03677798,0.02337475,0.03784062,0.006381363
535.6317,0.03309257,0.02163233,0.03245132,0.003070191
536.1138,0.03203785,0.01966543,0.02515309,0.005077541
536.5959,0.03336693,0.01831007,0.01701714,0.01207382
537.0781,0.03584822,0.01838745,0.009440828,0.02256844
537.5602,0.03772978,0.02027735,0.003756286,0.03431202
538.0423,0.03773385,0.02361401,0.0007806886,0.04499854
538.5244,0.03583526,0.02731299,0.0009356178,0.05280814
539.0065,0.03129768,0.02798984,0.002683416,0.05707356
539.4886,0.02927707,0.02816883,0.008167161,0.05828175
539.9708,0.02692027,0.02620689,0.01521287,0.05784339
540.4529,0.02486617,0.02214811,0.02284532,0.05747515
540.935,0.0224421,0.01707526,0.0300558,0.05861101
541.4171,0.01891831,0.01376209,0.03669495,0.06189936
541.8992,0.01581059,0.01184287,0.04186827,0.06691255
542.3813,0.01032437,0.01021135,0.04406162,0.07233133
542.8635,0.004846826,0.009715587,0.04433781,0.07634936
543.3456,0.0007122457,0.009570016,0.04300977,0.07738874
543.8277,0.0,0.01077009,0.04302696,0.07442364
544.3098,0.002909064,0.00956296,0.03990037,0.06738001
544.7919,0.01042363,0.007443666,0.0361941,0.05719838
545.274,0.0214242,0.004107254,0.03122063,0.04576727
545.7562,0.03455598,0.002712179,0.02920642,0.03543206
546.2383,0.04517978,0.0001843106,0.02625035,0.02814874
546.7204,0.05413973,0.0,0.02555154,0.02512395
547.2025,0.05908237,0.0009493083,0.02611517,0.02656381
547.6846,0.05998974,0.002801517,0.02747394,0.03195469
548.1667,0.05738159,0.005099479,0.02870025,0.04041098
548.6489,0.05154298,0.006695626,0.02824522,0.05101062
549.131,0.0438308,0.008617649,0.02609393,0.06299064
549.6131,0.03576227,0.01074449,0.02225876,0.07566223
550.0952,0.02837098,0.01331635,0.01765503,0.08836961
550.5773,0.02247905,0.01647877,0.01356599,0.1003989
551.0594,0.01875445,0.02028904,0.01141912,0.1107912
551.5416,0.01766615,0.02482401,0.01238844,0.1184083
552.0237,0.01909107,0.0290126,0.01540688,0.1221455
552.5058,0.02288399,0.03219726,0.01965251,0.121112
552.9879,0.02949321,0.0365277,0.02810031,0.1150914
553.47,0.0362616,0.0386367,0.03611774,0.1046894
553.9521,0.04413997,0.039917,0.04384532,0.0913094
554.4343,0.05149896,0.03971262,0.05015029,0.07675673
554.9164,0.05711902,0.03801368,0.05461418,0.06286757
555.3985,0.06048316,0.03571367,0.05756612,0.05132801
555.8806,0.06123064,0.0335505,0.05928626,0.04327748
556.3627,0.0584123,0.03124119,0.05927229,0.03923055
556.8448,0.05364097,0.03005667,0.05829538,0.03896273
557.327,0.04801603,0.03005774,0.05649257,0.04158019
557.8091,0.04280906,0.03090983,0.05408757,0.04575133
558.2912,0.03922146,0.03206728,0.0514372,0.05005423
558.7733,0.03621032,0.03097199,0.04750858,0.05345645
559.2554,0.03889655,0.03308847,0.04823512,0.05543025
559.7375,0.04234948,0.03321574,0.04700045,0.05598404
560.2197,0.04694475,0.03293172,0.04613996,0.05548552
560.7018,0.05157627,0.03255382,0.04530757,0.05446274
561.1839,0.05498436,0.03170299,0.04322848,0.05339913
561.666,0.05652721,0.03166973,0.04023188,0.05259228
562.1481,0.05859803,0.03274094,0.03859385,0.05218034
562.6302,0.05875431,0.03267851,0.03582622,0.05215763
563.1124,0.05889861,0.03255393,0.03309662,0.05243818
563.5945,0.05967844,0.03267759,0.0307312,0.05288775
564.0766,0.06131187,0.03357556,0.02875966,0.05334662
564.5587,0.06346211,0.0357677,0.02690794,0.05365861
565.0408,0.06553644,0.03953173,0.02472688,0.05369274
565.5229,0.06699619,0.04469499,0.02186924,0.05340356
566.0051,0.06767476,0.0506151,0.01824873,0.05286046
566.4872,0.06788379,0.05623724,0.01407388,0.05227297
566.9693,0.06834565,0.06040785,0.009765184,0.05194416
567.4514,0.0699513,0.06214647,0.005767605,0.05216617
567.9335,0.07331622,0.06087905,0.002441395,0.05313616
568.4156,0.07910409,0.05889246,0.003303437,0.05484927
568.8978,0.08490534,0.0520675,0.001512261,0.05710487
569.3799,0.08887363,0.04264377,0.0,0.05958733
569.862,0.09283239,0.03442969,0.001056772,0.06201173
570.3441,0.09446795,0.02694016,0.004039447,0.06418794
570.8262,0.09268888,0.02003479,0.008560551,0.06600403
571.3083,0.08899404,0.0150154,0.01515198,0.06736401
571.7905,0.08463751,0.01218567,0.02329895,0.06809387
572.2726,0.08095627,0.0115162,0.03187064,0.06789818
572.7547,0.07748068,0.01136253,0.03853224,0.06644785
573.2368,0.0772053,0.01361114,0.04378911,0.06350002
573.7189,0.07856027,0.01642501,0.04594323,0.05907974
574.201,0.08092267,0.01923025,0.04488435,0.05359237
574.6832,0.08362854,0.0216659,0.04119712,0.04786202
575.1653,0.08616814,0.02358299,0.03596113,0.04299737
575.6474,0.08821526,0.02503524,0.03030098,0.03997207
576.1295,0.08953822,0.02615634,0.02514882,0.03930645
576.6116,0.08997202,0.02704658,0.02104293,0.04075928
577.0938,0.08946986,0.02771077,0.01809306,0.04347547
