absorbance_2.7_1A,2.7_1A,2.7_2A,2.7_3A,2.7_4A
525.5073,0.06068694,0.01006436,0.004752927,0.06045848
525.9894,0.0661648,0.002653634,0.0,0.05804267
526.4715,0.06848231,0.0,0.001524948,0.0571334
526.9536,0.06722057,0.001900531,0.006469801,0.05747022
527.4357,0.06511305,0.006596141,0.01334672,0.05874334
527.9178,0.06374756,0.01222252,0.01781753,0.06062042
528.4,0.0617037,0.01753066,0.02163524,0.06258515
528.8821,0.05962062,0.02198394,0.02417936,0.06384113
529.3642,0.05723606,0.02545615,0.02611033,0.06345873
529.8463,0.05445283,0.02778739,0.02850788,0.06059126
530.3284,0.05153978,0.02859312,0.03225307,0.05494319
530.8105,0.04903964,0.02738415,0.03734019,0.04704002
531.2927,0.04670985,0.02386205,0.04304003,0.03818863
531.7748,0.0436976,0.01837317,0.04827459,0.03008752
532.2569,0.03928882,0.01205114,0.05188493,0.02419255
532.739,0.0336017,0.006796464,0.05283765,0.02146552
533.2211,0.02760535,0.004695445,0.05094288,0.02197728
533.7032,0.02236276,0.007202799,0.04714301,0.02491267
534.1854,0.01919943,0.01470451,0.0433059,0.02868307
534.6675,0.01908815,0.02616826,0.04133777,0.03144869
535.1496,0.02219173,0.03955961,0.0425217,0.03178135
535.6317,0.02765969,0.05226118,0.04727432,0.02901187
536.1138,0.03419089,0.06195942,0.05469694,0.02351548
536.5959,0.0404706,0.06725621,0.06303249,0.01645672
537.0781,0.04518884,0.06783254,0.07053725,0.009450667
537.5602,0.04728997,0.06449388,0.07626067,0.003922477
538.0423,0.04629745,0.05869568,0.08013186,0.000709448
538.5244,0.04252983,0.05211483,0.08235785,0.0
539.0065,0.0358179,0.04607393,0.08365135,0.001433514
539.4886,0.0289464,0.04135693,0.08251046,0.004426654
539.9708,0.02096778,0.03827154,0.08192581,0.008405492
540.4529,0.01312625,0.0367315,0.08092158,0.01298837
540.935,0.006630212,0.03646022,0.0795254,0.01796778
541.4171,0.002769251,0.03712507,0.07867534,0.02322425
541.8992,0.003105446,0.03846746,0.0756715,0.02862877
542.3813,0.005971901,0.04033339,0.07320102,0.03393515
542.8635,0.0110741,0.04266982,0.07124691,0.03870533
543.3456,0.01689991,0.04550212,0.07033932,0.04236648
543.8277,0.02067117,0.04887962,0.0697203,0.04423913
544.3098,0.02435243,0.05282556,0.0712726,0.04370588
544.7919,0.0269809,0.05728318,0.07352671,0.04046146
545.274,0.02994615,0.06206147,0.07621179,0.03471448
545.7562,0.03208646,0.06680791,0.07705231,0.02732707
546.2383,0.03489573,0.0710614,0.07764897,0.01960901
546.7204,0.03881199,0.07426746,0.0763339,0.01315142
547.2025,0.04203138,0.07586251,0.073981,0.009378053
