absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5
525.5073,0.06638022,0.03620045,0.002781309,0.006744228,0.02494656
525.9894,0.07036655,0.03649636,0.0002163947,0.0004225299,0.02799305
526.4715,0.07101476,0.03472028,0.0,0.0,0.02925305
526.9536,0.06889167,0.03321121,0.0004414991,0.004174702,0.03059081
527.4357,0.06577753,0.03198219,0.003753372,0.007993788,0.02988338
527.9178,0.06592084,0.03464825,0.007392749,0.009470887,0.0309374
528.4,0.06577768,0.03777411,0.008113965,0.01622121,0.03355974
528.8821,0.0664452,0.03950498,0.007508464,0.02263021,0.03688982
529.3642,0.06719569,0.04041392,0.006570283,0.02891093,0.03966773
529.8463,0.06708935,0.04146038,0.006416835,0.03548439,0.04091898
530.3284,0.06555634,0.04272671,0.007510208,0.04299011,0.04048212
530.8105,0.06285749,0.0439036,0.009718604,0.05189595,0.03886005
531.2927,0.05982009,0.04461255,0.01259677,0.06196886,0.03740383
531.7748,0.05740578,0.04443327,0.01559857,0.07225642,0.03779499
532.2569,0.0563222,0.04308207,0.01815633,0.08156943,0.04118062
532.739,0.05686594,0.04121143,0.01999355,0.08867934,0.04731674
533.2211,0.0586807,0.04008209,0.02108881,0.0928845,0.05469255
533.7032,0.06107166,0.04065795,0.02146138,0.09392622,0.0617112
534.1854,0.0633094,0.04286514,0.02097105,0.09228519,0.06702989
534.6675,0.06513867,0.0461602,0.01946981,0.08871292,0.07015724
535.1496,0.06669914,0.04983686,0.01697055,0.08376202,0.07145816
535.6317,0.0680756,0.0529579,0.01378039,0.07763819,0.07182307
536.1138,0.06916609,0.05474574,0.01057305,0.07034263,0.07194628
536.5959,0.06944022,0.05500004,0.008285418,0.06213254,0.07184297
537.0781,0.06778817,0.05401346,0.007909216,0.0537399,0.07094279
537.5602,0.0631836,0.05228822,0.009916637,0.0461452,0.06866083
538.0423,0.05545316,0.0500929,0.01403699,0.04038201,0.06484964
538.5244,0.04575539,0.04787322,0.01928402,0.03719188,0.05984714
539.0065,0.03465701,0.04814392,0.02172282,0.0441181,0.05540588
539.4886,0.0278322,0.04907662,0.0250931,0.04536655,0.05168001
539.9708,0.02190706,0.04912202,0.02645001,0.04940138,0.04822088
540.4529,0.01799034,0.05006662,0.02548076,0.05497242,0.04578649
540.935,0.01500224,0.05193229,0.02278129,0.06190022,0.04338047
541.4171,0.01103351,0.05171673,0.0211429,0.06676998,0.03833295
541.8992,0.008931726,0.05394623,0.02075613,0.06802225,0.0325178
542.3813,0.005118527,0.05694872,0.020357,0.07372732,0.02508044
542.8635,0.001773976,0.05937581,0.02204417,0.0777186,0.01644026
543.3456,0.0,0.06071057,0.02563288,0.07905138,0.007987902
543.8277,0.0001530573,0.05969847,0.0277636,0.07765682,0.003984779
544.3098,0.003692277,0.05793365,0.03293044,0.07186048,0.0004019067
544.7919,0.009749852,0.05497635,0.03812477,0.06283793,0.0
545.274,0.01740228,0.05150031,0.04403361,0.05177862,0.001292527
545.7562,0.02427904,0.04652864,0.04638536,0.04189923,0.007251881
546.2383,0.0285172,0.04239347,0.04711993,0.03964911,0.01319125
546.7204,0.03174378,0.03775231,0.04870417,0.03626842,0.01807806
547.2025,0.03284232,0.03399105,0.05005644,0.03640934,0.02111732
547.6846,0.03245276,0.03155995,0.05162603,0.03885474,0.02191568
548.1667,0.03119939,0.03072766,0.05345575,0.04286661,0.02077998
548.6489,0.02913949,0.03201494,0.05449393,0.05059981,0.018875
549.131,0.02657735,0.03269934,0.05618153,0.05821151,0.01618156
549.6131,0.02468185,0.03250539,0.05802953,0.06498063,0.0144992
550.0952,0.02388828,0.03031965,0.05977603,0.07051373,0.01470384
550.5773,0.02457739,0.02579629,0.06130473,0.07448457,0.0170011
551.0594,0.02697331,0.0195101,0.06254265,0.07641489,0.02105758
551.5416,0.03084153,0.01260202,0.06321643,0.07588764,0.0261671
552.0237,0.03572822,0.006751165,0.06462364,0.07238445,0.02966784
552.5058,0.04050291,0.003094018,0.06685244,0.06622043,0.03010605
552.9879,0.04301769,0.0006581321,0.06513999,0.05959104,0.03141955
553.47,0.04168557,0.0004212186,0.06054775,0.05775498,0.03144906
553.9521,0.03823789,0.0003482252,0.05582239,0.05447249,0.0304508
554.4343,0.03295886,0.0001818314,0.05090333,0.05281771,0.02955533
