absorbance_5.1_1A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
525.5073,0.02341545,0.0006854385,0.006598722,0.04595782,0.07407514
525.9894,0.02907893,0.006118923,0.000587156,0.05546068,0.07601707
526.4715,0.03263846,0.01516619,0.0,0.06326249,0.07612722
526.9536,0.03407707,0.02533495,0.002549194,0.06960089,0.07872132
527.4357,0.03306046,0.03364764,0.008848701,0.07472518,0.0824801
527.9178,0.03178729,0.0379646,0.01304153,0.0786027,0.08358201
528.4,0.02836246,0.0374229,0.01434457,0.08092161,0.08148897
528.8821,0.0239042,0.03263219,0.01327124,0.08127436,0.07795029
529.3642,0.01977555,0.02528788,0.01223974,0.07947174,0.07402387
529.8463,0.01746548,0.01774707,0.01374773,0.07570252,0.07121471
530.3284,0.01759889,0.01234251,0.01826954,0.07060532,0.07059086
530.8105,0.01967609,0.01062781,0.02428352,0.06498979,0.07216431
531.2927,0.02243973,0.01327045,0.02958986,0.05959495,0.07485595
531.7748,0.02448115,0.01997911,0.03233017,0.05473785,0.0769849
532.2569,0.02468324,0.02985071,0.03143991,0.05026378,0.07707088
532.739,0.02269872,0.04160416,0.02727219,0.04570785,0.07451913
533.2211,0.01921462,0.0539105,0.02149131,0.04065187,0.06978489
533.7032,0.01594456,0.06569247,0.01611706,0.03503538,0.06404086
534.1854,0.01469718,0.07617337,0.01236388,0.0292433,0.05844894
534.6675,0.01665099,0.08501709,0.0102564,0.02397319,0.05355399
535.1496,0.02188681,0.09222569,0.009099731,0.01992379,0.04910494
535.6317,0.02933161,0.09794953,0.008131851,0.01763923,0.04451635
536.1138,0.03715905,0.1022985,0.006994683,0.01735156,0.03944017
536.5959,0.04335265,0.1052489,0.006181045,0.01899831,0.03407776
537.0781,0.04625838,0.1066563,0.00706007,0.02227126,0.02938136
537.5602,0.04536615,0.106396,0.01085194,0.02666271,0.02667544
538.0423,0.04130144,0.1045227,0.01759017,0.03154536,0.02676797
538.5244,0.03549383,0.1014136,0.02573652,0.03618788,0.02955241
539.0065,0.02951476,0.09775058,0.03204372,0.03990663,0.03172321
539.4886,0.02517019,0.09438652,0.03533166,0.04213953,0.03436557
539.9708,0.02052387,0.09220666,0.03603125,0.04249339,0.03546324
540.4529,0.01624803,0.09182873,0.03376398,0.04084743,0.03298673
540.935,0.01181385,0.09347904,0.03052001,0.03736287,0.02699688
541.4171,0.006049126,0.09692943,0.030426,0.03245907,0.02081245
541.8992,0.002394944,0.10161,0.03216001,0.02666602,0.0135444
542.3813,0.0,0.1067909,0.03703131,0.02051102,0.00659246
542.8635,2.688169e-05,0.1117851,0.04418179,0.01445457,0.002069153
543.3456,0.00293456,0.1161631,0.05153127,0.00886903,0.0
543.8277,0.007518217,0.1197523,0.05353816,0.004195027,0.002896905
544.3098,0.01524492,0.1226128,0.05461887,0.001028821,0.004052766
544.7919,0.02421458,0.1248973,0.05169109,0.0,0.005489878
545.274,0.033782,0.1266829,0.04722221,0.001574844,0.005747579
545.7562,0.04124158,0.1278001,0.03861897,0.005695835,0.009584405
546.2383,0.04696527,0.1278377,0.03188457,0.01165659,0.01225916
546.7204,0.05035368,0.1262222,0.02786143,0.01817816,0.01750761
547.2025,0.05086248,0.1224579,0.02683009,0.02379432,0.02407799
547.6846,0.04849771,0.1163626,0.02835896,0.0273707,0.03123144
548.1667,0.04358429,0.1081495,0.03131702,0.02830787,0.03770725
548.6489,0.03695139,0.09845238,0.03414702,0.02683875,0.04151133
549.131,0.02905543,0.08811186,0.03717655,0.02393223,0.04346035
549.6131,0.02166767,0.07802618,0.03891171,0.02112339,0.04331765
550.0952,0.01562084,0.06884819,0.03887978,0.01991594,0.04224402
550.5773,0.01121458,0.06085813,0.03706341,0.02118625,0.04156206
551.0594,0.008251972,0.05407155,0.03377201,0.0249863,0.04249855
551.5416,0.006082475,0.04840265,0.02936615,0.03058313,0.04597587
552.0237,0.004630476,0.04389758,0.02630693,0.03690684,0.05041332
552.5058,0.003719792,0.04086702,0.02587814,0.04286669,0.05466206
552.9879,0.001918912,0.03981302,0.0234896,0.04773077,0.06237105
553.47,0.0007965118,0.04119842,0.0221821,0.05119031,0.0684253
553.9521,0.001697794,0.0452222,0.02211286,0.05324627,0.07352491
554.4343,0.005248755,0.05164081,0.02248046,0.05404661,0.07680152
554.9164,0.01155216,0.05981938,0.02252658,0.05370018,0.07812482
555.3985,0.0201095,0.06884578,0.02192039,0.0522128,0.07825613
555.8806,0.02988592,0.07781279,0.02077492,0.04954493,0.07789269
556.3627,0.039445,0.08597189,0.01945912,0.04573753,0.0768344
556.8448,0.04786874,0.09283546,0.01899992,0.04101817,0.07615524
557.327,0.0545895,0.09824619,0.0199856,0.03579433,0.07583871
557.8091,0.05956329,0.1022494,0.02251044,0.03058144,0.07549623
558.2912,0.06314614,0.1049343,0.02619353,0.02588115,0.07458381
558.7733,0.06589393,0.1062828,0.02933255,0.02199529,0.07059258
559.2554,0.06778288,0.1061152,0.02865691,0.01897539,0.07001552
559.7375,0.06943946,0.1041605,0.03098102,0.01663193,0.06623476
560.2197,0.07071792,0.1002509,0.03190501,0.01468372,0.06214806
560.7018,0.07174324,0.09447367,0.03126027,0.01291728,0.05871958
561.1839,0.07312629,0.0872407,0.02997944,0.01134425,0.05583171
561.666,0.07405843,0.07915289,0.0297598,0.01022439,0.05589481
562.1481,0.07643923,0.07087758,0.02466251,0.01001518,0.05950548
562.6302,0.07927209,0.06298448,0.01871509,0.01122328,0.06433029
563.1124,0.08223717,0.05586579,0.01292163,0.01420329,0.07080159
563.5945,0.08434062,0.04983254,0.008318698,0.01903164,0.0783737
564.0766,0.08444525,0.04513509,0.005903229,0.02537866,0.08651132
564.5587,0.08178469,0.04197478,0.006298002,0.03257733,0.09476633
565.0408,0.07626906,0.04049831,0.009409336,0.03967905,0.1026393
565.5229,0.06861507,0.04072009,0.0144312,0.04571016,0.1096353
566.0051,0.06004049,0.04248976,0.02021397,0.04991422,0.1152493
566.4872,0.05199705,0.04546639,0.02556165,0.05183373,0.1189793
566.9693,0.04571468,0.0491921,0.02965713,0.05147645,0.1205015
567.4514,0.04193202,0.05320839,0.03224948,0.04930462,0.1196901
567.9335,0.04086877,0.05714208,0.03355008,0.04620431,0.116734
568.4156,0.04082669,0.06084808,0.02976884,0.0432134,0.1160928
568.8978,0.04429609,0.06441369,0.02983866,0.04122431,0.1101101
569.3799,0.04887447,0.06807793,0.02887791,0.04083462,0.1028567
569.862,0.05467355,0.07204017,0.02750774,0.0422096,0.09729487
570.3441,0.06102657,0.07630207,0.02525117,0.04518901,0.09261949
570.8262,0.06731027,0.08057533,0.02203616,0.04939362,0.08829357
571.3083,0.0732106,0.08435938,0.01859058,0.05436049,0.0850906
571.7905,0.07830327,0.08710983,0.01571312,0.059595,0.08301499
572.2726,0.08232209,0.08844976,0.0140858,0.06456842,0.08190163
572.7547,0.08504109,0.08836873,0.01357483,0.06877393,0.08032457
573.2368,0.08722892,0.08721431,0.01436071,0.07169483,0.08007379
573.7189,0.08915775,0.08559426,0.01527169,0.07281153,0.0798862
574.201,0.09133983,0.08412093,0.01541618,0.07172467,0.07970044
574.6832,0.09411343,0.08328247,0.01429167,0.06823653,0.0797918
575.1653,0.09746042,0.08329707,0.01211383,0.06252141,0.08063309
575.6474,0.1009427,0.08406648,0.009768426,0.05517316,0.08266372
576.1295,0.1038723,0.08525433,0.008458063,0.04716855,0.0860452
576.6116,0.1055686,0.08646004,0.009099474,0.03959661,0.09045374
577.0938,0.1056774,0.08744278,0.01191781,0.03328355,0.09516205
577.5759,0.1042585,0.08819974,0.01648181,0.02871362,0.09926613
578.058,0.1017796,0.0889487,0.02195929,0.0260185,0.1019119
578.5401,0.09891281,0.08997288,0.02747667,0.02513908,0.1026553
579.0222,0.09645749,0.09149784,0.03238849,0.02600474,0.1014503
579.5043,0.09513307,0.09354832,0.036379,0.02858781,0.09871733
579.9865,0.09543245,0.09591636,0.03941713,0.03284016,0.09524645
580.4686,0.09749007,0.098176,0.04151089,0.03852992,0.09203656
580.9507,0.1010731,0.09983018,0.04263837,0.04511976,0.08997252
581.4328,0.1057112,0.1004893,0.04273653,0.05182416,0.08952942
581.9149,0.1108281,0.09993879,0.04177503,0.0576926,0.09071656
582.397,0.1158843,0.09819721,0.03984359,0.06188562,0.09306864
582.8792,0.1204433,0.09546398,0.03719823,0.06388435,0.09588851
583.3613,0.1241931,0.09209144,0.03424004,0.06355614,0.09843498
583.8434,0.1269861,0.08851664,0.03138655,0.06123739,0.1002259
584.3255,0.1288214,0.08519793,0.0289275,0.05761111,0.1011402
584.8076,0.1298144,0.08258127,0.02696768,0.0535733,0.101489
585.2897,0.1301415,0.08096505,0.02545876,0.04991051,0.1019087
585.7719,0.1299794,0.08044349,0.02431072,0.04712176,0.1031162
586.254,0.1294514,0.0808728,0.02355873,0.04537106,0.1056345
586.7361,0.1286174,0.08191145,0.02339753,0.04453396,0.1095273
587.2182,0.1275433,0.08310558,0.02394683,0.0443483,0.1157427
587.7003,0.1262836,0.08399297,0.02586585,0.04452665,0.1216557
588.1824,0.1248637,0.08425878,0.02922377,0.04483029,0.1262859
588.6646,0.1234288,0.08377641,0.03390124,0.04504006,0.1289934
589.1467,0.122278,0.08263098,0.03949954,0.04489902,0.1296875
589.6288,0.1217771,0.0810615,0.04537553,0.04412708,0.128796
590.1109,0.1222588,0.07940726,0.05064619,0.04244335,0.1270779
590.593,0.1238498,0.07803736,0.05434407,0.03970611,0.1253355
591.0751,0.1263546,0.07724865,0.05575252,0.03605458,0.1240891
591.5573,0.1292242,0.07722934,0.05462203,0.03199899,0.1234735
592.0394,0.1317011,0.07799714,0.05137452,0.02832902,0.1232493
592.5215,0.1331507,0.0794077,0.04692933,0.02577982,0.1230503
593.0036,0.1332572,0.08119309,0.04242578,0.02478348,0.122607
593.4857,0.1321664,0.08304794,0.03877542,0.0252545,0.1219142
593.9678,0.1303589,0.08472569,0.03636799,0.02667683,0.1211727
594.45,0.1284777,0.08606767,0.03510502,0.02827189,0.1206245
594.9321,0.1270727,0.08704541,0.03453469,0.02928134,0.1203374
595.4142,0.1264203,0.08774961,0.03415298,0.02921861,0.1201046
595.8963,0.1265009,0.08835453,0.03359662,0.02793354,0.1194486
