absorbance_2.4_1A,2.4_1A,2.4_2A,2.4_3A
525.5073,0.01429867,0.04487918,0.04645965
525.9894,0.01585226,0.03975013,0.04400625
526.4715,0.01627424,0.03588964,0.04199952
526.9536,0.01461644,0.03305639,0.04001559
527.4357,0.01445643,0.03072616,0.03642164
527.9178,0.01239195,0.02844093,0.03521246
528.4,0.009181164,0.02602206,0.03631894
528.8821,0.00757527,0.02364456,0.03810776
529.3642,0.007020254,0.02168511,0.04031703
529.8463,0.00682231,0.02054472,0.04232145
530.3284,0.006727111,0.02040678,0.043264
530.8105,0.00650011,0.02113465,0.04248903
531.2927,0.006132644,0.02232609,0.04015395
531.7748,0.005977824,0.0235025,0.0372755
532.2569,0.006368626,0.02435671,0.03508614
532.739,0.006977316,0.02489946,0.03470721
533.2211,0.007179536,0.02547229,0.03651275
533.7032,0.00670645,0.02653389,0.04031625
534.1854,0.005839378,0.02843026,0.0448905
534.6675,0.004747484,0.03115941,0.04868677
535.1496,0.003430851,0.03437108,0.05058452
535.6317,0.002052438,0.03745464,0.05021714
536.1138,0.0008183271,0.03975483,0.04812831
536.5959,0.0,0.04076201,0.04531822
537.0781,0.0002355352,0.04020441,0.04304101
537.5602,0.002300046,0.03813509,0.04237072
538.0423,0.006742813,0.03484078,0.04370742
538.5244,0.01294291,0.03072515,0.04680365
539.0065,0.01510324,0.02618558,0.05426518
539.4886,0.01852202,0.02160165,0.06112834
539.9708,0.02127739,0.0174512,0.0672339
540.4529,0.02107626,0.01431899,0.07426837
540.935,0.01817001,0.0128831,0.08220971
541.4171,0.01800762,0.0137898,0.08724886
541.8992,0.0174154,0.0173651,0.09296359
542.3813,0.01728359,0.02345593,0.09845115
542.8635,0.02142984,0.03133716,0.1011443
543.3456,0.03008809,0.03988393,0.1006271
543.8277,0.04194427,0.04767814,0.09573986
544.3098,0.05523891,0.05329137,0.08990389
544.7919,0.0673621,0.05573408,0.08301324
545.274,0.07666347,0.05466546,0.07681014
545.7562,0.08225856,0.0506095,0.07017832
546.2383,0.0825085,0.04472373,0.06705664
546.7204,0.08306541,0.03856751,0.0637909
547.2025,0.08281496,0.03367465,0.06191361
547.6846,0.08227172,0.03115837,0.06155318
548.1667,0.08097276,0.03159058,0.06322513
548.6489,0.07665956,0.03472751,0.06845333
549.131,0.07249715,0.03955409,0.07449477
549.6131,0.0682525,0.04439995,0.08106443
550.0952,0.06519891,0.04751479,0.08631644
550.5773,0.06425773,0.04768176,0.08867462
551.0594,0.06556902,0.0444467,0.08727729
551.5416,0.06829958,0.038303,0.08224791
552.0237,0.07117155,0.030446,0.07539529
552.5058,0.07249135,0.02254604,0.06857264
552.9879,0.07049149,0.01617571,0.06141679
553.47,0.06311788,0.01235002,0.05777669
553.9521,0.05458018,0.0112762,0.05563668
554.4343,0.04521802,0.01226229,0.05536007
554.9164,0.03610672,0.0140436,0.05652626
555.3985,0.02922273,0.01517006,0.05786911
555.8806,0.02528706,0.01463346,0.05866151
556.3627,0.02247575,0.01217002,0.05967092
556.8448,0.02203583,0.008356702,0.05940157
557.327,0.02350221,0.004300427,0.05753402
557.8091,0.02642813,0.00121804,0.05382061
558.2912,0.03052109,0.0,0.04813414
558.7733,0.03124357,0.0009163804,0.04382456
559.2554,0.03554533,0.003693435,0.03497339
559.7375,0.04164396,0.007680494,0.02620807
560.2197,0.04718544,0.01217846,0.01880191
560.7018,0.05150272,0.01660622,0.01399349
561.1839,0.05422356,0.02064281,0.01297077
561.666,0.05912467,0.02421959,0.01260462
562.1481,0.06104756,0.02738202,0.01518612
562.6302,0.06036217,0.03015193,0.02006476
563.1124,0.0594419,0.03245233,0.02458135
563.5945,0.05857885,0.03411754,0.02756791
564.0766,0.05804281,0.03499892,0.02824978
564.5587,0.0581919,0.0350749,0.0264057
565.0408,0.05939648,0.03449564,0.02229597
565.5229,0.06186793,0.03353497,0.01663449
566.0051,0.06544741,0.03244705,0.01039125
566.4872,0.06938592,0.03136016,0.004783273
566.9693,0.07232249,0.03016756,0.001022182
567.4514,0.07258967,0.0285547,0.0
567.9335,0.06879713,0.02609727,0.002096929
568.4156,0.06039693,0.02250274,0.005147967
568.8978,0.04929017,0.01780402,0.01183242
569.3799,0.03549122,0.01246645,0.02022075
569.862,0.02731623,0.007300232,0.02534429
570.3441,0.02444816,0.003258023,0.02827062
570.8262,0.0261176,0.001226541,0.03023864
571.3083,0.03305767,0.001675498,0.03094012
571.7905,0.04321903,0.004515026,0.03125928
572.2726,0.0538931,0.00907186,0.03200711
572.7547,0.06043763,0.01434794,0.03518564
573.2368,0.06630541,0.01929109,0.03744676
573.7189,0.06910427,0.02305675,0.03979541
574.201,0.06940557,0.02526206,0.04165564
574.6832,0.06807192,0.02601186,0.04260946
575.1653,0.065888,0.02592729,0.04261801
575.6474,0.06338638,0.02591982,0.04206736
576.1295,0.06096105,0.02694312,0.04164706
576.6116,0.05892781,0.0295686,0.04199728
577.0938,0.05756935,0.0337379,0.04336982
577.5759,0.05711197,0.03881093,0.04563372
578.058,0.05769072,0.0437809,0.04839645
578.5401,0.05916835,0.0476521,0.05127532
579.0222,0.0610723,0.04957961,0.05396979
579.5043,0.06275609,0.04917971,0.0563183
579.9865,0.0636609,0.04666757,0.05829987
580.4686,0.06354475,0.04285293,0.05993971
580.9507,0.06244887,0.03886678,0.06127047
581.4328,0.06057123,0.03570392,0.06228653
581.9149,0.05811205,0.03399279,0.0629494
582.397,0.05519558,0.03379895,0.06319101
582.8792,0.05190255,0.03474989,0.06295801
583.3613,0.04836018,0.03618682,0.06222476
583.8434,0.0449047,0.03742611,0.06104675
584.3255,0.04209952,0.03797075,0.05952864
584.8076,0.04060417,0.03761788,0.05783379
585.2897,0.04086457,0.03652441,0.05614892
585.7719,0.04288516,0.03510092,0.05465745
586.254,0.04617418,0.03388443,0.05351439
586.7361,0.04989406,0.03333396,0.05278627
587.2182,0.05137419,0.03374262,0.05319297
587.7003,0.05242996,0.03519668,0.05380353
588.1824,0.05311864,0.03757624,0.05427667
588.6646,0.05370241,0.04061386,0.05424341
589.1467,0.05451477,0.04394514,0.05342035
589.6288,0.05577423,0.0472106,0.051746
590.1109,0.05747845,0.05007122,0.049445
590.593,0.05936073,0.05225675,0.047048
591.0751,0.06102567,0.05361523,0.04522355
591.5573,0.06212288,0.05412177,0.04462873
592.0394,0.06256286,0.05388155,0.04562249
592.5215,0.06256871,0.05307365,0.0480988
593.0036,0.06255994,0.05190802,0.05150331
593.4857,0.06291331,0.05056942,0.05502431
593.9678,0.06375547,0.04919594,0.05792256
594.45,0.0649142,0.04791387,0.05966936
594.9321,0.06598265,0.04684896,0.06009184
595.4142,0.06653279,0.04611213,0.05933624
595.8963,0.0662678,0.04577773,0.0577649
596.3784,0.06518719,0.04581857,0.05581633
596.8605,0.06356259,0.04607917,0.0538692
597.3427,0.0618276,0.04627058,0.05223064
597.8248,0.06035235,0.04605541,0.05110401
598.3069,0.05927218,0.04517259,0.05061832
598.789,0.05844068,0.04354411,0.05085708
599.2711,0.05750664,0.04137477,0.05182737
599.7532,0.05612168,0.03911082,0.05342405
600.2354,0.0541224,0.03734593,0.05538668
600.7175,0.0516666,0.03656816,0.05733786
601.1996,0.04917491,0.03699148,0.05886688
601.6817,0.04719031,0.0384808,0.05961751
602.1638,0.04612037,0.0406005,0.05942023
602.6459,0.04610213,0.04275004,0.05831545
603.1281,0.04695348,0.04431953,0.05654122
603.6102,0.04826973,0.0449121,0.05442671
604.0923,0.0495814,0.04442258,0.05229782
604.5744,0.05052966,0.04307184,0.05038257
605.0565,0.05100616,0.04129642,0.0487569
605.5386,0.05114416,0.03961646,0.04738748
606.0208,0.05123004,0.03847001,0.04620899
606.5029,0.05152791,0.03807425,0.04520721
606.985,0.05216728,0.03842159,0.04445792
607.4671,0.05307041,0.03930349,0.04410756
607.9492,0.05400981,0.04041547,0.04429195
608.4313,0.05470596,0.04141191,0.04507007
608.9135,0.05496987,0.04198486,0.04636478
609.3956,0.05479663,0.04192334,0.04798836
609.8777,0.05437819,0.0411004,0.04968271
610.3598,0.05404472,0.03950165,0.05121233
610.8419,0.05412277,0.03721859,0.05243573
611.324,0.05484198,0.03445441,0.05330371
611.8062,0.05621397,0.03150009,0.05383651
612.2883,0.05802882,0.02867808,0.05405937
612.7704,0.05988605,0.02632319,0.05395382
613.2525,0.06132581,0.02469679,0.05344539
613.7346,0.06197325,0.0239399,0.0524465
614.2167,0.06161405,0.02405528,0.05091976
614.6989,0.06028159,0.02489707,0.04894641
615.181,0.05822967,0.02621425,0.04673975
615.6631,0.05588208,0.02768778,0.04463013
616.1452,0.05368403,0.02903761,0.04295123
616.6273,0.05198513,0.03009232,0.04194424
617.1094,0.05097195,0.03082848,0.0416842
617.5916,0.050619,0.03137161,0.04206001
618.0737,0.05073409,0.03193918,0.04282814
618.5558,0.05102324,0.03276362,0.04369788
619.0379,0.05120753,0.03398589,0.04445504
619.52,0.05108536,0.03560743,0.04501562
620.0021,0.05058479,0.037467,0.04544005
620.4843,0.04977569,0.03929958,0.0458724
