absorbance_2.9_1A,2.9_1A,2.9_2,2.9_3A,2.9_4A
525.5073,0.00732024,0.05088003,0.02431639,0.07032259
525.9894,0.002864011,0.04257931,0.02876032,0.06806274
526.4715,0.002120961,0.03664822,0.02990093,0.06634973
526.9536,0.003377363,0.03459319,0.02827431,0.06366464
527.4357,0.006050179,0.0366912,0.02453842,0.06304969
527.9178,0.009144587,0.04206047,0.02262694,0.06206618
528.4,0.01341457,0.04908273,0.02181535,0.06151859
528.8821,0.01712595,0.05584609,0.0234731,0.05999498
529.3642,0.0198426,0.06074437,0.02625962,0.05798551
529.8463,0.0213424,0.06267545,0.02801765,0.05660086
530.3284,0.02187378,0.06136481,0.02719273,0.05684865
530.8105,0.02188276,0.05735304,0.02353376,0.05925326
531.2927,0.02197431,0.05177192,0.01823076,0.06311709
531.7748,0.02261632,0.04594446,0.01340735,0.06674974
532.2569,0.02399196,0.04087167,0.01108039,0.06861205
532.739,0.02578135,0.0370704,0.01215561,0.06824101
533.2211,0.02729219,0.0343707,0.01612697,0.06642532
533.7032,0.02790215,0.03209168,0.02181487,0.06384351
534.1854,0.02727731,0.02931451,0.02805986,0.06114598
534.6675,0.02558561,0.02537285,0.03420366,0.05861107
535.1496,0.02346149,0.02018812,0.04013492,0.05604392
535.6317,0.0219621,0.01435644,0.04594047,0.0528435
536.1138,0.02208371,0.008921988,0.05151235,0.04846483
536.5959,0.02431935,0.004908659,0.05624811,0.04313646
537.0781,0.02840849,0.002952583,0.05905559,0.03792366
537.5602,0.03336676,0.002972398,0.05909101,0.03406113
538.0423,0.03782543,0.004277453,0.05647147,0.0323966
538.5244,0.04036956,0.005851001,0.05234053,0.03335626
539.0065,0.04176868,0.006819963,0.04713576,0.03734655
539.4886,0.03884771,0.006721579,0.04590602,0.04165103
539.9708,0.03422757,0.005577169,0.04687913,0.04768875
540.4529,0.02922343,0.003807403,0.05057747,0.05413006
540.935,0.02524384,0.002001941,0.05565825,0.06117745
541.4171,0.0225343,0.0006786846,0.06020305,0.0697447
541.8992,0.02149276,4.412979e-05,0.06434253,0.07790315
542.3813,0.02352444,0.0,0.06474183,0.08748959
542.8635,0.02682498,0.0002815276,0.06270959,0.09719511
543.3456,0.03059492,0.000685133,0.05922956,0.105952
543.8277,0.03228074,0.00118136,0.05718995,0.1100132
544.3098,0.03462799,0.001976348,0.05464533,0.1136873
544.7919,0.03575049,0.00340528,0.05353679,0.1147142
545.274,0.03638986,0.005831271,0.05319443,0.114773
545.7562,0.03435757,0.009495568,0.0554586,0.1110168
546.2383,0.03370082,0.01441411,0.05626611,0.1086042
546.7204,0.03211641,0.02036287,0.05746232,0.1059913
547.2025,0.03099271,0.02691539,0.05714848,0.1039588
547.6846,0.03039833,0.03353784,0.05468185,0.1021737
548.1667,0.0302558,0.03959211,0.04944165,0.1001989
548.6489,0.03089732,0.04444147,0.04078515,0.0978886
549.131,0.03124627,0.04760897,0.02955519,0.09527721
549.6131,0.03089476,0.04887461,0.01784107,0.09159462
550.0952,0.02959058,0.04843869,0.007873554,0.08668
550.5773,0.02737199,0.04685733,0.001535203,0.08058894
551.0594,0.02447224,0.04494515,0.0,0.07341035
551.5416,0.02108104,0.04347133,0.003305592,0.0651989
552.0237,0.01841459,0.04287203,0.009424288,0.05789
552.5058,0.0168423,0.04314936,0.01622024,0.0526344
552.9879,0.01356044,0.04382758,0.02431929,0.04598194
553.47,0.01122681,0.04415883,0.02975171,0.04160483
553.9521,0.008263528,0.04334095,0.03335447,0.03878224
554.4343,0.005299076,0.04090044,0.03468694,0.03753673
554.9164,0.002870359,0.03687907,0.03395874,0.03747153
555.3985,0.001139166,0.0318981,0.03189998,0.03787321
555.8806,0.0003928058,0.02697157,0.02883466,0.03837716
556.3627,0.001546977,0.02322863,0.02410258,0.03946299
556.8448,0.00364593,0.02162786,0.0188798,0.04083133
557.327,0.006295314,0.02263331,0.01387985,0.04271448
557.8091,0.009176625,0.0261928,0.0100521,0.04531595
558.2912,0.01221354,0.03180446,0.008322772,0.04875127
558.7733,0.01727065,0.03873575,0.00793704,0.0534255
559.2554,0.01944097,0.04613229,0.01406884,0.05416265
559.7375,0.0245483,0.05313063,0.02000318,0.05790707
560.2197,0.03071565,0.05901893,0.02680555,0.0607587
560.7018,0.037332,0.06323908,0.03321378,0.06211904
561.1839,0.04399988,0.06550246,0.03773882,0.06244287
561.666,0.04910211,0.06583992,0.03977651,0.06246163
562.1481,0.05020477,0.06458505,0.04261043,0.05794586
562.6302,0.04962355,0.06231758,0.04326059,0.05349464
563.1124,0.04678824,0.05969205,0.0429052,0.04961476
563.5945,0.04244273,0.05736555,0.04152045,0.04727137
564.0766,0.03746348,0.05580453,0.03889997,0.04693387
564.5587,0.03255671,0.05516792,0.03496899,0.04825839
565.0408,0.02814918,0.05530287,0.03013668,0.0500865
565.5229,0.02434042,0.0558242,0.02534952,0.0508495
566.0051,0.02104539,0.05631512,0.02182017,0.04919339
566.4872,0.01819756,0.05646685,0.02070819,0.0444196
566.9693,0.01589037,0.05622832,0.02251988,0.03692827
567.4514,0.01435486,0.05578039,0.02685881,0.02819523
567.9335,0.01388636,0.05542672,0.03243537,0.02047881
568.4156,0.01232798,0.05537931,0.03977702,0.01238192
568.8978,0.01434896,0.05560229,0.04335534,0.01211299
569.3799,0.01797776,0.05575792,0.04405575,0.01635324
569.862,0.02012636,0.05533917,0.04475128,0.02263851
570.3441,0.021308,0.0538696,0.04520675,0.02995773
570.8262,0.02175495,0.05108281,0.04557008,0.0371045
571.3083,0.02053452,0.04706712,0.04697737,0.04258636
571.7905,0.01764311,0.04224772,0.04929722,0.04599621
572.2726,0.01347216,0.03729847,0.05186841,0.04755888
572.7547,0.009780912,0.03290972,0.05279952,0.0485032
573.2368,0.005254757,0.0296723,0.05360957,0.04829784
573.7189,0.001771821,0.02798511,0.05298964,0.04809143
574.201,0.0,0.02799902,0.05095451,0.04818616
574.6832,0.0002989173,0.02966121,0.04758052,0.04879017
