absorbance_2.6_1A,2.6_1A,2.6_2A,2.6_3A,2.6_4A
525.5073,0.08923599,0.03570693,0.09868512,0.06431551
525.9894,0.1017209,0.03596411,0.09841695,0.06486695
526.4715,0.1075834,0.03709576,0.09263884,0.06302636
526.9536,0.1046975,0.03821598,0.08341238,0.06195371
527.4357,0.09344509,0.04090803,0.07372779,0.0622756
527.9178,0.07591131,0.04361327,0.06607353,0.06273805
528.4,0.0550126,0.04456767,0.06181619,0.06309031
528.8821,0.03408336,0.04551859,0.06079903,0.06454973
529.3642,0.01626249,0.04656328,0.0615551,0.06588104
529.8463,0.004362956,0.04767547,0.06186487,0.06564458
530.3284,0.0,0.04886594,0.05979913,0.06326728
530.8105,0.003003567,0.05037139,0.05471888,0.05930103
531.2927,0.01154231,0.05240481,0.0474412,0.05527927
531.7748,0.02264764,0.0550578,0.03988291,0.05312534
532.2569,0.0332675,0.0584389,0.03406961,0.05429289
532.739,0.0406279,0.06262267,0.03157143,0.05900929
533.2211,0.04308208,0.06738266,0.03279144,0.06590813
533.7032,0.040533,0.07204042,0.03689457,0.07270689
534.1854,0.03450016,0.07579893,0.04207281,0.07701331
534.6675,0.02754977,0.07798012,0.04635322,0.07729145
535.1496,0.02213902,0.07804894,0.04842594,0.07337842
535.6317,0.01993875,0.07549489,0.04786487,0.06653091
536.1138,0.02125273,0.07016038,0.04508196,0.05892471
536.5959,0.02525849,0.06229645,0.04080456,0.05269974
537.0781,0.03043633,0.05245561,0.03566272,0.04939443
537.5602,0.03520386,0.04157559,0.02990444,0.04947987
538.0423,0.03838748,0.03109955,0.02350522,0.05263522
538.5244,0.03934829,0.02301777,0.01651145,0.05798627
539.0065,0.03804088,0.0164805,0.009409457,0.06186587
539.4886,0.03478459,0.01642588,0.003319338,0.06753022
539.9708,0.03011741,0.02027955,0.0,0.0729948
540.4529,0.02468543,0.02573505,0.001236334,0.07650074
540.935,0.01927341,0.03022856,0.008205712,0.07709356
541.4171,0.01485602,0.03324333,0.02081163,0.07642739
541.8992,0.01238512,0.03269808,0.0375317,0.07222788
542.3813,0.01261598,0.0273236,0.05584761,0.0641413
542.8635,0.01579508,0.02002778,0.07297147,0.05480426
543.3456,0.02144099,0.01246148,0.08680098,0.04541057
543.8277,0.02827326,0.005005077,0.09610742,0.03992906
544.3098,0.03438755,0.001008332,0.1007091,0.03344159
544.7919,0.03792318,0.0,0.1013191,0.02865604
545.274,0.03754064,0.002267152,0.09929221,0.02423522
545.7562,0.03308403,0.005314805,0.0961641,0.02419994
546.2383,0.02563949,0.008049518,0.09305316,0.02292493
546.7204,0.01725708,0.01205161,0.09046134,0.02442313
547.2025,0.01023672,0.01548094,0.0881684,0.02719653
547.6846,0.006290186,0.01845796,0.08553933,0.03098194
548.1667,0.006259259,0.02110093,0.08184529,0.03485712
548.6489,0.009841774,0.02268972,0.07669339,0.03655227
549.131,0.01588656,0.02482901,0.07024072,0.03661738
549.6131,0.02272878,0.02736802,0.06322614,0.03426724
550.0952,0.02879648,0.03040142,0.0567156,0.03023708
550.5773,0.03305198,0.03393429,0.05166489,0.02587194
551.0594,0.03503342,0.03778645,0.04866884,0.02291654
551.5416,0.03488339,0.04149516,0.04770432,0.02304279
552.0237,0.03314503,0.04508142,0.04821945,0.02536125
552.5058,0.03059805,0.04793941,0.0493417,0.02910745
552.9879,0.02802776,0.04744506,0.0502908,0.03751308
553.47,0.0260893,0.04301872,0.05066765,0.04468442
553.9521,0.02527031,0.03714224,0.05053809,0.05101214
554.4343,0.02577842,0.03000061,0.05031632,0.05456404
554.9164,0.02752326,0.02249631,0.05047211,0.05438862
555.3985,0.03007064,0.01632523,0.05127421,0.05078417
555.8806,0.03271977,0.01262561,0.05259495,0.0442914
556.3627,0.03464613,0.01086579,0.05393334,0.03471335
556.8448,0.03513793,0.01219862,0.05458993,0.02446824
557.327,0.03392777,0.01622072,0.05403745,0.01503102
557.8091,0.03130116,0.02212505,0.05216312,0.007709377
558.2912,0.0280585,0.02887647,0.04939641,0.003437907
558.7733,0.02518737,0.03298831,0.04652767,0.0
559.2554,0.02360561,0.0370644,0.0444722,0.005027562
559.7375,0.02381839,0.04068351,0.04395458,0.010402
560.2197,0.02571905,0.0420171,0.04525831,0.01739223
560.7018,0.02860336,0.040944,0.04822705,0.02492791
561.1839,0.03139507,0.03792974,0.0523692,0.03113211
561.666,0.03311321,0.03486015,0.05711267,0.03738563
562.1481,0.03312495,0.02999373,0.06189997,0.04403046
562.6302,0.031403,0.0238708,0.06625351,0.0484171
563.1124,0.02845594,0.01866458,0.06974418,0.05181168
563.5945,0.02517546,0.01515717,0.07185932,0.05411496
564.0766,0.02249377,0.01376419,0.07205161,0.05513948
564.5587,0.02103178,0.0144343,0.06991512,0.05479389
565.0408,0.02098629,0.01688002,0.06533518,0.05330694
565.5229,0.02209208,0.02073096,0.05866562,0.05130298
566.0051,0.02384113,0.02570479,0.05066734,0.0496249
566.4872,0.02568541,0.03157289,0.04245514,0.04912484
566.9693,0.02729175,0.0381148,0.03521843,0.05026525
567.4514,0.02864769,0.04503653,0.02995626,0.05289419
567.9335,0.0300395,0.05179147,0.02736385,0.05621117
568.4156,0.03191242,0.05613785,0.02762179,0.06291082
568.8978,0.03464949,0.06046235,0.03046917,0.06413752
569.3799,0.03843053,0.06121211,0.03536136,0.06224304
569.862,0.04311977,0.06181146,0.04172017,0.06074299
570.3441,0.04831101,0.0609467,0.04903419,0.05875485
570.8262,0.05339538,0.05817514,0.05676804,0.05613099
571.3083,0.05776311,0.05528824,0.06427937,0.05452242
571.7905,0.06092489,0.05329602,0.07073259,0.05431817
572.2726,0.06260277,0.05310577,0.0751286,0.05546788
572.7547,0.06277256,0.05368207,0.07663093,0.05613846
573.2368,0.06156893,0.05794939,0.07476458,0.05887987
573.7189,0.05917101,0.06384305,0.06964505,0.06201075
574.201,0.05569351,0.0703169,0.06199753,0.06533925
574.6832,0.0511764,0.0760539,0.05311407,0.06864636
575.1653,0.04566338,0.07977621,0.04460362,0.07158701
575.6474,0.03931621,0.08065344,0.03785024,0.07372911
576.1295,0.03250217,0.07858739,0.03370994,0.07473826
576.6116,0.02578007,0.07432169,0.03220841,0.07461837
577.0938,0.01974569,0.06903346,0.03271636,0.07374391
577.5759,0.0149761,0.06395526,0.03432099,0.07275452
578.058,0.01193449,0.05994606,0.03627054,0.07230215
578.5401,0.01089751,0.05736008,0.03822693,0.07276441
579.0222,0.01195441,0.05616048,0.04020062,0.07410242
579.5043,0.01489393,0.05603367,0.04239169,0.07583237
579.9865,0.0192134,0.05661174,0.04493008,0.07725701
580.4686,0.02412323,0.05758072,0.04770379,0.07771046
580.9507,0.02878328,0.05888332,0.05031719,0.07689232
581.4328,0.03257399,0.06068849,0.05226875,0.07497736
581.9149,0.03520928,0.06327337,0.05314641,0.07254006
582.397,0.03681313,0.06680883,0.05286415,0.0703022
582.8792,0.03779619,0.07119726,0.05170302,0.06884017
583.3613,0.03871508,0.07603227,0.0502681,0.06845693
583.8434,0.04003727,0.08063009,0.04928081,0.06906955
584.3255,0.041981,0.08420944,0.04934517,0.0703074
584.8076,0.04445406,0.08603616,0.05079934,0.07162158
585.2897,0.04708672,0.08567041,0.05354375,0.07250184
585.7719,0.04938222,0.08307472,0.05706408,0.07262599
586.254,0.05084509,0.07861683,0.06051416,0.07190678
586.7361,0.05116527,0.07302108,0.06301233,0.07050438
587.2182,0.05026708,0.06752645,0.06386423,0.06833237
587.7003,0.04830533,0.06261677,0.0627574,0.06632759
588.1824,0.04557167,0.05900397,0.05987605,0.0649495
588.6646,0.04239594,0.05704476,0.05583948,0.06444712
589.1467,0.0390515,0.0566399,0.05160037,0.06481177
589.6288,0.03569375,0.05730727,0.04815046,0.06583321
590.1109,0.03241406,0.05829655,0.04637288,0.06719095
590.593,0.02931261,0.0587872,0.04676813,0.06856878
591.0751,0.02655327,0.05817533,0.04924728,0.06977756
591.5573,0.02439605,0.05621833,0.05310152,0.07079051
592.0394,0.02311911,0.05316177,0.05721793,0.0717456
592.5215,0.0228869,0.04960886,0.06058618,0.07284123
593.0036,0.02368139,0.04633518,0.06257662,0.07424712
593.4857,0.025282,0.04401324,0.06313886,0.07600506
593.9678,0.02735503,0.0430212,0.06265441,0.07800873
594.45,0.02953171,0.04345625,0.06171294,0.08002398
594.9321,0.03152285,0.04513076,0.06085497,0.08174898
595.4142,0.03319563,0.04766794,0.06039597,0.08290834
595.8963,0.03457085,0.05055299,0.06042283,0.08328688
596.3784,0.03579528,0.05326873,0.06083037,0.08279753
596.8605,0.03704387,0.05542988,0.06145158,0.08148304
597.3427,0.03845102,0.05683426,0.06214369,0.07948945
597.8248,0.04003423,0.05754419,0.06284395,0.07701878
598.3069,0.04169449,0.05784686,0.06353353,0.07427999
598.789,0.04324317,0.05820936,0.06415994,0.07149418
599.2711,0.04447637,0.05912089,0.06458618,0.06886707
599.7532,0.04523801,0.06092992,0.06460708,0.06659154
600.2354,0.04544608,0.06373847,0.06401771,0.06485421
600.7175,0.04510102,0.06732907,0.06274847,0.06379651
601.1996,0.04425859,0.07124667,0.06093366,0.0634909
601.6817,0.04301347,0.0748987,0.05890772,0.0639203
602.1638,0.04149342,0.07776004,0.05707945,0.06496895
602.6459,0.03987218,0.0794657,0.05579773,0.06643413
603.1281,0.03839099,0.07987224,0.05522754,0.06804621
603.6102,0.03730609,0.0790845,0.05527515,0.06954385
604.0923,0.03684222,0.0774049,0.05562935,0.07071221
604.5744,0.03710325,0.07526094,0.0558728,0.07143026
605.0565,0.03800796,0.07305937,0.05568451,0.07169625
605.5386,0.03928203,0.07112497,0.05495134,0.0716039
606.0208,0.04052248,0.06964552,0.05383135,0.07130667
606.5029,0.04136067,0.06866311,0.05266143,0.07095721
606.985,0.04156311,0.0681184,0.05183434,0.07068642
607.4671,0.04114092,0.06788656,0.05162138,0.07058831
607.9492,0.04033421,0.06782527,0.05205727,0.07071963
608.4313,0.03954259,0.06778142,0.05293577,0.07112159
608.9135,0.03917644,0.06761514,0.05387442,0.07182567
609.3956,0.03950047,0.06723039,0.05448128,0.07284567
609.8777,0.04058119,0.06659413,0.05445401,0.07416076
610.3598,0.04225555,0.06577523,0.05371122,0.07569353
610.8419,0.04421834,0.06494803,0.05240497,0.07730734
611.324,0.04608454,0.06438829,0.05088273,0.07880559
611.8062,0.04750665,0.06440108,0.04956641,0.07997321
612.2883,0.04824375,0.06521782,0.04881015,0.08062867
612.7704,0.04814196,0.06693175,0.04885603,0.08064044
613.2525,0.04713968,0.06942709,0.04976797,0.07996178
613.7346,0.04524467,0.07240918,0.05145445,0.07862736
614.2167,0.04253909,0.07543904,0.05369362,0.07674805
614.6989,0.03920361,0.07807053,0.05619369,0.07449315
615.181,0.03553318,0.07995993,0.05865366,0.07206692
615.6631,0.03196195,0.08091918,0.06079157,0.06970622
616.1452,0.02897087,0.08096321,0.06241579,0.06763086
