absorbance_1.1_1A,1.1_1A,1.1_2A,1.1_3A,1.1_4A,1.3_1,1.3_1A,1.3_2,1.3_2A,1.3_3,1.3_3A,1.3_4,1.3_4A,1.3_5,3.11_1,3.11_2,3.11_3,3.11_4,3.11_5,3.11_6,3.11_7,3.3_1A,3.3_2A,3.3_3A,3.3_4A,3.3_5A,6.6_1A (2),6.6_1A,6.6_2A (2),6.6_2A,6.6_3A (2),6.6_3A,6.6_4A (2),6.6_4A,6.6_5A,6.7_1A,6.7_2A,6.7_3A,6.7_4A,6.7_5A
525.5073,0.04676278,0.08338372,0.03826027,0.002374046,0.04420203,0.03338475,0.05471525,0.04225082,0.10609,0.042262,0.04231631,0.05890514,0.02695047,0.04051961,0.01767254,0.01449323,0.02167468,0.06441902,0.03897049,0.07438623,0.0382306,0.0,0.03367422,0.03394111,0.03440261,0.0,0.01881483,0.02952214,0.003387652,0.0633305,0.1057383,0.001394387,0.04551427,0.06612386,0.01013029,0.02678064,0.01019602,0.04824722,0.04723275
525.9894,0.04829139,0.09319635,0.04303366,0.007467456,0.04795922,0.03544825,0.04658703,0.04543005,0.09042995,0.04028641,0.0442005,0.05916642,0.02846327,0.04397343,0.01945751,0.01838178,0.01723062,0.0666299,0.03393061,0.06803347,0.03807174,0.0005142577,0.03564038,0.02936501,0.0369814,0.001498774,0.0179987,0.02325528,9.49949e-05,0.06416799,0.1030452,0.0,0.04542375,0.0718433,0.00691855,0.02755777,0.007301699,0.05397955,0.04384719
526.4715,0.04746647,0.1052104,0.04717494,0.01448815,0.04741444,0.03633929,0.03866594,0.04442739,0.07180248,0.04013341,0.04675233,0.05781616,0.02830505,0.04353973,0.0216342,0.02022979,0.01685588,0.0662258,0.03591502,0.06030499,0.03852518,0.003443375,0.03509136,0.02692671,0.03640573,0.00401257,0.01778485,0.02338825,0.0,0.06504777,0.100658,0.00208953,0.04544593,0.0715584,0.006785074,0.02870187,0.00697669,0.05642252,0.04366732
526.9536,0.04510882,0.1173343,0.04804816,0.02201062,0.04560092,0.03837858,0.03078008,0.04385352,0.05272157,0.04053612,0.04995532,0.05554685,0.02747912,0.04231189,0.02423988,0.01979663,0.01862113,0.06377241,0.04084361,0.0547088,0.03905463,0.005116083,0.03076134,0.02801601,0.03224597,0.005920611,0.01672234,0.026214,0.0009677745,0.06556994,0.0983036,0.005260356,0.04609993,0.06783418,0.008712507,0.02840532,0.009540271,0.05727279,0.04359838
527.4357,0.0444213,0.127115,0.04650616,0.028699,0.0394761,0.03884268,0.02278238,0.04437488,0.0353533,0.03997716,0.05330637,0.0587783,0.0267112,0.03949168,0.02717641,0.01772105,0.02258166,0.06029248,0.04580478,0.0539369,0.03983786,0.003906332,0.02673635,0.03179076,0.02801932,0.005342811,0.01534838,0.02905057,0.002322845,0.06655519,0.09621167,0.007908046,0.04473409,0.06316328,0.01092,0.02598332,0.0125421,0.05313267,0.04678881
527.9178,0.04327604,0.1325047,0.04445394,0.0339233,0.03598914,0.03843614,0.0148734,0.04316086,0.02099883,0.03944337,0.05471342,0.06107244,0.0247504,0.0366107,0.03020524,0.01514662,0.02569942,0.0580488,0.0504023,0.05893066,0.04074483,0.003012147,0.02520736,0.03591985,0.02772507,0.004112706,0.01506618,0.03156509,0.002706252,0.06556505,0.09678598,0.01186925,0.04088967,0.05971767,0.01179003,0.02603303,0.01335213,0.04792995,0.04927129
528.4,0.04175405,0.1318655,0.0409092,0.03775319,0.03608195,0.03727997,0.007723372,0.04146858,0.01026475,0.03756379,0.05119769,0.05746853,0.02157607,0.03686813,0.03295092,0.01343331,0.02683895,0.05548296,0.05471106,0.06915891,0.04198793,0.004611429,0.02743696,0.0399951,0.02909876,0.0057339,0.01513718,0.03615621,0.004075646,0.06247618,0.09910488,0.01616029,0.03688098,0.05595237,0.01318677,0.02674618,0.01427776,0.04377889,0.05213793
528.8821,0.04070639,0.1241994,0.03768213,0.04076811,0.03691877,0.03536657,0.002409495,0.0393986,0.003296476,0.03463328,0.04585168,0.05297024,0.0187466,0.03918723,0.03491197,0.01385376,0.02764581,0.05373592,0.05784771,0.08299293,0.0426269,0.006379563,0.03129547,0.04263168,0.03100669,0.008473143,0.01620053,0.04071703,0.006270882,0.05946111,0.1010063,0.01869053,0.03233739,0.0524908,0.01437858,0.02747296,0.01505933,0.04128978,0.05490081
529.3642,0.03947332,0.1095504,0.03502585,0.04363156,0.0377113,0.03385109,0.0,0.037396,0.0,0.03116376,0.04016133,0.0482969,0.01674829,0.04205203,0.03557267,0.01721872,0.02906339,0.05234495,0.06098136,0.09831794,0.04294678,0.007973645,0.03493145,0.04439788,0.03269454,0.01155423,0.01744588,0.04487462,0.00879411,0.05765376,0.1025058,0.01985744,0.02909806,0.04917933,0.01626885,0.02764379,0.016154,0.04012779,0.05748367
529.8463,0.03731888,0.08925565,0.033225,0.04674046,0.03776119,0.03395373,0.001297943,0.03685813,0.0001630932,0.02730427,0.03575136,0.04433937,0.01583318,0.04362844,0.03447069,0.02375394,0.03154559,0.05079264,0.06540404,0.1127292,0.04363591,0.009225048,0.03666281,0.04610771,0.03353453,0.01429472,0.01776406,0.04806418,0.01111979,0.05799311,0.1037378,0.0205927,0.02882744,0.04576868,0.01961743,0.02676084,0.01813675,0.03930309,0.060148
