absorbance_2.10_1 (2),2.10_1 (2),2.10_2 (2),2.10_3 (2),2.10_4 (2),2.10_5 (2)
525.5073,0.0263116,0.04686482,0.01187786,0.01346401,0.04915154
525.9894,0.02182763,0.05533125,0.01010623,0.0123529,0.04729346
526.4715,0.02177275,0.05602554,0.01049459,0.01227078,0.044509
526.9536,0.02595181,0.05052491,0.01091873,0.01212862,0.04272818
527.4357,0.02976622,0.0421482,0.01366188,0.01080699,0.04337682
527.9178,0.03405838,0.03790956,0.01614391,0.009908665,0.04431856
528.4,0.03934108,0.03678617,0.01972216,0.01036934,0.04557213
528.8821,0.04407437,0.03811949,0.02349493,0.01119071,0.04605372
529.3642,0.04818119,0.03963214,0.02690415,0.01223757,0.04546934
529.8463,0.0512517,0.03888734,0.03013521,0.01352568,0.04451013
530.3284,0.05306284,0.03500551,0.03378729,0.01513383,0.04423191
530.8105,0.05386488,0.02923421,0.03810842,0.01675893,0.04545095
531.2927,0.05444314,0.02358371,0.04306988,0.01776357,0.0483112
531.7748,0.05564904,0.0199125,0.04847156,0.01752282,0.05224954
532.2569,0.05807156,0.01960485,0.05401805,0.0156044,0.0564653
532.739,0.06168235,0.02317599,0.05910118,0.01195851,0.06028701
533.2211,0.06564741,0.02981956,0.06316976,0.007151421,0.06335305
533.7032,0.06872958,0.03749575,0.06605449,0.002602752,0.06508213
534.1854,0.06964853,0.04413819,0.06787122,0.0,0.06481361
534.6675,0.06787488,0.04859184,0.06873274,0.0005959496,0.06203375
535.1496,0.06378901,0.05068092,0.06866564,0.004785966,0.05660938
535.6317,0.05846649,0.05073528,0.06774002,0.01217799,0.04895101
536.1138,0.05323434,0.04955259,0.0658512,0.02164505,0.0399067
536.5959,0.04910136,0.04781727,0.06284736,0.0315125,0.0307985
537.0781,0.0463654,0.04532988,0.05892373,0.03999253,0.02340543
537.5602,0.04466096,0.04115893,0.0547092,0.04588205,0.01921737
538.0423,0.04339717,0.03464958,0.05096293,0.04862593,0.01884019
538.5244,0.04232674,0.02639098,0.04800911,0.04824145,0.02189943
539.0065,0.044269,0.01847737,0.04541969,0.04732372,0.02678743
539.4886,0.04553001,0.01275876,0.04224283,0.04332289,0.03220319
539.9708,0.04786645,0.007969568,0.03982069,0.03806537,0.0379094
540.4529,0.05227033,0.006154858,0.03679312,0.03310608,0.04216079
540.935,0.05829202,0.007303048,0.03314917,0.02918837,0.04468784
541.4171,0.06258083,0.009067269,0.0306255,0.025049,0.04672267
541.8992,0.0657983,0.01465915,0.02740582,0.02286581,0.04639493
542.3813,0.06790894,0.02110574,0.02587182,0.02349297,0.04497861
542.8635,0.06679142,0.0273458,0.02624281,0.02557335,0.04286364
543.3456,0.06269531,0.03250787,0.02830823,0.02871076,0.04025649
543.8277,0.05822863,0.0358993,0.02835255,0.03105091,0.03812746
544.3098,0.051449,0.03775982,0.0302963,0.03406373,0.03525973
544.7919,0.04500882,0.03832152,0.03042344,0.03570265,0.03252989
545.274,0.03911601,0.03804784,0.0292578,0.03577337,0.02981004
545.7562,0.03674748,0.03712457,0.02314863,0.03235428,0.02840864
546.2383,0.03730458,0.03591982,0.01712163,0.02895188,0.02747591
546.7204,0.03828889,0.03449413,0.0114172,0.023985,0.02788258
547.2025,0.04052867,0.03270364,0.007827643,0.02008656,0.02990902
547.6846,0.04336037,0.03051361,0.007419311,0.01849993,0.03381608
548.1667,0.04626822,0.02801663,0.01045414,0.02018521,0.03973639
548.6489,0.04966916,0.02572231,0.01625118,0.02608817,0.047294
549.131,0.05133496,0.02290468,0.02445213,0.03414907,0.05662376
549.6131,0.05158876,0.02108296,0.03277226,0.04333244,0.0662403
550.0952,0.05075829,0.02093957,0.03964956,0.0518949,0.07502277
550.5773,0.04951374,0.02288036,0.04413017,0.05849843,0.08210732
551.0594,0.04875979,0.02685935,0.04583739,0.06238533,0.08705334
551.5416,0.0492823,0.03232615,0.04473267,0.06346478,0.09005505
552.0237,0.05033393,0.03847074,0.04271985,0.06288975,0.09128852
552.5058,0.05116481,0.04432797,0.04073635,0.06150715,0.09141752
552.9879,0.05349229,0.04890057,0.03481367,0.0581086,0.0921552
553.47,0.05576795,0.05164824,0.02835057,0.05543861,0.09284626
