absorbance_1.10_1A,1.10_1A,1.10_2A,1.10_3A,1.9_1A (2),1.9_1A,1.9_2A (2),1.9_2A,1.9_3A (2),1.9_3A,1.9_4A (2),1.9_4A,2.5_1A,2.5_2A,2.5_3A,2.5_4A,4.2_1A,4.2_2A
525.5073,0.02343402,0.01097992,0.002252586,0.05413799,0.01499028,0.02503988,0.06013889,0.02084123,0.05029538,0.0260654,0.06895198,0.02287346,0.0008427724,0.04098802,0.06593099,0.02058121,0.05111555
525.9894,0.01973095,0.00694818,0.0,0.05470739,0.01555088,0.02585002,0.05696096,0.02626524,0.04961091,0.02665596,0.06826288,0.0270099,0.0,0.0447372,0.06426553,0.01473837,0.05093102
526.4715,0.01828051,0.005646609,0.001085639,0.05034731,0.01561491,0.02594623,0.05531597,0.03158073,0.05042021,0.027452,0.06647028,0.02730144,0.000911653,0.04671764,0.06302726,0.0122918,0.05115181
526.9536,0.017348,0.005594708,0.004208721,0.04394949,0.01388281,0.02583641,0.0549064,0.03691125,0.05251568,0.02677323,0.06440493,0.0262961,0.002414323,0.04605379,0.06291471,0.0119017,0.05367294
527.4357,0.01736152,0.005312935,0.005128749,0.03979149,0.01070213,0.02669626,0.05704024,0.04250541,0.05508533,0.02605968,0.0625942,0.02285812,0.00355773,0.04239344,0.06495699,0.01224565,0.05687055
527.9178,0.01981958,0.004108526,0.007677615,0.03873438,0.01053899,0.02674799,0.05933723,0.04858176,0.05655213,0.02655494,0.06105983,0.02172038,0.004210159,0.03611421,0.06687698,0.01273666,0.05949705
528.4,0.02419523,0.002159417,0.01370595,0.03933906,0.01178917,0.02379827,0.06284405,0.05518818,0.05404332,0.02586253,0.05943169,0.02175314,0.005052134,0.02819864,0.06985648,0.01351041,0.06161477
528.8821,0.0292507,0.0003931895,0.02010994,0.04117465,0.01342409,0.02095717,0.06626824,0.06199068,0.04943032,0.02427755,0.05714981,0.02237143,0.007233031,0.02004991,0.07277596,0.01506196,0.06352587
529.3642,0.03394294,0.0,0.02542988,0.0432174,0.01481201,0.01810241,0.06951422,0.06826568,0.04451898,0.0223578,0.05371965,0.0223851,0.01174527,0.01308819,0.07571192,0.01769098,0.06492966
529.8463,0.03685461,0.002106972,0.02799797,0.04404454,0.01521925,0.01514821,0.07262942,0.07292497,0.04110742,0.02110714,0.04880817,0.0205242,0.01911862,0.00860741,0.07924257,0.0211999,0.06551029
530.3284,0.03752146,0.007302515,0.02761532,0.04237878,0.01435124,0.01231503,0.07547249,0.07484978,0.03991905,0.02096864,0.04236022,0.0168135,0.02917894,0.007334117,0.08338195,0.02487333,0.06521758
530.8105,0.03693739,0.01542155,0.02568523,0.03832928,0.01269973,0.00974678,0.07794825,0.07338628,0.04065584,0.02157787,0.03460269,0.01261948,0.04123509,0.009137142,0.08731747,0.02785238,0.06433184
531.2927,0.03647023,0.02562738,0.02450354,0.03291143,0.01094916,0.007642459,0.07991226,0.06861004,0.04234243,0.02201229,0.02605462,0.009616755,0.0542913,0.01299085,0.09000939,0.02944202,0.0637359
531.7748,0.03711855,0.03672019,0.02618339,0.02751863,0.009589743,0.006226864,0.08122705,0.06150249,0.04372981,0.02127634,0.01748525,0.008962288,0.06738189,0.01727372,0.09084647,0.02942805,0.06455302
