absorbance_2.3_1_oilA,2.3_1_oilA,2.3_2_oilA,2.3_3_oilA
525.5073,0.0589969,0.01982262,0.06185769
525.9894,0.05838425,0.01574839,0.05348624
526.4715,0.05822855,0.01511482,0.04506427
526.9536,0.05912397,0.01716304,0.0383542
527.4357,0.06144949,0.01767614,0.03408077
527.9178,0.06521662,0.01823802,0.03206483
528.4,0.07005719,0.0211112,0.03168778
528.8821,0.07519717,0.02466431,0.0322354
529.3642,0.0795855,0.02856391,0.03312521
529.8463,0.08193079,0.03211978,0.03391779
530.3284,0.08096903,0.03492703,0.03435591
530.8105,0.07587977,0.03679804,0.03437292
531.2927,0.06648369,0.03781566,0.03406312
531.7748,0.05352425,0.03821813,0.03365652
532.2569,0.0385412,0.03812169,0.03343038
532.739,0.02378257,0.03723524,0.03365377
533.2211,0.0115634,0.03517063,0.03445011
533.7032,0.00347048,0.03219346,0.03570166
534.1854,0.0,0.02928406,0.03699075
534.6675,0.0003546998,0.02778967,0.03770106
535.1496,0.002953321,0.02886301,0.03724978
535.6317,0.005896181,0.03313788,0.03525577
536.1138,0.007721677,0.04029575,0.0317238
536.5959,0.007878199,0.04905021,0.02702638
537.0781,0.006936543,0.05747309,0.02180975
537.5602,0.006485015,0.0637894,0.01674964
538.0423,0.008510508,0.06686918,0.01232187
538.5244,0.01483344,0.06631008,0.008704938
539.0065,0.02633625,0.06576604,0.005783074
539.4886,0.04277033,0.0610148,0.003347874
539.9708,0.06269594,0.05566187,0.001341458
540.4529,0.08378424,0.05158398,2.568215e-05
540.935,0.1031937,0.04929107,0.0
541.4171,0.1181563,0.04606538,0.002067547
541.8992,0.127005,0.04290071,0.006871529
542.3813,0.1294374,0.04088581,0.01464235
542.8635,0.1263923,0.03774328,0.02497857
543.3456,0.1193728,0.03369544,0.03692174
543.8277,0.1099681,0.03080344,0.04904673
544.3098,0.09955753,0.02674612,0.05973139
544.7919,0.08913983,0.02286538,0.06763205
545.274,0.07950106,0.018284,0.07190473
545.7562,0.07119584,0.01470617,0.07246177
546.2383,0.06451885,0.01191582,0.06985831
546.7204,0.05951973,0.006990544,0.06503077
547.2025,0.05603483,0.002589397,0.05895364
547.6846,0.05379667,0.0,0.05240113
548.1667,0.05248874,0.0009790473,0.04606535
548.6489,0.05181611,0.007860109,0.0406017
549.131,0.0515658,0.01870761,0.03663416
549.6131,0.0516179,0.03285943,0.03472834
550.0952,0.05198862,0.04825745,0.0351379
550.5773,0.05280755,0.06259895,0.03765338
551.0594,0.05425968,0.07372867,0.04155717
551.5416,0.05646352,0.08037902,0.04575349
552.0237,0.0593733,0.08140753,0.04905948
552.5058,0.06270732,0.07718645,0.05034218
552.9879,0.06597294,0.07155016,0.04892173
553.47,0.06859151,0.06643503,0.04474975
553.9521,0.06998334,0.0605665,0.03846884
554.4343,0.0697543,0.05561235,0.03120486
554.9164,0.06774598,0.05207976,0.02421616
555.3985,0.06403881,0.04908337,0.01861702
555.8806,0.0589378,0.04585605,0.01505234
556.3627,0.0529388,0.04316217,0.01370793
556.8448,0.04672441,0.03924234,0.01440895
557.327,0.04102921,0.03410811,0.01679511
557.8091,0.03659039,0.02832456,0.02045143
558.2912,0.03405083,0.02287599,0.02496264
558.7733,0.03381064,0.02200995,0.02992515
559.2554,0.03600013,0.02219699,0.03486345
559.7375,0.04040193,0.02316137,0.03920355
560.2197,0.04646169,0.02654675,0.04240087
560.7018,0.05327952,0.03152543,0.04402828
561.1839,0.0597207,0.03666106,0.04398118
561.666,0.06471566,0.03900673,0.04255867
562.1481,0.06737272,0.04144917,0.04044268
562.6302,0.06727084,0.04399008,0.03849372
563.1124,0.06459595,0.04526037,0.03739909
563.5945,0.06018787,0.04582246,0.03747042
564.0766,0.05540371,0.04638827,0.03845535
564.5587,0.05170203,0.04759844,0.03967734
565.0408,0.05040202,0.04984495,0.0402455
565.5229,0.05221078,0.05312845,0.03946072
566.0051,0.05707614,0.05708957,0.03708426
566.4872,0.06419413,0.06107839,0.03340156
566.9693,0.07220381,0.06433932,0.02913783
567.4514,0.0795486,0.06614684,0.02517923
567.9335,0.08469681,0.06596248,0.02236998
568.4156,0.08666957,0.06561613,0.02118102
568.8978,0.08526766,0.06149522,0.02162623
569.3799,0.08108283,0.05820021,0.02333481
569.862,0.07522389,0.05214703,0.02577499
570.3441,0.06892638,0.0461591,0.02845756
570.8262,0.06329226,0.0422705,0.0310115
571.3083,0.05897195,0.03968283,0.03320631
571.7905,0.05615176,0.03839051,0.03486818
572.2726,0.0546043,0.03818901,0.03580244
572.7547,0.05387593,0.04068242,0.03580181
573.2368,0.05349333,0.04179877,0.03467137
573.7189,0.0531656,0.04301992,0.03231256
574.201,0.05289745,0.04409041,0.02880862
574.6832,0.05295778,0.04474049,0.02449144
575.1653,0.05373675,0.04473706,0.01996225
575.6474,0.05549896,0.04405992,0.01593163
576.1295,0.05821861,0.04302626,0.0131107
576.6116,0.06151286,0.04228044,0.01200106
577.0938,0.06481364,0.04250712,0.01276375
577.5759,0.06754103,0.04419608,0.01524816
578.058,0.06931017,0.04738061,0.01902172
578.5401,0.07002342,0.05160653,0.02347254
579.0222,0.0698355,0.05590363,0.02776559
579.5043,0.0690956,0.05909245,0.03095231
579.9865,0.06819815,0.06023607,0.03219995
580.4686,0.06749824,0.05900283,0.03097419
580.9507,0.06717883,0.0558378,0.02734165
581.4328,0.06724077,0.05171791,0.02196511
581.9149,0.06757135,0.04787496,0.01597137
582.397,0.0680437,0.04532472,0.01059583
582.8792,0.06858917,0.04464099,0.006850068
583.3613,0.06919482,0.04591586,0.005417472
583.8434,0.06986122,0.04884296,0.006425511
584.3255,0.07054453,0.05289303,0.009459579
584.8076,0.07112671,0.05744725,0.01361983
585.2897,0.07146604,0.06198198,0.01782922
585.7719,0.07148138,0.06609368,0.02115422
586.254,0.07124603,0.06946784,0.02303499
586.7361,0.07100806,0.07184648,0.02346757
587.2182,0.0711385,0.07297977,0.02290726
587.7003,0.07202783,0.0729841,0.02210562
588.1824,0.07390358,0.07188154,0.02180934
588.6646,0.07673575,0.06975976,0.02260669
589.1467,0.08016557,0.06677668,0.02480552
589.6288,0.08358662,0.06312593,0.02837743
590.1109,0.08621803,0.05904216,0.0329816
590.593,0.08729703,0.05479524,0.03799599
591.0751,0.08635782,0.05066027,0.04268568
591.5573,0.08337627,0.04692819,0.04629392
592.0394,0.07885674,0.04386216,0.04827259
592.5215,0.07361722,0.0416383,0.04845514
593.0036,0.06857601,0.04032331,0.04706528
593.4857,0.0644489,0.03985743,0.0446184
593.9678,0.06159697,0.04008937,0.04169904
594.45,0.0600954,0.04080076,0.03884873
594.9321,0.05980583,0.04175322,0.03642694
595.4142,0.06049852,0.04274117,0.0345607
595.8963,0.06191303,0.04359541,0.03317271
596.3784,0.06380457,0.0442183,0.03201544
596.8605,0.0659566,0.04458541,0.03077973
597.3427,0.0681324,0.04471928,0.02916879
597.8248,0.07007235,0.04466591,0.02702868
598.3069,0.07149558,0.04446473,0.0244232
598.789,0.07209818,0.04414007,0.02168113
599.2711,0.07165167,0.04371261,0.01933316
599.7532,0.07008636,0.04323161,0.0179591
600.2354,0.06756227,0.04281715,0.01804107
600.7175,0.06447449,0.04265747,0.01974605
601.1996,0.06138106,0.04298132,0.02287565
601.6817,0.05894034,0.04400932,0.02688091
602.1638,0.05773485,0.04585561,0.03102362
602.6459,0.05819262,0.04848574,0.03451677
603.1281,0.06049547,0.05167907,0.03666065
603.6102,0.06448853,0.0550824,0.03706715
604.0923,0.06966441,0.05827437,0.03572769
604.5744,0.07520421,0.06087063,0.03305398
605.0565,0.08022319,0.06265629,0.02972372
605.5386,0.08391403,0.06361497,0.02652553
606.0208,0.08575644,0.06391608,0.02413537
606.5029,0.08564612,0.06380314,0.02291416
606.985,0.08386046,0.06349351,0.02289661
607.4671,0.08097318,0.06306493,0.02381241
607.9492,0.0776323,0.06242646,0.02524272
608.4313,0.07445262,0.06136259,0.0267379
608.9135,0.07185614,0.05964516,0.02797375
609.3956,0.07001335,0.05716782,0.02883831
609.8777,0.06889678,0.05401712,0.02941742
610.3598,0.06834456,0.05049128,0.0299391
610.8419,0.06815954,0.04699238,0.03065049
611.324,0.06815109,0.04394824,0.03173765
611.8062,0.0681783,0.04165227,0.03323312
612.2883,0.06815509,0.04019218,0.0350071
612.7704,0.06803122,0.03947255,0.03678819
613.2525,0.06779415,0.03929228,0.03825176
613.7346,0.06746672,0.03946233,0.03911806
614.2167,0.06710817,0.03987228,0.03920431
614.6989,0.06680119,0.04051872,0.03849816
615.181,0.06662554,0.04144697,0.03714967
615.6631,0.06662492,0.04267046,0.03544926
616.1452,0.06677081,0.04409741,0.0337263
616.6273,0.06695855,0.04552481,0.0322548
617.1094,0.06702305,0.04667908,0.03118766
617.5916,0.06680635,0.04733926,0.03051106
618.0737,0.06621121,0.04741135,0.03008141
618.5558,0.06524705,0.04696855,0.02968783
619.0379,0.06403852,0.04621807,0.02915371
619.52,0.06280299,0.04542384,0.02838891
620.0021,0.06179976,0.04481533,0.02742071
620.4843,0.0612408,0.0444921,0.0263669
620.9664,0.06125319,0.04441981,0.02538751
621.4485,0.06184327,0.04447038,0.02463169
621.9306,0.06290749,0.04451763,0.02419301
622.4127,0.06425982,0.04450715,0.02412265
622.8948,0.06567518,0.0445037,0.02444841
623.377,0.06695392,0.04465718,0.02519632
623.8591,0.06793875,0.045142,0.02639629
624.3412,0.0685554,0.04605598,0.02805153
624.8233,0.0688219,0.0473501,0.03010067
625.3054,0.06883705,0.04880979,0.03237706
625.7875,0.06874225,0.05011685,0.03461806
626.2697,0.06865773,0.05097889,0.03654192
626.7518,0.06864371,0.05120153,0.03789966
627.2339,0.06866302,0.05076438,0.03856783
627.716,0.06859893,0.04979996,0.03856792
628.1981,0.06828614,0.04854319,0.03804236
628.6802,0.0675871,0.04724981,0.0371968
629.1624,0.06645254,0.04613012,0.03622802
629.6445,0.06495672,0.04533446,0.0352928
