absorbance_2.9_1A (2),2.9_1A (2),2.9_1A,2.9_2,2.9_2A,2.9_3A (2),2.9_3A,2.9_4A (2),2.9_4A,6.4_1A,6.4_1AA,6.8_1A,6.8_2A
525.5073,0.01802813,0.00732024,0.05088003,0.00672604,0.06314315,0.02431639,0.07032259,0.03711791,0.004213694,0.06218438,0.0603452,0.07819778
525.9894,0.01889557,0.002864011,0.04257931,0.007849956,0.06815992,0.02876032,0.06806274,0.04199557,0.007601313,0.07857282,0.06591202,0.06986281
526.4715,0.01827597,0.002120961,0.03664822,0.007130425,0.06673392,0.02990093,0.06634973,0.04364022,0.008589868,0.0878737,0.06838705,0.05863604
526.9536,0.01677535,0.003377363,0.03459319,0.005157668,0.06167909,0.02827431,0.06366464,0.0433722,0.008901786,0.08913173,0.06886676,0.04652357
527.4357,0.01607642,0.006050179,0.0366912,0.002589343,0.05710369,0.02453842,0.06304969,0.03936921,0.007925533,0.08356097,0.0658221,0.03609328
527.9178,0.01619227,0.009144587,0.04206047,0.001655241,0.05251025,0.02262694,0.06206618,0.03633411,0.006483164,0.07362746,0.06184564,0.0293208
528.4,0.01765465,0.01341457,0.04908273,0.003768642,0.04993326,0.02181535,0.06151859,0.03234292,0.005204622,0.06211181,0.05531532,0.02731289
528.8821,0.01971472,0.01712595,0.05584609,0.006798519,0.05032292,0.0234731,0.05999498,0.02761857,0.004321784,0.0513937,0.04841672,0.03017474
529.3642,0.02193459,0.0198426,0.06074437,0.01006989,0.05238643,0.02625962,0.05798551,0.02294477,0.004193421,0.04294803,0.04236795,0.03713496
529.8463,0.02395584,0.0213424,0.06267545,0.01300262,0.05440655,0.02801765,0.05660086,0.0191272,0.005098831,0.037449,0.03801895,0.04669992
530.3284,0.02566561,0.02187378,0.06136481,0.01548372,0.05504432,0.02719273,0.05684865,0.01635297,0.00705963,0.0347785,0.03556561,0.05694566
530.8105,0.02757662,0.02188276,0.05735304,0.01771839,0.05391621,0.02353376,0.05925326,0.01420528,0.009907093,0.03430776,0.034466,0.06613314
531.2927,0.03014314,0.02197431,0.05177192,0.01948882,0.05139232,0.01823076,0.06311709,0.01216558,0.01281198,0.03520564,0.03352729,0.07294351
531.7748,0.03348375,0.02261632,0.04594446,0.02026718,0.04862273,0.01340735,0.06674974,0.009871282,0.01461384,0.03674046,0.03146101,0.07678168
532.2569,0.03775026,0.02399196,0.04087167,0.01960514,0.04721066,0.01108039,0.06861205,0.007089995,0.01442829,0.03845858,0.02732409,0.07769097
532.739,0.04322572,0.02578135,0.0370704,0.01756368,0.04859766,0.01215561,0.06824101,0.004024766,0.01213324,0.04008292,0.02101272,0.07607447
533.2211,0.04993847,0.02729219,0.0343707,0.01483181,0.05349072,0.01612697,0.06642532,0.001317926,0.008530602,0.04139533,0.01345245,0.07244705
533.7032,0.05687657,0.02790215,0.03209168,0.0124083,0.06144978,0.02181487,0.06384351,0.0,0.004759967,0.04209374,0.006340608,0.06725986
534.1854,0.06267546,0.02727731,0.02931451,0.01157015,0.0714594,0.02805986,0.06114598,0.0006876364,0.002193335,0.04169689,0.001486152,0.06091483
534.6675,0.06625947,0.02558561,0.02537285,0.01323131,0.08196941,0.03420366,0.05861107,0.003533907,0.00177535,0.03965114,0.0,0.05378629
535.1496,0.06703828,0.02346149,0.02018812,0.01744805,0.09133755,0.04013492,0.05604392,0.008254044,0.003600586,0.03554976,0.001958936,0.04627592
535.6317,0.06472659,0.0219621,0.01435644,0.02327657,0.09808754,0.04594047,0.0528435,0.01413451,0.006805666,0.02932644,0.006521352,0.03892037
536.1138,0.05955889,0.02208371,0.008921988,0.02929815,0.1014689,0.05151235,0.04846483,0.02018552,0.01008576,0.02147523,0.01240253,0.03233402
536.5959,0.05237303,0.02431935,0.004908659,0.03408822,0.1015482,0.05624811,0.04313646,0.02540777,0.01228255,0.01305437,0.01831799,0.02709322
537.0781,0.04427756,0.02840849,0.002952583,0.03648791,0.09898258,0.05905559,0.03792366,0.02909898,0.01265736,0.005663583,0.02331582,0.02362759
537.5602,0.03633613,0.03336676,0.002972398,0.03596999,0.0947625,0.05909101,0.03406113,0.03111334,0.01118567,0.000931859,0.02701794,0.02203278
538.0423,0.02960658,0.03782543,0.004277453,0.03269324,0.09013377,0.05647147,0.0323966,0.03161434,0.008612439,0.0,0.02943229,0.02207077
538.5244,0.02541015,0.04036956,0.005851001,0.02741911,0.0863187,0.05234053,0.03335626,0.03105365,0.006267179,0.003195753,0.03073844,0.02325005
539.0065,0.02488463,0.04176868,0.006819963,0.02377654,0.08197673,0.04713576,0.03734655,0.03128102,0.005608838,0.009881521,0.0304185,0.02502142
539.4886,0.02693564,0.03884771,0.006721579,0.01750084,0.07951272,0.04590602,0.04165103,0.03276132,0.006351169,0.01874689,0.03135793,0.02691137
539.9708,0.0313346,0.03422757,0.005577169,0.01090556,0.07865565,0.04687913,0.04768875,0.03386179,0.008303445,0.0281154,0.03126016,0.02858017
540.4529,0.03630937,0.02922343,0.003807403,0.005345473,0.07710914,0.05057747,0.05413006,0.03672219,0.01070869,0.0365199,0.03167551,0.02990906
540.935,0.04045074,0.02524384,0.002001941,0.001994155,0.07407711,0.05565825,0.06117745,0.04131849,0.01284403,0.04299683,0.03323457,0.0310113
541.4171,0.04287019,0.0225343,0.0006786846,0.0,0.07187897,0.06020305,0.0697447,0.04473785,0.01414343,0.04728603,0.03570271,0.03222718
541.8992,0.0425739,0.02149276,4.412979e-05,0.001894994,0.06788227,0.06434253,0.07790315,0.05069435,0.01498386,0.04979995,0.04139254,0.03401016
542.3813,0.04078492,0.02352444,0.0,0.009407554,0.06367956,0.06474183,0.08748959,0.0560969,0.01604427,0.05129918,0.04710015,0.03682629
542.8635,0.03798338,0.02682498,0.0002815276,0.01987619,0.06126185,0.06270959,0.09719511,0.05982447,0.01738821,0.05248384,0.05276321,0.0410359
543.3456,0.03509744,0.03059492,0.000685133,0.03154901,0.06111727,0.05922956,0.105952,0.06128018,0.0189327,0.05361592,0.05744283,0.04677114
543.8277,0.03281988,0.03228074,0.00118136,0.04109768,0.06407888,0.05718995,0.1100132,0.06152611,0.02212735,0.05444736,0.06254978,0.05389071
544.3098,0.0322818,0.03462799,0.001976348,0.04843868,0.0670085,0.05464533,0.1136873,0.05838308,0.02289422,0.05434097,0.06417435,0.06190476
544.7919,0.03364963,0.03575049,0.00340528,0.0510159,0.06950484,0.05353679,0.1147142,0.0535785,0.0224503,0.05268008,0.0644292,0.07008108
