absorbance_3.8_1A,3.8_1A,3.8_2A,3.8_3A
525.5073,0.02197164,0.05150682,0.01220524
525.9894,0.01796135,0.05439862,0.008682117
526.4715,0.0177327,0.05632539,0.008620482
526.9536,0.01971407,0.05737885,0.01218053
527.4357,0.02320002,0.0571111,0.0153445
527.9178,0.02542749,0.05642654,0.01708443
528.4,0.02878314,0.05520345,0.01739871
528.8821,0.03219824,0.05327083,0.01700076
529.3642,0.03515506,0.05096939,0.01691324
529.8463,0.0369883,0.04954004,0.01795532
530.3284,0.03767078,0.05016217,0.01990809
530.8105,0.03789311,0.05304322,0.02148524
531.2927,0.03872388,0.05722345,0.02161291
531.7748,0.04106205,0.06100515,0.01996921
532.2569,0.04532913,0.06263722,0.01670482
532.739,0.05096319,0.06089756,0.01226597
533.2211,0.05645802,0.05586647,0.007397544
533.7032,0.05988434,0.04886791,0.00331147
534.1854,0.05984701,0.04185904,0.0007890537
534.6675,0.0560852,0.03648391,0.0
535.1496,0.04950242,0.0334889,0.0008117706
535.6317,0.04190893,0.03277485,0.003178962
536.1138,0.03533676,0.03348342,0.006899215
536.5959,0.03127849,0.03459501,0.01162594
537.0781,0.03013175,0.03554086,0.01722376
537.5602,0.0310643,0.03623663,0.02376331
538.0423,0.03277924,0.03652835,0.0310011
538.5244,0.03399754,0.03582748,0.03790651
539.0065,0.03466172,0.03380333,0.04322002
539.4886,0.03214189,0.03002761,0.04647832
539.9708,0.02971875,0.02481672,0.0474938
540.4529,0.02730427,0.01959341,0.0467067
540.935,0.02582209,0.01596446,0.04468958
541.4171,0.02654824,0.01492602,0.04198149
541.8992,0.02707257,0.01754334,0.0388621
542.3813,0.02954141,0.02271917,0.03513603
542.8635,0.03226726,0.02852354,0.03082083
543.3456,0.03432299,0.03299419,0.02596555
543.8277,0.03452421,0.03525602,0.02324275
544.3098,0.03263771,0.03381744,0.01814308
544.7919,0.02821769,0.02991364,0.01307207
545.274,0.02177016,0.02491869,0.007409371
