absorbance_5.10_3A,5.10_3A,5.10_4A,5.9_1A_16,5.9_2A,5.9_2AA,5.9_3A,5.9_4A
525.5073,0.0597177,0.05883641,0.02640362,0.001803175,0.04805413,0.0455224,0.06319848
525.9894,0.0595897,0.06463636,0.02297055,0.0,0.0497846,0.03294775,0.0609315
526.4715,0.06192682,0.06436529,0.02149843,0.0007240698,0.04946229,0.02692324,0.05916562
526.9536,0.06380114,0.06169128,0.0218549,0.004956719,0.04869875,0.02702734,0.05863418
527.4357,0.06788658,0.05755751,0.02396306,0.01060309,0.04979062,0.03080298,0.05946621
527.9178,0.07145876,0.05220519,0.02457137,0.01323264,0.04859187,0.03519915,0.05842622
528.4,0.0721283,0.04466863,0.02613981,0.01596398,0.04716021,0.03759359,0.05592211
528.8821,0.07089292,0.03790097,0.02667639,0.01792611,0.0459471,0.03665211,0.05417155
529.3642,0.06840251,0.0328755,0.02676496,0.01990257,0.04482822,0.03264129,0.05346987
529.8463,0.0662073,0.02974647,0.02768112,0.02292383,0.0442296,0.02717659,0.05377554
530.3284,0.06629795,0.02770637,0.03025714,0.02760694,0.04471565,0.02264262,0.05449273
530.8105,0.07015337,0.02562766,0.03445007,0.03361006,0.04646399,0.02112504,0.05438591
531.2927,0.07782061,0.02257426,0.03937924,0.03995218,0.04873969,0.02387889,0.05261189
531.7748,0.08776791,0.01816997,0.0437876,0.04555285,0.05023117,0.03086267,0.04926644
532.2569,0.09751153,0.01267418,0.04667481,0.04953184,0.04998872,0.04096269,0.04499291
532.739,0.1043356,0.007023405,0.04775328,0.05124011,0.04782231,0.05232138,0.0405355
533.2211,0.1063559,0.002463825,0.04766825,0.05069901,0.04475781,0.06293032,0.03660633
533.7032,0.1029702,0.0,0.04713349,0.04866463,0.04208295,0.07125478,0.03413958
534.1854,0.09515038,0.0001571961,0.04662164,0.04633297,0.04132982,0.07642346,0.03360974
534.6675,0.08479583,0.002812881,0.04602276,0.04454204,0.04309682,0.07846247,0.03454124
535.1496,0.07377552,0.007400997,0.04488558,0.04353468,0.04681873,0.07804026,0.03595303
535.6317,0.06346497,0.01305178,0.04281636,0.0431524,0.05114778,0.07616955,0.03701699
536.1138,0.05449574,0.01894007,0.03980368,0.04298635,0.0546745,0.07378127,0.03729459
536.5959,0.04696295,0.024502,0.03664969,0.04275822,0.0568333,0.07144778,0.03681086
537.0781,0.04073668,0.02933791,0.03503276,0.04269858,0.05819345,0.0692906,0.03633621
537.5602,0.0355594,0.03327308,0.03651984,0.04344737,0.06006882,0.06694226,0.03707995
538.0423,0.03129201,0.03644051,0.04167748,0.04574367,0.06387927,0.06373622,0.03992918
538.5244,0.02779239,0.03920472,0.0496739,0.04958077,0.07032092,0.05891382,0.04457815
539.0065,0.02251468,0.03914469,0.0603134,0.05486283,0.07678014,0.05198483,0.04706091
539.4886,0.01910447,0.04149238,0.06758377,0.05723584,0.0834503,0.04292038,0.05059758
539.9708,0.01575331,0.04373208,0.07389724,0.05904846,0.08989209,0.032281,0.05392016
540.4529,0.01163215,0.04515748,0.07780595,0.05784515,0.09196429,0.02116727,0.05540595
540.935,0.00683073,0.04527622,0.08001634,0.05340023,0.08861934,0.01107681,0.05481412
541.4171,0.003667489,0.04558554,0.08203351,0.04762746,0.0835408,0.00363595,0.05489524
541.8992,0.001507387,0.04520982,0.08207114,0.03819589,0.07317967,0.0,0.05244609
542.3813,0.0,0.04238252,0.08378716,0.03007918,0.06164887,0.0006001666,0.0470554
542.8635,0.00152576,0.03953713,0.08514561,0.02338261,0.05193684,0.005048268,0.04069796
543.3456,0.00663726,0.03728942,0.08498392,0.01849187,0.04530913,0.01241217,0.03397319
543.8277,0.01241899,0.03910491,0.08169587,0.01673447,0.04351996,0.02150727,0.02879628
544.3098,0.02460869,0.03943448,0.07516977,0.01403418,0.04288686,0.03114434,0.02358413
544.7919,0.03988401,0.04068884,0.06536593,0.01101578,0.04381503,0.04035255,0.01983725
545.274,0.05830581,0.04106961,0.05381464,0.006661247,0.04479403,0.04831197,0.01746432
545.7562,0.07349882,0.04416889,0.04226021,0.003802858,0.04774029,0.05441365,0.01826114
546.2383,0.08629738,0.04352711,0.03469785,0.002041079,0.04974528,0.05832333,0.01867054
546.7204,0.09660478,0.04340614,0.0297213,0.001020223,0.05303499,0.05996301,0.02144015
547.2025,0.1023687,0.04199222,0.02864583,0.002125509,0.05679061,0.05954307,0.02433411
547.6846,0.1036331,0.03930872,0.03042375,0.005205676,0.06058039,0.05750986,0.0266984
548.1667,0.1009171,0.03522582,0.03374409,0.00966014,0.06355853,0.05455992,0.02779557
548.6489,0.09452357,0.02870827,0.03797155,0.01471727,0.06412947,0.05152511,0.02622921
549.131,0.08749902,0.02152526,0.04213002,0.0196523,0.06404755,0.04915034,0.02432073
549.6131,0.08107448,0.0143935,0.04487291,0.02273538,0.06246324,0.0479531,0.02218429
550.0952,0.07633488,0.008455977,0.04572726,0.02358514,0.06028644,0.04796517,0.02073357
550.5773,0.07364506,0.004546367,0.04459341,0.02241352,0.05844213,0.04873902,0.0204973
551.0594,0.07254895,0.003132831,0.04171504,0.02001645,0.05754817,0.04948355,0.02157058
551.5416,0.07192732,0.004397139,0.0377155,0.01768737,0.05782641,0.0494197,0.02367396
552.0237,0.07260171,0.006342635,0.0338156,0.01576443,0.05820341,0.04808135,0.02552175
552.5058,0.07447656,0.007920515,0.03148449,0.01513602,0.05816397,0.0454756,0.02610007
552.9879,0.07252669,0.01312849,0.03142935,0.01891801,0.05989012,0.04212232,0.02651885
553.47,0.0690027,0.01687845,0.0359305,0.02620825,0.06134025,0.03885695,0.02403076
553.9521,0.06666395,0.02130164,0.04278234,0.03465229,0.06385827,0.03663752,0.02096563
554.4343,0.06549214,0.02533902,0.05128095,0.04322653,0.06715807,0.03618199,0.01709003
554.9164,0.06546575,0.02835369,0.05972123,0.05067991,0.07077982,0.03779822,0.01277952
555.3985,0.0668204,0.03035822,0.06557851,0.05563278,0.0741923,0.04133625,0.009273836
555.8806,0.06922698,0.03098196,0.06719856,0.0575195,0.07648472,0.04626074,0.007314001
556.3627,0.07122508,0.02859454,0.06508458,0.05719336,0.07627985,0.05180945,0.006195068
556.8448,0.07352564,0.02453894,0.05896727,0.05472797,0.07375604,0.05715786,0.00717101
557.327,0.07614154,0.01943386,0.05039676,0.05106616,0.06920159,0.06168381,0.01005661
557.8091,0.0791247,0.01421495,0.04134896,0.04709635,0.06341948,0.06506287,0.0142373
558.2912,0.08243768,0.009947253,0.03366327,0.04337141,0.05751936,0.06734213,0.01886549
558.7733,0.08342092,0.004605912,0.02998601,0.04084956,0.0504667,0.06888895,0.02042129
559.2554,0.08261876,0.00722681,0.02600375,0.03819381,0.04697803,0.07027446,0.02452899
559.7375,0.08399003,0.008728862,0.02569555,0.03545677,0.04539558,0.07210072,0.0276003
560.2197,0.08347268,0.01101978,0.02700995,0.03333084,0.04547115,0.07475678,0.03002975
560.7018,0.08071906,0.01295366,0.02896147,0.03240479,0.04675728,0.07829787,0.03210328
561.1839,0.07673274,0.0125011,0.03083041,0.03289445,0.04812128,0.0823474,0.03353819
561.666,0.07367229,0.01066607,0.03259875,0.03634802,0.05192048,0.08621976,0.03656446
562.1481,0.0676866,0.009818457,0.03122415,0.04065295,0.05378332,0.08905262,0.03839501
562.6302,0.06134497,0.007405672,0.03006423,0.04666091,0.05388872,0.09013315,0.03739221
563.1124,0.05692779,0.006288864,0.0282838,0.05219726,0.0524955,0.08920333,0.03428562
563.5945,0.05523962,0.007702917,0.02630939,0.05592481,0.04950733,0.08657831,0.0289734
564.0766,0.05649877,0.01213371,0.02455053,0.05710814,0.04524901,0.08310197,0.02201038
564.5587,0.06027402,0.01912764,0.0232477,0.0558715,0.04035303,0.07977222,0.01455785
565.0408,0.06557238,0.02738069,0.02241554,0.05307702,0.03572617,0.07743152,0.008029768
565.5229,0.07110816,0.03516356,0.02192307,0.0499475,0.03227727,0.07637104,0.003582874
566.0051,0.07570188,0.04093093,0.02165825,0.04755724,0.03067575,0.076258,0.001739569
566.4872,0.07848291,0.04355035,0.02167995,0.04657609,0.03124987,0.07623924,0.002286846
566.9693,0.07925859,0.04265266,0.02224287,0.04702388,0.03383818,0.075298,0.004315581
567.4514,0.07856745,0.03863897,0.02374652,0.04844763,0.03793588,0.07270151,0.006525687
567.9335,0.07756501,0.03253717,0.02658928,0.05019532,0.04281484,0.06831455,0.007659809
568.4156,0.07341225,0.02959283,0.0304076,0.05398776,0.04981573,0.0627938,0.008652689
568.8978,0.07535534,0.02293168,0.0357211,0.05509883,0.05412693,0.05733833,0.00654234
569.3799,0.07774765,0.01615535,0.04252724,0.05685052,0.05700948,0.05332169,0.00255741
569.862,0.08337781,0.01360482,0.046881,0.05693275,0.06001463,0.05169245,0.001281349
570.3441,0.08978382,0.01338686,0.04952496,0.05616587,0.06219215,0.052739,0.001980664
570.8262,0.09493209,0.01396348,0.05107027,0.05484382,0.06272775,0.05609426,0.003916694
571.3083,0.09895818,0.01601919,0.05075831,0.05202179,0.06174821,0.06095604,0.007711387
571.7905,0.1016162,0.01914368,0.04902043,0.04762492,0.05903228,0.06637101,0.01245346
572.2726,0.1030755,0.02275621,0.04655154,0.04210392,0.05460392,0.07144967,0.01684391
572.7547,0.1022898,0.02449874,0.045418,0.03732795,0.04808377,0.07559809,0.01814997
573.2368,0.1023429,0.02732764,0.0435234,0.03251141,0.04168071,0.07848018,0.01862094
573.7189,0.1019798,0.02930944,0.04244586,0.0295404,0.03556952,0.07995453,0.01668459
