absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4
525.5073,0.003106952,0.0961493,0.02895338,0.01194699
525.9894,0.0,0.1014291,0.03001803,0.01083171
526.4715,0.001014858,0.1032099,0.03207462,0.01100769
526.9536,0.004801281,0.10236,0.03447783,0.01117789
527.4357,0.009674296,0.096395,0.03480991,0.0111318
527.9178,0.01339938,0.09178374,0.03506284,0.01033891
528.4,0.01520425,0.08995923,0.0359682,0.009792689
528.8821,0.01595981,0.08883298,0.03685969,0.009882603
529.3642,0.01671424,0.08805046,0.03800664,0.01052064
529.8463,0.01868042,0.08704005,0.03947219,0.01090837
530.3284,0.02190491,0.08549511,0.04142006,0.01025821
530.8105,0.02505554,0.08373886,0.04403117,0.008414242
531.2927,0.02710004,0.08183766,0.04717097,0.005775731
531.7748,0.02789755,0.07950065,0.05025085,0.003138479
532.2569,0.02770194,0.07657575,0.05261189,0.001342177
532.739,0.02689471,0.07329801,0.05355099,0.0009316299
533.2211,0.02604376,0.07023919,0.05289638,0.001913952
533.7032,0.02629646,0.06762151,0.0510636,0.00389953
534.1854,0.02817724,0.06580964,0.04935789,0.006612066
534.6675,0.03144315,0.06530681,0.04944761,0.009896888
535.1496,0.03555804,0.06647679,0.05263131,0.01365352
535.6317,0.04014643,0.06897818,0.05930661,0.01769974
536.1138,0.04471678,0.07189412,0.068656,0.02197973
536.5959,0.04871892,0.07410223,0.07903352,0.02647913
537.0781,0.05204333,0.07427625,0.08818677,0.03088903
537.5602,0.055152,0.07145918,0.09422368,0.03459452
538.0423,0.05853538,0.06578216,0.09650801,0.03713811
538.5244,0.06204672,0.05884708,0.09575555,0.03847268
539.0065,0.06420142,0.05685107,0.09513799,0.03894889
539.4886,0.066865,0.05558579,0.09366835,0.03871015
539.9708,0.06958377,0.05640905,0.09262624,0.03882053
540.4529,0.07186972,0.06062954,0.09255126,0.03936061
540.935,0.07308617,0.06719752,0.09275916,0.04034727
541.4171,0.07337287,0.07076927,0.090923,0.04174238
541.8992,0.07104198,0.07471676,0.08832301,0.04246617
542.3813,0.06523117,0.07907795,0.08578302,0.04263432
542.8635,0.05705604,0.08140548,0.08329061,0.04182327
543.3456,0.04771002,0.08189377,0.08185576,0.03995959
543.8277,0.03846961,0.08371481,0.08378206,0.03680944
544.3098,0.03112734,0.08244342,0.08574355,0.03325994
544.7919,0.02626397,0.08100849,0.08836046,0.02928613
545.274,0.02425133,0.07857033,0.08959597,0.02525897
545.7562,0.02437031,0.07900392,0.09065565,0.02088802
546.2383,0.02534289,0.08080316,0.0896278,0.0169435
546.7204,0.02736185,0.08061901,0.08550951,0.01329707
547.2025,0.02919863,0.0800782,0.07977268,0.01029051
547.6846,0.03073285,0.07891821,0.0732239,0.008090032
548.1667,0.0320297,0.07747485,0.06682646,0.006687438
548.6489,0.03287816,0.07763552,0.06183231,0.005843699
549.131,0.03427561,0.07672343,0.05732702,0.005278459
549.6131,0.03591428,0.07607964,0.05377565,0.004490726
550.0952,0.03750273,0.07593679,0.05108676,0.003353296
550.5773,0.03881302,0.07636791,0.04902129,0.002004854
551.0594,0.03997922,0.07719774,0.04724225,0.0007654354
551.5416,0.04134873,0.07812788,0.04547559,0.0
552.0237,0.04334627,0.07712122,0.04252015,0.0002217814
552.5058,0.04618784,0.07339182,0.03811906,0.001623938
552.9879,0.04942904,0.07121435,0.03527308,0.003487185
553.47,0.05248093,0.06993046,0.03362224,0.005885415
553.9521,0.05588915,0.06675818,0.03241215,0.008235829
554.4343,0.05902353,0.06306526,0.03239086,0.01022094
554.9164,0.06160732,0.05962592,0.03365856,0.01164127
555.3985,0.06387852,0.05602,0.03529491,0.01235535
555.8806,0.06600458,0.05204919,0.03614312,0.01235929
556.3627,0.06761645,0.04899062,0.03566503,0.01176817
556.8448,0.06926165,0.04492514,0.0324381,0.01064198
557.327,0.07077706,0.03951744,0.02645577,0.009233851
557.8091,0.07174738,0.03283795,0.01859849,0.007999385
558.2912,0.07167032,0.02536792,0.01034849,0.007559875
558.7733,0.06914855,0.0217609,0.004814819,0.008533714
559.2554,0.06600782,0.01903097,0.002119318,0.01060365
559.7375,0.06230956,0.0138621,0.0,0.01490637
560.2197,0.0580117,0.01071651,0.000324592,0.0202859
560.7018,0.05355584,0.009870121,0.002339169,0.02561541
561.1839,0.04930494,0.01066009,0.004742842,0.02967918
561.666,0.04615411,0.00952683,0.005651023,0.03170983
562.1481,0.04282433,0.01376022,0.008367795,0.03024842
562.6302,0.03916697,0.02107931,0.01203819,0.02626107
563.1124,0.03570204,0.02911112,0.01618854,0.02055983
563.5945,0.03256698,0.03703298,0.02092385,0.01447719
564.0766,0.03005475,0.04394329,0.02606965,0.009347325
564.5587,0.02866446,0.04897616,0.03120745,0.006057253
565.0408,0.02887292,0.0515504,0.03586532,0.00505414
565.5229,0.03107117,0.05147941,0.03969149,0.006271414
566.0051,0.03552414,0.04896841,0.04255046,0.009356879
566.4872,0.04231038,0.04451739,0.04445852,0.01381251
566.9693,0.05113501,0.03880043,0.04545112,0.01913944
567.4514,0.06122086,0.03263913,0.04556335,0.02490116
567.9335,0.07130235,0.02690877,0.04476621,0.03062369
568.4156,0.07970715,0.02585637,0.04528337,0.035404
568.8978,0.08593108,0.02266175,0.04270141,0.03971972
569.3799,0.08843197,0.02327033,0.04063804,0.04281607
569.862,0.0887429,0.02259556,0.0375575,0.04419871
570.3441,0.08680395,0.02259077,0.03512704,0.04386425
570.8262,0.08307076,0.02440339,0.03467713,0.04194257
571.3083,0.07884981,0.02636918,0.03603339,0.03861526
571.7905,0.07476409,0.02821731,0.03912862,0.03432775
572.2726,0.0710505,0.02977415,0.04346,0.0297071
572.7547,0.06695163,0.03315393,0.04925374,0.02552713
573.2368,0.06358479,0.03416476,0.0541122,0.02214618
573.7189,0.06034312,0.03475621,0.05847384,0.02003626
574.201,0.05753481,0.03487143,0.06224275,0.01927759
574.6832,0.05564721,0.03437079,0.0654184,0.01963187
575.1653,0.05517226,0.03316048,0.06801502,0.02056064
575.6474,0.05633569,0.03119496,0.06996595,0.02136574
576.1295,0.05901552,0.02849764,0.07114357,0.02135152
576.6116,0.06268477,0.02522489,0.07146981,0.02009019
577.0938,0.06658307,0.02169507,0.07099552,0.01758768
577.5759,0.06994234,0.01828849,0.0698368,0.01421567
578.058,0.07227432,0.01538353,0.06813282,0.01062944
578.5401,0.07333051,0.01325089,0.06591718,0.007547703
579.0222,0.07314645,0.01208504,0.06314191,0.005689671
579.5043,0.07197152,0.01190621,0.05976515,0.00559778
579.9865,0.07027008,0.01247122,0.05581475,0.007462395
580.4686,0.06854175,0.01332626,0.05152135,0.01108132
580.9507,0.06721486,0.01400779,0.04727279,0.01585041
581.4328,0.06656268,0.0142685,0.0434806,0.02096536
581.9149,0.06669876,0.01418112,0.04049932,0.02555465
582.397,0.06753187,0.01418793,0.03851809,0.0289412
582.8792,0.06877544,0.01490642,0.03753624,0.03073406
583.3613,0.06996661,0.01696942,0.03738305,0.03081038
583.8434,0.07064869,0.02062979,0.03779091,0.02932481
584.3255,0.07055199,0.02562637,0.03853358,0.0266456
584.8076,0.06971511,0.03115377,0.03949342,0.0232953
585.2897,0.0685316,0.03614491,0.04069157,0.01980858
585.7719,0.06762451,0.03964144,0.04223379,0.01665415
586.254,0.06765987,0.0410905,0.04424767,0.01421401
586.7361,0.06902743,0.04056568,0.04678428,0.01271209
587.2182,0.06972062,0.03880408,0.04867956,0.01244759
587.7003,0.07185728,0.03637034,0.05091204,0.01318325
588.1824,0.07517224,0.03381035,0.05319985,0.01454206
588.6646,0.07919371,0.03142441,0.05516353,0.01598434
589.1467,0.08337774,0.02921548,0.05643358,0.01694488
589.6288,0.0872922,0.02696783,0.05680237,0.01706303
590.1109,0.09064047,0.02439578,0.05629613,0.01630492
590.593,0.09327258,0.02132288,0.05523405,0.01505269
591.0751,0.09514186,0.0178158,0.05413134,0.01397058
591.5573,0.09623934,0.01421741,0.05358146,0.01383161
592.0394,0.0965523,0.01105673,0.05401088,0.01518566
592.5215,0.09606494,0.008840056,0.05547622,0.01810265
593.0036,0.09477405,0.007953275,0.05761984,0.02215219
593.4857,0.09271751,0.008568709,0.05977547,0.02654349
593.9678,0.08998441,0.01064743,0.06125706,0.03047121
594.45,0.08673064,0.01397647,0.06151744,0.03329589
594.9321,0.0831816,0.01816738,0.06036638,0.03477669
595.4142,0.0796174,0.0227001,0.05800873,0.03508962
595.8963,0.07639936,0.02688734,0.05499289,0.03473013
596.3784,0.07392506,0.03000033,0.05202829,0.03428254
596.8605,0.07255872,0.03143419,0.04973069,0.03416525
597.3427,0.07261413,0.03078107,0.04849964,0.03451698
597.8248,0.07423739,0.02800349,0.0483884,0.035144
598.3069,0.07734847,0.0234528,0.04916289,0.03564799
598.789,0.08157678,0.01789231,0.05040038,0.03556147
599.2711,0.08629817,0.01233753,0.05167394,0.03456813
599.7532,0.09078106,0.007817684,0.05268995,0.03262688
600.2354,0.09433442,0.005174159,0.0533243,0.03001299
600.7175,0.09657665,0.004730524,0.05362383,0.02721689
601.1996,0.09749857,0.006248729,0.05371877,0.02476612
601.6817,0.09740388,0.009014959,0.05375139,0.02307899
602.1638,0.09671105,0.01214687,0.053822,0.0223175
602.6459,0.09576255,0.01485039,0.05400126,0.0224022
603.1281,0.09469735,0.01660038,0.05436171,0.02307434
603.6102,0.09341972,0.01728155,0.05498759,0.02402517
604.0923,0.09169593,0.01713513,0.05596849,0.02498325
604.5744,0.0893149,0.01665583,0.05734354,0.02577987
605.0565,0.08625738,0.01636076,0.05904042,0.026373
605.5386,0.08276992,0.01664356,0.06083585,0.02680634
606.0208,0.07934634,0.01763016,0.06236073,0.02715284
606.5029,0.07654206,0.01915527,0.06321727,0.02745901
606.985,0.07485063,0.02083114,0.06306361,0.02772181
607.4671,0.07452978,0.02219123,0.06175336,0.02789559
607.9492,0.07553344,0.02288863,0.0594008,0.02792618
608.4313,0.07755041,0.02278315,0.05637104,0.02778366
608.9135,0.0801122,0.02200814,0.05318271,0.0274888
609.3956,0.08277027,0.02088787,0.05032494,0.02711108
609.8777,0.08515906,0.01984209,0.04818333,0.02675417
610.3598,0.08707783,0.01921413,0.04692803,0.0265214
610.8419,0.08847804,0.01914583,0.04651463,0.02647932
611.324,0.08939758,0.01955394,0.04674344,0.02664749
611.8062,0.08990099,0.02016676,0.04734707,0.02699257
612.2883,0.09003305,0.02066072,0.0480902,0.02744743
612.7704,0.08981512,0.02076347,0.04879287,0.02791839
613.2525,0.08925991,0.02037342,0.04935292,0.02830058
613.7346,0.08839812,0.01956758,0.04971665,0.02848722
614.2167,0.08729678,0.0185503,0.04984346,0.02836074
614.6989,0.08605365,0.01753761,0.04970429,0.02781811
615.181,0.08477778,0.01665135,0.04929594,0.02679782
615.6631,0.08357771,0.0158629,0.04867738,0.02531169
616.1452,0.08253146,0.01499918,0.04798079,0.02347242
616.6273,0.08168368,0.0138254,0.04738566,0.02148796
617.1094,0.08105983,0.01214567,0.04706833,0.01963983
617.5916,0.08067523,0.00992186,0.04710995,0.01818875
618.0737,0.08055606,0.007306912,0.04745369,0.0173168
618.5558,0.08074221,0.004630853,0.04790128,0.01707513
619.0379,0.08127259,0.002288092,0.04819274,0.01737072
619.52,0.08216399,0.0006552581,0.04809292,0.01799812
620.0021,0.08339126,0.0,0.04749501,0.01869384
620.4843,0.08488658,0.0003998131,0.04648256,0.01923319
620.9664,0.08653246,0.001745004,0.04531965,0.01946316
621.4485,0.08816554,0.003766962,0.04438027,0.01933875
621.9306,0.08960447,0.006140006,0.04399431,0.01890901
622.4127,0.09065429,0.008534698,0.04435501,0.01828557
622.8948,0.09114175,0.01069475,0.0454323,0.01759767
623.377,0.09095868,0.01248276,0.04700091,0.01694784
623.8591,0.09008138,0.01385924,0.04871465,0.01641132
624.3412,0.08859751,0.01487055,0.05025058,0.0160381
624.8233,0.08668684,0.01560694,0.05144334,0.0158646
625.3054,0.08460849,0.01617665,0.05231506,0.01593098
625.7875,0.0826342,0.01667221,0.05305137,0.01627507
626.2697,0.08097232,0.01714857,0.05387709,0.01691248
626.7518,0.07974725,0.01762299,0.05496451,0.01782277
627.2339,0.07897314,0.01807243,0.0563395,0.01893861
627.716,0.07858922,0.01844383,0.05788689,0.02015805
628.1981,0.07850482,0.01865517,0.05938892,0.02135466
628.6802,0.07865495,0.01860872,0.06061571,0.02240807
629.1624,0.07902912,0.01820789,0.06140455,0.02322673
629.6445,0.07967697,0.0173684,0.06168199,0.02375177
630.1266,0.08068244,0.01605614,0.0614759,0.02396945
630.6087,0.08211984,0.01431289,0.0608752,0.02390022
631.0908,0.08400883,0.01228107,0.05999175,0.02359001
631.5729,0.08627257,0.01019319,0.05891509,0.02309484
632.0551,0.08872562,0.008342193,0.05770542,0.02247047
632.5372,0.09107053,0.007050646,0.0564073,0.0217729
633.0193,0.09296961,0.006573181,0.0550615,0.02105255
633.5014,0.09410431,0.007046245,0.05372266,0.0203539
633.9835,0.09425063,0.008439369,0.05245355,0.01971628
634.4656,0.09336889,0.01055651,0.05130059,0.01916658
634.9478,0.09162411,0.01307487,0.05027618,0.01871604
635.4299,0.08937398,0.01561525,0.04934789,0.01836072
635.912,0.08704843,0.01785994,0.04845437,0.01808416
636.3941,0.08507038,0.01958848,0.04753483,0.01786099
636.8762,0.0837497,0.0206999,0.04656396,0.0176619
637.3583,0.08320712,0.02119241,0.04557146,0.01746196
637.8405,0.08339003,0.0211107,0.04464068,0.01724026
