absorbance_2.9_1A,2.9_1A,2.9_2A,2.9_3A,2.9_4A
525.5073,0.01802813,0.00672604,0.06314315,0.03711791
525.9894,0.01889557,0.007849956,0.06815992,0.04199557
526.4715,0.01827597,0.007130425,0.06673392,0.04364022
526.9536,0.01677535,0.005157668,0.06167909,0.0433722
527.4357,0.01607642,0.002589343,0.05710369,0.03936921
527.9178,0.01619227,0.001655241,0.05251025,0.03633411
528.4,0.01765465,0.003768642,0.04993326,0.03234292
528.8821,0.01971472,0.006798519,0.05032292,0.02761857
529.3642,0.02193459,0.01006989,0.05238643,0.02294477
529.8463,0.02395584,0.01300262,0.05440655,0.0191272
530.3284,0.02566561,0.01548372,0.05504432,0.01635297
530.8105,0.02757662,0.01771839,0.05391621,0.01420528
531.2927,0.03014314,0.01948882,0.05139232,0.01216558
531.7748,0.03348375,0.02026718,0.04862273,0.009871282
532.2569,0.03775026,0.01960514,0.04721066,0.007089995
532.739,0.04322572,0.01756368,0.04859766,0.004024766
533.2211,0.04993847,0.01483181,0.05349072,0.001317926
533.7032,0.05687657,0.0124083,0.06144978,0.0
534.1854,0.06267546,0.01157015,0.0714594,0.0006876364
534.6675,0.06625947,0.01323131,0.08196941,0.003533907
535.1496,0.06703828,0.01744805,0.09133755,0.008254044
535.6317,0.06472659,0.02327657,0.09808754,0.01413451
536.1138,0.05955889,0.02929815,0.1014689,0.02018552
536.5959,0.05237303,0.03408822,0.1015482,0.02540777
537.0781,0.04427756,0.03648791,0.09898258,0.02909898
537.5602,0.03633613,0.03596999,0.0947625,0.03111334
538.0423,0.02960658,0.03269324,0.09013377,0.03161434
538.5244,0.02541015,0.02741911,0.0863187,0.03105365
539.0065,0.02488463,0.02377654,0.08197673,0.03128102
539.4886,0.02693564,0.01750084,0.07951272,0.03276132
539.9708,0.0313346,0.01090556,0.07865565,0.03386179
540.4529,0.03630937,0.005345473,0.07710914,0.03672219
540.935,0.04045074,0.001994155,0.07407711,0.04131849
541.4171,0.04287019,0.0,0.07187897,0.04473785
541.8992,0.0425739,0.001894994,0.06788227,0.05069435
542.3813,0.04078492,0.009407554,0.06367956,0.0560969
542.8635,0.03798338,0.01987619,0.06126185,0.05982447
543.3456,0.03509744,0.03154901,0.06111727,0.06128018
543.8277,0.03281988,0.04109768,0.06407888,0.06152611
544.3098,0.0322818,0.04843868,0.0670085,0.05838308
544.7919,0.03364963,0.0510159,0.06950484,0.0535785
545.274,0.03661099,0.04871152,0.06970254,0.04751254
545.7562,0.03987013,0.04075778,0.06836461,0.0429638
546.2383,0.04279985,0.03252164,0.06292346,0.03913834
546.7204,0.04369144,0.02288673,0.05620931,0.03642476
547.2025,0.04222234,0.01556734,0.04826151,0.03489608
547.6846,0.03846679,0.01156259,0.03994559,0.03418381
548.1667,0.03312419,0.01127768,0.03173311,0.03395499
548.6489,0.02734249,0.01549948,0.02305165,0.03436659
549.131,0.02203087,0.02184921,0.01565286,0.03370456
549.6131,0.01759327,0.02971925,0.009144053,0.03291721
550.0952,0.01421221,0.0379453,0.004095968,0.03202568
550.5773,0.01171793,0.04541965,0.0009833872,0.0311507
551.0594,0.009669254,0.05097345,0.0,0.03057393
551.5416,0.007594641,0.05367265,0.00105568,0.03061508
552.0237,0.005358368,0.05379448,0.003146447,0.03063904
552.5058,0.003140099,0.05168715,0.005700387,0.03035468
552.9879,0.001018006,0.04633153,0.01017971,0.03170221
553.47,0.0,0.0412521,0.01492263,0.03330728
553.9521,0.0002864227,0.03505865,0.0218827,0.03457585
554.4343,0.002409026,0.02939293,0.03125853,0.03554106
554.9164,0.006482378,0.02528731,0.04314151,0.03632281
555.3985,0.01204158,0.02285922,0.0573826,0.0370056
555.8806,0.01839243,0.02235088,0.0728863,0.03768657
556.3627,0.02484471,0.02505405,0.08725243,0.03853481
556.8448,0.03018655,0.02930538,0.09930749,0.03925961
557.327,0.03366967,0.03422913,0.1077549,0.0396492
557.8091,0.03501341,0.03872707,0.1120064,0.03950626
558.2912,0.03443435,0.0416737,0.1121923,0.03876562
558.7733,0.03271504,0.04501983,0.1069707,0.03867107
559.2554,0.02928307,0.04190072,0.1012605,0.04024673
559.7375,0.02598977,0.03694553,0.09370196,0.03943364
560.2197,0.0227814,0.03030188,0.08511387,0.03924081
560.7018,0.01986797,0.02329496,0.07619809,0.03986526
561.1839,0.01733095,0.01787419,0.06717765,0.0409307
561.666,0.01528596,0.01355354,0.06066677,0.04001123
562.1481,0.01290276,0.0118126,0.05475196,0.04282822
562.6302,0.01122992,0.01458053,0.04960972,0.04638255
563.1124,0.01043759,0.01993485,0.04628628,0.05053315
563.5945,0.01105684,0.02699054,0.04498102,0.05532817
564.0766,0.01348532,0.03480212,0.04574908,0.0607213
564.5587,0.01767482,0.04256433,0.04840654,0.06657465
565.0408,0.02321938,0.04962625,0.05257592,0.07259526
565.5229,0.02940599,0.05546414,0.05767458,0.07841767
566.0051,0.03544502,0.05957734,0.06302524,0.08368979
566.4872,0.04057482,0.06141096,0.06785537,0.08807573
566.9693,0.04433979,0.06054174,0.07149754,0.09127523
567.4514,0.04680043,0.05686034,0.07357751,0.09298702
567.9335,0.04844666,0.05076348,0.0741079,0.09289082
568.4156,0.04967318,0.04169073,0.07496372,0.09245444
568.8978,0.05150602,0.03392702,0.07380176,0.08829034
569.3799,0.05415666,0.02872223,0.07215007,0.08280328
569.862,0.05683974,0.02329155,0.07265621,0.07622152
570.3441,0.05948123,0.01992576,0.07448603,0.06983323
570.8262,0.06182134,0.01986239,0.07667547,0.06500165
571.3083,0.06337673,0.02162715,0.07916956,0.06254127
571.7905,0.06418081,0.02447165,0.08125791,0.06292951
572.2726,0.06451704,0.02758326,0.08231871,0.0660223
572.7547,0.06503069,0.03198545,0.0811175,0.07138641
573.2368,0.06529967,0.03387822,0.07949312,0.0776754
573.7189,0.0654504,0.03456463,0.07676397,0.08421053
574.201,0.06509583,0.03405883,0.07314855,0.0903862
574.6832,0.06374414,0.032714,0.06878752,0.09583775
575.1653,0.06108968,0.03118066,0.06380548,0.1003039
575.6474,0.05718294,0.03019579,0.05836518,0.1034771
576.1295,0.05244565,0.03033846,0.0528046,0.1048654
576.6116,0.04754743,0.03173091,0.04763526,0.1038548
577.0938,0.04307748,0.03406814,0.0433696,0.0999814
577.5759,0.03935846,0.0367672,0.04039805,0.09313591
578.058,0.0363072,0.0392405,0.0389175,0.08376934
578.5401,0.03361549,0.04121215,0.03894437,0.07285467
579.0222,0.03095745,0.04268862,0.04041297,0.06190592
579.5043,0.02817244,0.0439523,0.04322479,0.05262528
579.9865,0.02532444,0.04530327,0.04724099,0.04640278
580.4686,0.02267226,0.04696194,0.05221668,0.04400456
580.9507,0.02064678,0.04884801,0.05774708,0.04530171
581.4328,0.01966916,0.05058385,0.06330087,0.0494812
581.9149,0.0200339,0.05161786,0.06821804,0.05535888
582.397,0.02179159,0.05146461,0.07190886,0.06179676
582.8792,0.0247535,0.0499289,0.07398671,0.06794474
583.3613,0.02858593,0.0471671,0.07439116,0.07319931
583.8434,0.03283872,0.04364929,0.07345565,0.07722574
584.3255,0.03705816,0.03994987,0.07184887,0.07985514
584.8076,0.04081957,0.03660165,0.07041645,0.08102566
585.2897,0.04380352,0.0339091,0.06981365,0.08079552
585.7719,0.04582213,0.03192771,0.07029119,0.07933073
586.254,0.0467866,0.03055149,0.07159521,0.07691085
586.7361,0.04675934,0.02963591,0.07311045,0.07386702
587.2182,0.04625612,0.03029675,0.07345997,0.07083818
587.7003,0.04466429,0.03120987,0.07267377,0.06788373
588.1824,0.04229313,0.03206114,0.07059786,0.06522745
588.6646,0.03964146,0.03260648,0.06735396,0.06311942
589.1467,0.0373395,0.03271092,0.06330622,0.06184284
589.6288,0.03595588,0.03238142,0.05893793,0.06163214
590.1109,0.03589813,0.0317708,0.05481157,0.06260131
590.593,0.03723894,0.03115923,0.05148751,0.06460685
591.0751,0.0396519,0.03083906,0.04938081,0.06721722
591.5573,0.04242835,0.0310118,0.04869623,0.06973914
592.0394,0.04466895,0.03163716,0.04933179,0.07144834
592.5215,0.04564084,0.03241149,0.05093464,0.07191416
593.0036,0.04494587,0.03281718,0.05300418,0.07113484
593.4857,0.04266461,0.03230589,0.05507585,0.06955253
593.9678,0.03924872,0.03051298,0.05686901,0.06781733
594.45,0.0353765,0.02734844,0.05829044,0.06660716
594.9321,0.03173501,0.02308172,0.05942262,0.06638221
595.4142,0.02882478,0.01824812,0.06042774,0.0672639
595.8963,0.02692783,0.0135646,0.0614571,0.06906252
596.3784,0.02605562,0.009698026,0.06255569,0.07136508
596.8605,0.02603398,0.007068774,0.06363626,0.07372306
597.3427,0.02660461,0.005818198,0.06449643,0.07573606
597.8248,0.02755274,0.005789325,0.06491143,0.07714299
598.3069,0.02878386,0.006654467,0.0647327,0.07780065
598.789,0.03032299,0.008020578,0.06394587,0.07761805
599.2711,0.03226228,0.009577822,0.06270444,0.07654546
599.7532,0.03465866,0.01115276,0.06126644,0.0746038
600.2354,0.03744042,0.01268786,0.05990715,0.07196032
600.7175,0.04037341,0.0141822,0.05876936,0.06897193
601.1996,0.04311109,0.01560927,0.05780211,0.06615452
601.6817,0.04527093,0.01686186,0.05676977,0.06411325
602.1638,0.04657376,0.01777581,0.05537476,0.0633287
602.6459,0.0468995,0.01818948,0.05339475,0.06403825
603.1281,0.04629995,0.01803926,0.05080485,0.0661467
603.6102,0.04495304,0.01744035,0.04783615,0.06924094
604.0923,0.04308567,0.01670933,0.04494838,0.07267714
604.5744,0.04088643,0.01631953,0.04272626,0.07572914
605.0565,0.03843982,0.01672656,0.04166321,0.07782906
605.5386,0.03574543,0.01824302,0.04205286,0.07864702
606.0208,0.03278799,0.02089106,0.04387905,0.07815976
606.5029,0.02963355,0.02436841,0.04683416,0.07659993
606.985,0.02651701,0.02807781,0.0503722,0.07437518
607.4671,0.02386027,0.03128162,0.0538268,0.07197163
607.9492,0.02215309,0.03337295,0.0565993,0.06983
608.4313,0.02185881,0.03401105,0.05820218,0.0683384
608.9135,0.02321658,0.03327113,0.0583712,0.06776486
609.3956,0.02613318,0.03156614,0.05709377,0.06821053
609.8777,0.03017265,0.02950894,0.05459323,0.06959401
610.3598,0.03466325,0.02764476,0.05129389,0.07163227
610.8419,0.0389313,0.02623319,0.04771731,0.07391082
611.324,0.04241072,0.02519489,0.04445114,0.07593064
611.8062,0.04481509,0.02417385,0.0420059,0.07726995
612.2883,0.04614478,0.02277143,0.04070764,0.07771068
612.7704,0.04661185,0.02075148,0.04067731,0.07727322
613.2525,0.04651622,0.01824181,0.04179488,0.07620469
613.7346,0.04611121,0.01571887,0.04376617,0.07485015
614.2167,0.04555013,0.01391961,0.04616888,0.07355076
614.6989,0.04485493,0.01353028,0.04856666,0.07250594
615.181,0.04397005,0.01491242,0.05059065,0.07174426
615.6631,0.04283041,0.01793507,0.05196286,0.07116423
616.1452,0.04142658,0.02196003,0.0525527,0.07063296
616.6273,0.03982502,0.02606003,0.05236331,0.07008658
617.1094,0.03815412,0.02927248,0.05149987,0.06958303
617.5916,0.03654475,0.03100526,0.05012765,0.06927954
618.0737,0.03508659,0.03116791,0.0484356,0.06935475
618.5558,0.03380735,0.03017459,0.04662698,0.06992082
619.0379,0.0326779,0.02871567,0.04489074,0.07095502
619.52,0.03164872,0.02750538,0.04341357,0.0722989
620.0021,0.03069024,0.02701947,0.04236696,0.07369281
620.4843,0.02982164,0.02731231,0.04186136,0.07487143
620.9664,0.02912213,0.02805243,0.04194225,0.07560875
621.4485,0.02872087,0.0286652,0.04258165,0.07577054
621.9306,0.02875256,0.02861981,0.0437045,0.07533598
622.4127,0.02933348,0.02758081,0.04521312,0.07438186
622.8948,0.03051262,0.02554273,0.04701007,0.0730759
623.377,0.03224051,0.02279303,0.04900633,0.07164358
623.8591,0.03433722,0.01982354,0.05108704,0.07037565
624.3412,0.03648825,0.01716771,0.05308682,0.06958184
624.8233,0.03831165,0.01522267,0.05479672,0.06950482
625.3054,0.03939937,0.01420842,0.0559733,0.07025763
625.7875,0.03945962,0.01412091,0.05641941,0.07173178
626.2697,0.03842339,0.01480712,0.05607166,0.07361194
626.7518,0.03647342,0.01604436,0.05504701,0.07541673
627.2339,0.03400803,0.01763079,0.05364167,0.07665392
627.716,0.03149696,0.01942807,0.05223381,0.07698151
628.1981,0.02939344,0.02132998,0.05121119,0.07627425
628.6802,0.02797646,0.02323274,0.05082285,0.07468439
629.1624,0.02729427,0.0250084,0.05111074,0.07257059
629.6445,0.02717603,0.02648309,0.05190331,0.07041683
630.1266,0.02730797,0.02748043,0.05287851,0.06865738
630.6087,0.02736458,0.02787195,0.05368877,0.06756091
631.0908,0.02710578,0.02761203,0.05405419,0.06720173
631.5729,0.02647613,0.02676702,0.05387384,0.06747417
632.0551,0.02559597,0.02549409,0.05322746,0.06818703
632.5372,0.02471019,0.02400967,0.05233165,0.06914394
633.0193,0.02406695,0.02251536,0.05143593,0.07022405
633.5014,0.02382888,0.02116425,0.05074005,0.07138927
633.9835,0.02402131,0.02004309,0.05034378,0.07265656
634.4656,0.02454064,0.01917269,0.05022931,0.07405107
634.9478,0.02522169,0.01853777,0.05029549,0.07556634
635.4299,0.02592234,0.01811418,0.05040896,0.07714551
635.912,0.0265966,0.01787983,0.05046497,0.07869773
636.3941,0.02729881,0.01780749,0.05040715,0.08011457
636.8762,0.02814558,0.01784321,0.05023145,0.08128761
637.3583,0.0292327,0.01790037,0.04996794,0.08212655
637.8405,0.03057981,0.01786415,0.04966159,0.0825486
638.3226,0.03209427,0.01763123,0.04936143,0.08248775
638.8047,0.03360198,0.01716667,0.0491154,0.08191703
639.2868,0.03488515,0.01654505,0.0489757,0.08087416
639.7689,0.03575864,0.01596171,0.04899225,0.07949563
640.251,0.0361314,0.01566543,0.049194,0.07800211
640.7332,0.03601878,0.01589686,0.04957312,0.07668548
641.2153,0.03553977,0.01677028,0.05006967,0.07582079
641.6974,0.03486469,0.01821597,0.05058344,0.07557375
642.1795,0.03418515,0.01997255,0.05098776,0.07596306
642.6616,0.0336572,0.02165687,0.05117459,0.07684101
643.1437,0.03336995,0.02290058,0.05109,0.07796057
643.6259,0.03334493,0.02343011,0.05074846,0.07903097
644.108,0.03353375,0.02318454,0.05023079,0.07982634
644.5901,0.03384422,0.02231582,0.0496502,0.08024713
645.0722,0.0341583,0.02114941,0.04912789,0.08032402
645.5543,0.03437389,0.02004976,0.04875236,0.08018411
646.0364,0.03442992,0.01929978,0.04857052,0.0799671
646.5186,0.03431868,0.0190443,0.04859833,0.07975832
647.0007,0.03408659,0.0192581,0.04883306,0.07953243
647.4828,0.03381119,0.01979968,0.04926714,0.07916977
647.9649,0.03357015,0.02047014,0.04988073,0.07850263
648.447,0.03339865,0.02109378,0.05063109,0.07741176
648.9291,0.03327244,0.02154273,0.05143105,0.07589211
649.4113,0.03311254,0.02173131,0.05213842,0.07409318
649.8934,0.03283069,0.02160948,0.05259176,0.07227946
650.3755,0.03237827,0.02114374,0.05264648,0.07077199
650.8576,0.03179427,0.0203305,0.05223166,0.06985817
651.3397,0.03120855,0.01921145,0.05139001,0.06968626
651.8218,0.03081688,0.01789853,0.05028501,0.07023512
652.304,0.03081254,0.01657189,0.04916719,0.07130999
652.7861,0.03129999,0.01542298,0.04827917,0.07262357
653.2682,0.03225875,0.01461237,0.04779837,0.07386526
653.7503,0.03352977,0.01420468,0.0477676,0.07479967
654.2324,0.03487641,0.014148,0.04809245,0.07533383
654.7145,0.03602862,0.01429411,0.04857158,0.07551096
655.1967,0.03676202,0.01446137,0.04897082,0.07547893
655.6788,0.03695669,0.01451802,0.04911669,0.07540751
656.1609,0.03659499,0.01442219,0.04893271,0.07543834
656.643,0.03575397,0.01424035,0.04846727,0.07562862
657.1251,0.03455742,0.01410035,0.04785399,0.07594881
657.6072,0.03315545,0.01414222,0.04726823,0.0763079
658.0894,0.03169793,0.01445227,0.04685869,0.07660362
658.5715,0.03032665,0.01503692,0.04670621,0.07676835
659.0536,0.02919415,0.01583446,0.04682509,0.07678534
659.5357,0.02844112,0.01675114,0.04717573,0.07668994
660.0178,0.02816767,0.0177025,0.04770308,0.07654015
660.4999,0.02840973,0.01862653,0.04836158,0.07639287
660.9821,0.02910784,0.01948197,0.04913103,0.07628052
661.4642,0.03011887,0.02022669,0.05000522,0.07621285
661.9463,0.03123374,0.02079554,0.05096581,0.07619368
662.4284,0.03224732,0.02111971,0.05196228,0.07623398
662.9105,0.03301375,0.021161,0.05291014,0.07635589
663.3926,0.03347986,0.02095361,0.05370607,0.07658304
663.8748,0.03369775,0.02062088,0.05427216,0.07692127
664.3569,0.033786,0.02034627,0.05457868,0.07734787
664.839,0.03387979,0.02031589,0.05465058,0.07781415
665.3211,0.03407716,0.02063048,0.05454257,0.07826714
665.8032,0.03442023,0.02124796,0.05431623,0.07866921
666.2853,0.03489462,0.02195461,0.05402096,0.07902126
666.7675,0.03544894,0.02238836,0.05366863,0.07938045
667.2496,0.03603981,0.022195,0.05324161,0.0798524
667.7317,0.03667263,0.02131864,0.05271414,0.08053988
668.2138,0.03736631,0.02024384,0.05218387,0.0814399
668.6959,0.03809747,0.01971567,0.05182645,0.08241375
669.178,0.03878799,0.01996899,0.05162975,0.08328208
669.6602,0.03938267,0.02060454,0.05135523,0.08394259
670.1423,0.03987487,0.0211647,0.05085063,0.08437309
670.6244,0.04028572,0.0214598,0.05019574,0.08459452
671.1065,0.04063905,0.02147899,0.04957101,0.08463908
671.5886,0.04092946,0.02125465,0.0491927,0.08453488
672.0707,0.04112811,0.02083533,0.04922927,0.08429833
672.5529,0.04119168,0.0202882,0.04976176,0.08393664
673.035,0.0410734,0.01973239,0.05077566,0.08345923
673.5171,0.04074444,0.0193117,0.05214126,0.08290125
673.9992,0.04021135,0.01915529,0.05365978,0.08233752
674.4813,0.03953176,0.01935635,0.05509011,0.08189598
674.9634,0.03881244,0.01994835,0.05623203,0.08173011
675.4456,0.03818787,0.02091288,0.05697375,0.08197046
675.9277,0.03780372,0.02218452,0.05730005,0.08268236
676.4098,0.03776194,0.02366299,0.05729352,0.08381265
676.8919,0.03808642,0.02521979,0.05709231,0.08518964
677.374,0.03870718,0.02669309,0.0568489,0.08654353
677.8561,0.03948195,0.02792047,0.05666718,0.08760296
678.3383,0.04024709,0.02876514,0.05657785,0.08817073
678.8204,0.04086458,0.0291411,0.05654391,0.08817115
679.3025,0.04127718,0.02904998,0.05649484,0.08767094
679.7846,0.0415149,0.02858374,0.05637518,0.086844
680.2667,0.04167874,0.02791386,0.05618839,0.08592606
680.7488,0.04188408,0.02722872,0.05601134,0.08512856
681.231,0.04221418,0.02668607,0.0559784,0.08460234
681.7131,0.04268111,0.02636584,0.05623677,0.08441766
682.1952,0.04322256,0.02625484,0.05687872,0.08457083
682.6773,0.04372305,0.02627553,0.05790829,0.08501443
683.1594,0.04405436,0.02633204,0.05922304,0.08567873
683.6415,0.04412684,0.02636545,0.06065312,0.08648963
684.1237,0.04390842,0.0263746,0.0620043,0.08736097
684.6058,0.04343674,0.02641342,0.06312926,0.08819746
685.0879,0.04279666,0.0265532,0.06398192,0.08891127
685.57,0.04210369,0.02684567,0.06461909,0.08943406
686.0521,0.04147875,0.02729103,0.06517223,0.08974512
686.5342,0.04102822,0.02783949,0.06577395,0.08988224
687.0164,0.04085187,0.0284075,0.06651039,0.08994075
