absorbance_6.4_1A,6.4_1A,6.4_1AA,6.8_1A,6.8_2A
525.5073,0.004213694,0.06218438,0.0603452,0.07819778
525.9894,0.007601313,0.07857282,0.06591202,0.06986281
526.4715,0.008589868,0.0878737,0.06838705,0.05863604
526.9536,0.008901786,0.08913173,0.06886676,0.04652357
527.4357,0.007925533,0.08356097,0.0658221,0.03609328
527.9178,0.006483164,0.07362746,0.06184564,0.0293208
528.4,0.005204622,0.06211181,0.05531532,0.02731289
528.8821,0.004321784,0.0513937,0.04841672,0.03017474
529.3642,0.004193421,0.04294803,0.04236795,0.03713496
529.8463,0.005098831,0.037449,0.03801895,0.04669992
530.3284,0.00705963,0.0347785,0.03556561,0.05694566
530.8105,0.009907093,0.03430776,0.034466,0.06613314
531.2927,0.01281198,0.03520564,0.03352729,0.07294351
531.7748,0.01461384,0.03674046,0.03146101,0.07678168
532.2569,0.01442829,0.03845858,0.02732409,0.07769097
532.739,0.01213324,0.04008292,0.02101272,0.07607447
533.2211,0.008530602,0.04139533,0.01345245,0.07244705
533.7032,0.004759967,0.04209374,0.006340608,0.06725986
534.1854,0.002193335,0.04169689,0.001486152,0.06091483
534.6675,0.00177535,0.03965114,0.0,0.05378629
535.1496,0.003600586,0.03554976,0.001958936,0.04627592
535.6317,0.006805666,0.02932644,0.006521352,0.03892037
536.1138,0.01008576,0.02147523,0.01240253,0.03233402
536.5959,0.01228255,0.01305437,0.01831799,0.02709322
537.0781,0.01265736,0.005663583,0.02331582,0.02362759
537.5602,0.01118567,0.000931859,0.02701794,0.02203278
538.0423,0.008612439,0.0,0.02943229,0.02207077
538.5244,0.006267179,0.003195753,0.03073844,0.02325005
539.0065,0.005608838,0.009881521,0.0304185,0.02502142
539.4886,0.006351169,0.01874689,0.03135793,0.02691137
539.9708,0.008303445,0.0281154,0.03126016,0.02858017
540.4529,0.01070869,0.0365199,0.03167551,0.02990906
540.935,0.01284403,0.04299683,0.03323457,0.0310113
541.4171,0.01414343,0.04728603,0.03570271,0.03222718
541.8992,0.01498386,0.04979995,0.04139254,0.03401016
542.3813,0.01604427,0.05129918,0.04710015,0.03682629
542.8635,0.01738821,0.05248384,0.05276321,0.0410359
543.3456,0.0189327,0.05361592,0.05744283,0.04677114
543.8277,0.02212735,0.05444736,0.06254978,0.05389071
544.3098,0.02289422,0.05434097,0.06417435,0.06190476
544.7919,0.0224503,0.05268008,0.0644292,0.07008108
545.274,0.01988873,0.04922914,0.06320108,0.07753368
545.7562,0.01817532,0.04443301,0.06406468,0.08351474
546.2383,0.01569792,0.03925801,0.0639132,0.08766063
546.7204,0.0135218,0.03487656,0.06515895,0.08996047
547.2025,0.01230608,0.03212742,0.06655713,0.09056264
547.6846,0.01207211,0.03115701,0.06745791,0.08950116
548.1667,0.01254213,0.03139534,0.06725819,0.08654098
548.6489,0.01330414,0.0317646,0.06546463,0.08124442
549.131,0.01355593,0.03120422,0.06217436,0.07326408
549.6131,0.01314723,0.02903469,0.05886274,0.062608
550.0952,0.01232127,0.02532597,0.0565352,0.04986062
550.5773,0.01157876,0.02079216,0.0558855,0.03609787
551.0594,0.01151138,0.01652329,0.05727077,0.0228221
551.5416,0.01270051,0.0134777,0.06081187,0.01160222
552.0237,0.01435094,0.01211951,0.06516689,0.003722124
552.5058,0.01615177,0.01232228,0.06949497,0.0
552.9879,0.0207078,0.01345393,0.07633315,0.0004436299
553.47,0.02587702,0.0147061,0.08216569,0.004308257
553.9521,0.03076703,0.01536094,0.08729976,0.01027115
554.4343,0.03497864,0.01507771,0.09062894,0.01690966
554.9164,0.03820325,0.013913,0.09146319,0.02303098
555.3985,0.04017906,0.01221922,0.08980905,0.02780537
555.8806,0.04090413,0.01042662,0.08593459,0.03091507
556.3627,0.04071417,0.008869156,0.07990396,0.03246614
556.8448,0.03973773,0.00769455,0.07332079,0.03289961
557.327,0.03827949,0.006882755,0.06729648,0.03278856
557.8091,0.03660822,0.006368328,0.06270104,0.0326955
558.2912,0.03489759,0.006162964,0.06000018,0.03305324
