absorbance_1.11_1A,1.11_1A,1.11_2A,1.11_3A,1.11_4A,1.11_5A,6.9_1,6.9_2,6.9_2_NoCbbes_DiffDrop_Drop1,6.9_2_NoCbbes_DiffDrop_Drop2_1,6.9_2_NoCbbes_DiffDrop_Drop2_2,6.9_2_NoCbbes_DiffDrop_Drop2_3,6.9_2_NoCbbes_SameDrop_1,6.9_2_NoCbbes_SameDrop_2,6.9_3,6.9_4,6.9_5
525.5073,0.02502423,0.04742094,0.07433692,0.003519185,0.01501217,0.02745768,0.01542807,0.07192387,0.02910199,0.04609165,0.02741057,0.01371378,0.04148001,0.04780897,0.06767939,0.04486171
525.9894,0.02743396,0.04682842,0.07405966,0.0005996693,0.0136143,0.0294711,0.01285633,0.08041446,0.02738629,0.05120477,0.02923596,0.008741483,0.04089183,0.06134461,0.06768487,0.0450858
526.4715,0.0276631,0.0434591,0.07074646,0.0009147339,0.01396018,0.0272422,0.01039747,0.08508436,0.02411824,0.05395437,0.03012258,0.005884364,0.03701439,0.07219405,0.06894401,0.04684742
526.9536,0.0259902,0.04073716,0.06743664,0.0,0.01618369,0.02133142,0.007903673,0.08671904,0.01924449,0.05515195,0.03081791,0.002007499,0.03257366,0.07809641,0.0710738,0.04944841
527.4357,0.02265251,0.04041279,0.06637126,0.0003995113,0.01930103,0.01359919,0.00592614,0.08683506,0.0143509,0.05586547,0.031619,0.0005213469,0.028502,0.07852083,0.07148115,0.05172257
527.9178,0.02000386,0.04114723,0.06525624,0.001756625,0.02061966,0.006247483,0.004231736,0.08665465,0.01152431,0.05674261,0.03105726,0.0,0.02542931,0.07437879,0.07049422,0.05254916
528.4,0.0185604,0.04128565,0.06256159,0.003298974,0.01928257,0.001276374,0.003840156,0.08667599,0.01196579,0.05782331,0.03002547,0.00226488,0.02579345,0.06737948,0.06983174,0.05102983
528.8821,0.0183382,0.04114056,0.05934299,0.004987884,0.01731734,0.0,0.004665114,0.08660924,0.01390536,0.05862078,0.02848738,0.006099068,0.02817878,0.05952567,0.06859432,0.04671587
529.3642,0.01888295,0.04052608,0.0555615,0.006593881,0.01586072,0.002699606,0.005891375,0.08574301,0.01614111,0.05846063,0.02654591,0.01008613,0.03114992,0.05253747,0.06754787,0.03974847
529.8463,0.01901653,0.03918125,0.05129241,0.00760607,0.01570004,0.008677352,0.006599791,0.08332525,0.01687406,0.05678429,0.02464339,0.01264216,0.03285935,0.04765324,0.0675903,0.03087284
530.3284,0.01759523,0.03699327,0.04676125,0.007779632,0.0166638,0.01644763,0.006229401,0.07897875,0.01497768,0.05348967,0.02357748,0.01306577,0.03219777,0.04529406,0.06906624,0.02133614
530.8105,0.01415521,0.03452073,0.04260346,0.007321049,0.01768073,0.02438769,0.004449032,0.07289318,0.0108306,0.04903313,0.02400787,0.01180792,0.02933631,0.04507836,0.07142788,0.01247456
531.2927,0.009290079,0.03252039,0.03961028,0.006737834,0.01770108,0.03113651,0.001891233,0.06571451,0.005868496,0.04433404,0.02605822,0.01035823,0.02549266,0.046113,0.07354923,0.00551125
531.7748,0.004367955,0.03155496,0.03839636,0.00659059,0.01617376,0.03605288,0.0,0.0582427,0.001872953,0.0404303,0.02927639,0.01060953,0.02239628,0.04740977,0.07422423,0.001257962
532.2569,0.0008929633,0.03186752,0.03922674,0.007142887,0.01309254,0.03927146,1.677126e-05,0.05105637,0.0003664959,0.03802889,0.03275371,0.0140465,0.02154772,0.04827886,0.07275648,0.0
532.739,0.0,0.03366837,0.04223292,0.008276014,0.008913137,0.04151811,0.002297722,0.04437635,0.002322704,0.03729449,0.03545307,0.02109108,0.02377129,0.04841337,0.06917247,0.001561094
533.2211,0.002002083,0.03672789,0.0468145,0.009528434,0.004557379,0.04380099,0.00612516,0.03804696,0.007462057,0.03769501,0.03659707,0.03063903,0.02875829,0.0479224,0.06441204,0.005309548
533.7032,0.006652877,0.03988861,0.05145125,0.01042453,0.001262769,0.04701379,0.01069163,0.03175024,0.01423054,0.03823217,0.03602493,0.04054556,0.035372,0.0471293,0.05987334,0.01035084
