absorbance_1.8_1A,1.8_1A,1.8_2A,1.8_3A,1.8_4A,1.8_6A
525.5073,0.02513896,0.03898044,0.09225411,0.01313243,0.01332549
525.9894,0.0216291,0.03761327,0.08829924,0.00332047,0.01299104
526.4715,0.0252001,0.03925187,0.08595899,0.0,0.01258755
526.9536,0.03161978,0.04273703,0.08701337,0.002413303,0.0127857
527.4357,0.03716858,0.0444998,0.08981717,0.008374497,0.01150103
527.9178,0.04278467,0.04502059,0.09052856,0.01571185,0.01019274
528.4,0.04472201,0.04540515,0.08906722,0.02298783,0.01257898
528.8821,0.04305196,0.04551558,0.08551128,0.02972659,0.01600494
529.3642,0.03985228,0.04556521,0.08213278,0.03612595,0.01970262
529.8463,0.03727439,0.04504536,0.08123124,0.04261748,0.02255444
530.3284,0.03624283,0.04351426,0.08330495,0.04950096,0.02361977
530.8105,0.03644621,0.04100052,0.08718394,0.05681221,0.02264023
531.2927,0.03681097,0.03786692,0.09057136,0.06440456,0.02030095
531.7748,0.0358712,0.03462289,0.09104408,0.07211542,0.01803058
532.2569,0.03242354,0.03172234,0.08721579,0.07987751,0.01736979
532.739,0.02624322,0.02931382,0.07976373,0.08768715,0.0193589
533.2211,0.01823659,0.02718103,0.07111537,0.0955058,0.02395307
533.7032,0.01005386,0.02501441,0.06381473,0.1031516,0.03024846
534.1854,0.003425356,0.02286186,0.05950524,0.1102214,0.03673277
534.6675,0.0,0.02115891,0.05833305,0.1161931,0.04202747
535.1496,0.0009775683,0.02050128,0.05916207,0.1206195,0.04536801
535.6317,0.00678388,0.02137988,0.06006227,0.1232814,0.04664073
536.1138,0.01690241,0.02398547,0.05945531,0.1243197,0.04638503
536.5959,0.0300636,0.0279612,0.05710152,0.1242171,0.04540435
537.0781,0.04412712,0.03216958,0.05420319,0.1237551,0.04442663
537.5602,0.05650923,0.03514432,0.05262246,0.1237615,0.0439238
538.0423,0.0647052,0.03588931,0.05375891,0.1248467,0.04411817
538.5244,0.06711137,0.03435009,0.05819944,0.1272543,0.04514664
539.0065,0.0649967,0.03289456,0.06566023,0.1307623,0.05088447
539.4886,0.05902744,0.03048187,0.07334435,0.134813,0.05382852
539.9708,0.04947892,0.02948458,0.08096741,0.1386315,0.05740741
540.4529,0.04054907,0.03135429,0.08639061,0.1414904,0.06163856
540.935,0.03424894,0.03623778,0.08892436,0.1428283,0.06627399
541.4171,0.02909311,0.04195606,0.08910587,0.1423752,0.06885642
541.8992,0.02906746,0.04782619,0.08576349,0.1402003,0.07009941
542.3813,0.03113224,0.05268005,0.08102948,0.136611,0.07339031
542.8635,0.03348418,0.05405896,0.07503635,0.1319888,0.07592555
543.3456,0.03515639,0.05132039,0.06806693,0.12662,0.07757992
543.8277,0.03370927,0.04627699,0.06136651,0.1206956,0.07874093
544.3098,0.03393419,0.03748288,0.05379561,0.1144156,0.0784454
544.7919,0.03488037,0.02799335,0.04701806,0.108101,0.07725368
545.274,0.03819577,0.01915795,0.04147365,0.102327,0.07529199
545.7562,0.04064824,0.01458331,0.03892156,0.09785385,0.0737863
546.2383,0.04480237,0.01382906,0.03851303,0.09534621,0.07505747
546.7204,0.0480143,0.01530268,0.03944836,0.09515715,0.07428935
547.2025,0.04971465,0.01851365,0.04147952,0.0970744,0.07337489
547.6846,0.04961003,0.02198108,0.04410636,0.1003437,0.0716834
548.1667,0.04808524,0.02458421,0.04715974,0.103747,0.06898496
548.6489,0.04647884,0.02637051,0.0507247,0.1059677,0.06669124
549.131,0.04414323,0.02652128,0.05478885,0.1060795,0.06285413
549.6131,0.04240351,0.02616652,0.05832707,0.1037975,0.05791735
550.0952,0.04117996,0.0264224,0.06046739,0.09967352,0.05230885
550.5773,0.04023464,0.02811191,0.06050203,0.09480946,0.04645506
551.0594,0.03937013,0.03154569,0.0581966,0.09056304,0.04064626
551.5416,0.038348,0.03649735,0.0541032,0.08803157,0.03487592
552.0237,0.03833946,0.04146234,0.04879864,0.08772423,0.0285994
552.5058,0.03975159,0.04523207,0.04354708,0.08945747,0.02150833
552.9879,0.03924033,0.04922698,0.04083868,0.09237804,0.01452458
