absorbance_3.6_1,3.6_1,3.6_2,3.6_3,3.6_4,3.6_5,5.12_1,5.12_2,5.12_3,5.12_4,5.12_5,5.12_6
525.5073,0.001380276,0.0,0.06907322,0.03498589,0.05615538,0.02792978,0.06311713,0.06729157,0.03597485,0.07070027,0.03160174
525.9894,0.002282562,0.002128698,0.06715351,0.0332255,0.04532743,0.02740458,0.06780979,0.06382751,0.03410546,0.07192315,0.02819856
526.4715,0.003116999,0.008395188,0.06567008,0.03137911,0.03890713,0.02639442,0.06791688,0.05905942,0.03286356,0.06678386,0.02668827
526.9536,0.002502341,0.01702651,0.0646439,0.03071369,0.03682549,0.02527559,0.06607898,0.05468641,0.03303391,0.05618442,0.0269902
527.4357,0.0008429736,0.0261996,0.06417866,0.03015868,0.03812114,0.02528984,0.06269375,0.05345233,0.03355926,0.0424491,0.0272998
527.9178,0.0003190972,0.03474079,0.064372,0.0288749,0.04152054,0.02447212,0.06012734,0.05364766,0.0366656,0.02815602,0.02639158
528.4,0.00110567,0.04216213,0.06515145,0.02749956,0.04578826,0.02302439,0.05921151,0.05408571,0.04262285,0.01556942,0.02703197
528.8821,0.002221398,0.04850039,0.06609962,0.02726963,0.04992009,0.02131456,0.05970955,0.05602284,0.04883124,0.006285846,0.02904148
529.3642,0.003131283,0.05400883,0.06647049,0.02776105,0.05325992,0.02066798,0.06050013,0.05831154,0.05390224,0.001057208,0.0324504
529.8463,0.0037299,0.05889134,0.06527966,0.02803013,0.05538489,0.0221335,0.06025115,0.05960802,0.05694801,0.0,0.03597788
530.3284,0.004337575,0.06312216,0.06168644,0.02735051,0.05610478,0.02501091,0.0584899,0.05904024,0.05818143,0.002680399,0.03777134
530.8105,0.005297959,0.06642862,0.05544932,0.02543078,0.05539765,0.02731866,0.0558526,0.05656245,0.05875623,0.008370157,0.03654008
531.2927,0.006687174,0.06834653,0.04712979,0.0227336,0.0533369,0.02717077,0.05358851,0.05306733,0.06005278,0.01619432,0.03273315
531.7748,0.008279912,0.06841157,0.03806297,0.02034502,0.0500573,0.02377667,0.05297761,0.05000104,0.0630291,0.02528569,0.02828057
532.2569,0.009787207,0.0663669,0.02985014,0.01933757,0.04574946,0.01744725,0.05486916,0.04880245,0.0680007,0.03490539,0.02528239
532.739,0.01085053,0.06231813,0.02399452,0.02010795,0.04074195,0.009779662,0.05926195,0.05033034,0.07450605,0.04433911,0.02506148
533.2211,0.01128645,0.05684922,0.02122739,0.0221242,0.03554349,0.003196914,0.06514472,0.05436625,0.08136359,0.0529542,0.02754278
533.7032,0.01116886,0.05086014,0.02119723,0.02455514,0.03076799,0.0,0.07093802,0.05973047,0.08704914,0.06028062,0.03198586
534.1854,0.01082579,0.04544014,0.02248183,0.02654405,0.02706706,0.001295559,0.07516361,0.06478542,0.09018529,0.06600668,0.03702697
534.6675,0.01068908,0.04148626,0.02312603,0.02753022,0.02487005,0.006640073,0.07701276,0.06817569,0.09014608,0.07005437,0.04131211
535.1496,0.01110224,0.03946575,0.02155285,0.02749132,0.02421152,0.01462704,0.07644273,0.06941137,0.08706902,0.07252042,0.04408116
535.6317,0.01224559,0.03943499,0.0171801,0.02703078,0.02467718,0.02346728,0.07396728,0.06901255,0.08156693,0.07358775,0.04527495
536.1138,0.01399887,0.04109143,0.01088018,0.02702359,0.025518,0.03165871,0.07042284,0.06814,0.07446334,0.0734367,0.045366
536.5959,0.01595817,0.04392051,0.004551087,0.02803985,0.02590313,0.03860394,0.06649162,0.06797339,0.06646035,0.07223133,0.04481469
537.0781,0.01753259,0.04726088,0.0004425682,0.0301836,0.0251141,0.04482225,0.06236503,0.06929037,0.05801474,0.07018089,0.04379468
