absorbance_5.11_1A (2),5.11_1A (2),5.11_1A,5.11_2A (2),5.11_2A,5.11_3A (2),5.11_3A,5.11_4A (2),5.11_4A
525.5073,0.09331036,0.02520282,0.0,0.0861333,0.04508784,0.05759007,0.01663569,0.01270911
525.9894,0.08803611,0.02501915,0.001037963,0.08908343,0.04313447,0.06018826,0.01835406,0.01075859
526.4715,0.0848369,0.02648765,0.00376787,0.09106289,0.04037648,0.06202754,0.0216081,0.01156254
526.9536,0.08411139,0.02745021,0.00819578,0.09145708,0.03745232,0.06232887,0.02533413,0.01206931
527.4357,0.08657777,0.02694831,0.01044387,0.09010729,0.03563441,0.06049614,0.02860407,0.01484907
527.9178,0.08773096,0.02680249,0.01494383,0.08734775,0.03182493,0.05960485,0.03106049,0.01568691
528.4,0.08733085,0.02672468,0.01987074,0.08386669,0.02821193,0.05906387,0.032944,0.01601256
528.8821,0.08591723,0.026436,0.02349757,0.08047984,0.02734539,0.05910189,0.03493351,0.01557174
529.3642,0.08353998,0.02632869,0.02588971,0.07777767,0.02811107,0.05892224,0.03771753,0.01522644
529.8463,0.08090536,0.02675608,0.02769148,0.07591712,0.02861526,0.05772169,0.04164808,0.01623396
530.3284,0.07881788,0.02778541,0.02988517,0.07447931,0.02733585,0.05543423,0.04644131,0.01932308
530.8105,0.07761568,0.02914859,0.03311349,0.07269655,0.02323159,0.05243896,0.05127395,0.02428819
531.2927,0.07732154,0.03033987,0.03735605,0.06979018,0.01693764,0.0492744,0.05500887,0.02970284
531.7748,0.07770669,0.0308588,0.04188117,0.06544745,0.01070703,0.0464818,0.05665387,0.03354984
532.2569,0.07851904,0.03047524,0.04545818,0.06001879,0.006856645,0.04422655,0.05571917,0.03437505
532.739,0.07954701,0.02924981,0.04677174,0.05443657,0.00631042,0.04208795,0.05226488,0.03205958
533.2211,0.0806108,0.02759077,0.04521351,0.04981703,0.008380893,0.03938714,0.04685056,0.02803285
533.7032,0.0813411,0.02603992,0.04147746,0.04689749,0.01219324,0.03600197,0.04022434,0.02411692
534.1854,0.08095825,0.02511077,0.03712503,0.04574274,0.01659344,0.03239556,0.03310711,0.02218357
534.6675,0.0784886,0.02505309,0.03400504,0.04565945,0.02010439,0.02930429,0.02595471,0.02312238
535.1496,0.07338849,0.02576488,0.03346445,0.04563162,0.02158792,0.02740786,0.01897683,0.02645385
535.6317,0.06621572,0.02672723,0.03597137,0.04477429,0.02092453,0.02721381,0.0123656,0.03053382
