absorbance_6.1_1A,6.1_1A,absorbance_6.1_2A,6.1_2A,6.1_3A,6.1_4A
525.0,0.0563,525.5073,0.08480899,0.009870276,0.01605944
526.0,0.0479,525.9894,0.07514621,0.0199701,0.01513249
526.0,0.0386,526.4715,0.06399682,0.02902394,0.01449279
526.0,0.0293,526.9536,0.05283572,0.03611234,0.01305181
527.0,0.0205,527.4357,0.04289576,0.04081095,0.01185711
527.0,0.013,527.9178,0.03463756,0.04309496,0.01180121
528.0,0.00693,528.4,0.02784997,0.04312287,0.01619118
528.0,0.00255,528.8821,0.02199315,0.04113735,0.0225911
529.0,0.000111,529.3642,0.01665734,0.03748696,0.0290089
529.0,0.0,529.8463,0.01193041,0.03272219,0.0334428
530.0,0.00276,530.3284,0.008607052,0.0276357,0.03528457
530.0,0.00897,530.8105,0.007960998,0.02308125,0.03532838
531.0,0.0189,531.2927,0.0114527,0.01990179,0.0352291
531.0,0.0324,531.7748,0.02002781,0.01870112,0.03673879
532.0,0.0484,532.2569,0.03356159,0.01971661,0.04088649
532.0,0.0656,532.739,0.05054717,0.02282536,0.04722334
533.0,0.0817,533.2211,0.06821875,0.02753749,0.05406158
533.0,0.0949,533.7032,0.08340539,0.03311309,0.05945896
534.0,0.104,534.1854,0.09319298,0.03857369,0.06220616
534.0,0.108,534.6675,0.09612879,0.04290308,0.06220064
535.0,0.107,535.1496,0.092581,0.04525162,0.06029978
535.0,0.104,535.6317,0.08444566,0.04499198,0.05798595
536.0,0.0985,536.1138,0.07428207,0.04192102,0.05664227
536.0,0.0935,536.5959,0.06434115,0.0363167,0.0569144
537.0,0.0895,537.0781,0.05617017,0.02898378,0.05847351
537.0,0.087,537.5602,0.05022688,0.02112309,0.06018377
538.0,0.0856,538.0423,0.04609413,0.01407032,0.06085838
538.0,0.0845,538.5244,0.04281833,0.009098779,0.0594674
539.0,0.0827,539.0065,0.039384,0.00701534,0.05760677
539.0,0.079,539.4886,0.03503415,0.0080355,0.05111893
539.0,0.073,539.9708,0.02941901,0.01176579,0.0436737
540.0,0.0643,540.4529,0.02268026,0.01733407,0.03599327
540.0,0.0537,540.935,0.01539083,0.02362982,0.02926958
541.0,0.042,541.4171,0.008499525,0.02953907,0.02394811
541.0,0.0308,541.8992,0.003048267,0.03431704,0.02002142
542.0,0.0215,542.3813,0.0,0.0376735,0.02047335
542.0,0.0149,542.8635,9.782612e-06,0.03981822,0.02344472
543.0,0.0113,543.3456,0.003234819,0.04132556,0.02811986
543.0,0.0103,543.8277,0.009315111,0.0429768,0.0323229
544.0,0.011,544.3098,0.01738925,0.04550907,0.03612096
544.0,0.0123,544.7919,0.02633975,0.04929937,0.03734992
545.0,0.0134,545.274,0.03495483,0.05418523,0.03556794
545.0,0.0137,545.7562,0.04227576,0.05941072,0.02976865
546.0,0.0134,546.2383,0.04789483,0.06392374,0.02385551
546.0,0.0131,546.7204,0.05195412,0.06662,0.01634791
547.0,0.0136,547.2025,0.05502549,0.0666896,0.01045743
547.0,0.0155,547.6846,0.05774713,0.06382023,0.007397044
548.0,0.0189,548.1667,0.06056987,0.05822108,0.007825814
548.0,0.0235,548.6489,0.06350278,0.05066994,0.01224195
549.0,0.0286,549.131,0.06614649,0.04232705,0.01889323
549.0,0.0336,549.6131,0.06784749,0.03464446,0.02622397
550.0,0.0376,550.0952,0.06803776,0.02892011,0.03289774
550.0,0.0403,550.5773,0.06650019,0.0259185,0.03798889
551.0,0.0413,551.0594,0.06343678,0.02574031,0.04087535
551.0,0.0407,551.5416,0.05940452,0.0277926,0.04123693
552.0,0.0388,552.0237,0.05511554,0.0310948,0.03958287
552.0,0.0359,552.5058,0.05131964,0.03454666,0.03637538
553.0,0.0327,552.9879,0.0486117,0.03735142,0.03083701
553.0,0.0297,553.47,0.04737455,0.0391834,0.02597746
553.0,0.0276,553.9521,0.04779796,0.04013851,0.02049143
554.0,0.027,554.4343,0.04986417,0.04057179,0.01564906
554.0,0.0283,554.9164,0.05336741,0.0408664,0.01205583
555.0,0.0315,555.3985,0.05786075,0.04128347,0.009319417
555.0,0.0362,555.8806,0.0626685,0.04187644,0.007042054
556.0,0.042,556.3627,0.06689839,0.04253031,0.005871337
556.0,0.048,556.8448,0.06953523,0.0430619,0.00443276
557.0,0.0534,557.327,0.06978893,0.04335139,0.002671242
557.0,0.0577,557.8091,0.0673313,0.04341169,0.0009690262
558.0,0.0606,558.2912,0.06253565,0.04339506,0.0
558.0,0.062,558.7733,0.05641124,0.04352157,0.00255236
559.0,0.062,559.2554,0.05040268,0.04401634,0.003542881
559.0,0.0607,559.7375,0.04596758,0.04504212,0.007811792
560.0,0.0584,560.2197,0.04403058,0.0466368,0.0137802
560.0,0.0552,560.7018,0.04482995,0.04867215,0.02072736
561.0,0.0515,561.1839,0.04785521,0.05081192,0.02825423
561.0,0.048,561.666,0.05215722,0.05257706,0.03537037
562.0,0.0449,562.1481,0.05660247,0.05338711,0.04021807
562.0,0.0427,562.6302,0.06022052,0.05275764,0.04537044
563.0,0.0414,563.1124,0.06245048,0.0505072,0.04948096
