absorbance_3.9_0,3.9_0,3.9_1,3.9_2A,3.9_3A,3.9_4,3.9_5
525.5073,0.03123047,0.03993873,0.01295904,0.06871815,0.04918547,0.01430496
525.9894,0.03128892,0.04077665,0.02868987,0.07296449,0.0521375,0.01337454
526.4715,0.03029534,0.03878869,0.04336688,0.07136528,0.05045548,0.013797
526.9536,0.02847938,0.03549807,0.05417617,0.06769692,0.04646776,0.0140739
527.4357,0.02760988,0.03021021,0.06013483,0.06283639,0.0413648,0.01493394
527.9178,0.02750352,0.0288264,0.06194352,0.05889137,0.03527993,0.01604619
528.4,0.02710563,0.02694893,0.06124211,0.05693691,0.02943884,0.01750191
528.8821,0.02627142,0.02528833,0.05988749,0.05584107,0.02503824,0.0186203
529.3642,0.02506222,0.02351088,0.05919771,0.05461123,0.02226376,0.01936275
529.8463,0.02372097,0.020996,0.0596131,0.05214725,0.02095537,0.01980933
530.3284,0.02239374,0.01718403,0.06050114,0.04790905,0.0203806,0.02004688
530.8105,0.0213066,0.01220487,0.06057577,0.04233522,0.01942326,0.02017086
531.2927,0.02066316,0.006989382,0.05843007,0.03652101,0.01724147,0.02041469
531.7748,0.02053503,0.002735937,0.05324389,0.03175452,0.01373012,0.02111671
532.2569,0.02090521,0.0002740342,0.04516265,0.02875498,0.009332079,0.02254706
532.739,0.02187,0.0,0.03533676,0.02763262,0.004889715,0.02490994
533.2211,0.02339466,0.001440803,0.02568295,0.02785913,0.00142738,0.02817498
533.7032,0.02500969,0.003613835,0.01824033,0.028736,0.0,0.03201001
534.1854,0.02591269,0.005039897,0.01477081,0.02962222,0.001175994,0.03561217
534.6675,0.0254863,0.004915807,0.01603695,0.03011775,0.004713664,0.03801902
535.1496,0.02358229,0.003510153,0.02164841,0.03009987,0.009857349,0.03852129
535.6317,0.02053325,0.001931012,0.0302086,0.0296963,0.01575452,0.0368838
536.1138,0.01715533,0.001628147,0.03982823,0.02939036,0.02170995,0.03345808
536.5959,0.01448891,0.003539039,0.04870702,0.02962999,0.02732962,0.02908695
537.0781,0.0133849,0.007582452,0.05537383,0.03045912,0.03270705,0.02507233
537.5602,0.01400741,0.01269256,0.05908918,0.03136732,0.03825787,0.02273722
538.0423,0.01576622,0.01722707,0.05986258,0.03159333,0.04422049,0.02292995
538.5244,0.01773442,0.01992339,0.05834242,0.03041703,0.05022224,0.02570317
539.0065,0.01868365,0.02048537,0.05554923,0.02851324,0.05456772,0.03082732
539.4886,0.01862014,0.02195944,0.05259825,0.02377535,0.05802835,0.03587415
539.9708,0.0169291,0.02076614,0.05054699,0.01740028,0.06028303,0.03997966
540.4529,0.01407192,0.02043115,0.05009044,0.01067081,0.06100383,0.04220995
540.935,0.01094249,0.02166226,0.05145842,0.005025759,0.06066912,0.04233671
541.4171,0.008741055,0.02194768,0.05431558,0.001014516,0.06099743,0.04056812
541.8992,0.008310555,0.02650049,0.0579019,0.0,0.06131115,0.03799802
542.3813,0.009495394,0.03001397,0.06128961,0.002437543,0.06182759,0.03626303
542.8635,0.01213045,0.03246242,0.06369218,0.006387848,0.06300627,0.03576595
543.3456,0.0154563,0.0336914,0.06473672,0.01020413,0.06445769,0.03663453
543.8277,0.01720742,0.03471635,0.06445079,0.01380337,0.06670716,0.03639157
544.3098,0.01958565,0.03537929,0.06320441,0.01361642,0.06657184,0.03788331
544.7919,0.02121638,0.03670582,0.06151006,0.01098562,0.06437688,0.03858171
545.274,0.02279511,0.03842046,0.05989053,0.006305445,0.05932882,0.03893308
545.7562,0.02242749,0.04055955,0.05869312,0.003146525,0.05351889,0.03639471
546.2383,0.02198012,0.04085185,0.05799965,0.001727961,0.04560065,0.03484125
