absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4,6.10_1 (1),6.10_2,6.10_3,6.10_4
525.5073,0.003106952,0.0961493,0.02895338,0.01194699,0.0304281,0.04689878,0.0516961,0.0004012585
525.9894,0.0,0.1014291,0.03001803,0.01083171,0.0319596,0.04877264,0.05430624,0.009453848
526.4715,0.001014858,0.1032099,0.03207462,0.01100769,0.03453048,0.04652175,0.05296053,0.02464274
526.9536,0.004801281,0.10236,0.03447783,0.01117789,0.03808432,0.04353729,0.05100093,0.04208443
527.4357,0.009674296,0.096395,0.03480991,0.0111318,0.04216788,0.04163659,0.04843126,0.05801099
527.9178,0.01339938,0.09178374,0.03506284,0.01033891,0.04727757,0.04058661,0.04564179,0.07006016
528.4,0.01520425,0.08995923,0.0359682,0.009792689,0.0488628,0.03943845,0.04198007,0.07725475
528.8821,0.01595981,0.08883298,0.03685969,0.009882603,0.04791707,0.03890773,0.03892962,0.07990322
529.3642,0.01671424,0.08805046,0.03800664,0.01052064,0.04520594,0.03801685,0.03667617,0.07916558
529.8463,0.01868042,0.08704005,0.03947219,0.01090837,0.04198861,0.03618022,0.03517154,0.07660222
530.3284,0.02190491,0.08549511,0.04142006,0.01025821,0.03964461,0.03341038,0.03419014,0.07359375
530.8105,0.02505554,0.08373886,0.04403117,0.008414242,0.03951116,0.03012183,0.03359644,0.0708386
531.2927,0.02710004,0.08183766,0.04717097,0.005775731,0.04206949,0.02683846,0.0334388,0.06832981
531.7748,0.02789755,0.07950065,0.05025085,0.003138479,0.04654264,0.02408565,0.03374033,0.06545945
532.2569,0.02770194,0.07657575,0.05261189,0.001342177,0.05136835,0.0222413,0.03457477,0.06139088
532.739,0.02689471,0.07329801,0.05355099,0.0009316299,0.05490742,0.02154057,0.03605528,0.0553246
533.2211,0.02604376,0.07023919,0.05289638,0.001913952,0.05594732,0.02190726,0.03808155,0.04687763
533.7032,0.02629646,0.06762151,0.0510636,0.00389953,0.0537922,0.02292743,0.04015747,0.03633535
534.1854,0.02817724,0.06580964,0.04935789,0.006612066,0.0487963,0.02392526,0.04135583,0.02483799
534.6675,0.03144315,0.06530681,0.04944761,0.009896888,0.04249338,0.02420092,0.0407775,0.01420606
535.1496,0.03555804,0.06647679,0.05263131,0.01365352,0.03677798,0.02337475,0.03784062,0.006381363
535.6317,0.04014643,0.06897818,0.05930661,0.01769974,0.03309257,0.02163233,0.03245132,0.003070191
536.1138,0.04471678,0.07189412,0.068656,0.02197973,0.03203785,0.01966543,0.02515309,0.005077541
536.5959,0.04871892,0.07410223,0.07903352,0.02647913,0.03336693,0.01831007,0.01701714,0.01207382
537.0781,0.05204333,0.07427625,0.08818677,0.03088903,0.03584822,0.01838745,0.009440828,0.02256844
