absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5,2.8_1A,2.8_2A,2.8_3A,2.8_4A,3.10_1A,3.10_2A,3.10_3A,3.10_4A,3.10_5A,3.1_1,3.1_2,3.1_3,3.1_4,4.3_1A,4.3_2A,4.3_3A,4.3_4A,4.3_5A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
525.5073,0.06638022,0.03620045,0.002781309,0.006744228,0.02494656,0.02870383,0.008616172,0.02385294,0.07625049,0.06101079,0.0769856,0.04588841,0.001781262,0.02621906,0.01289283,0.02842978,0.009957936,0.02526623,0.05197206,0.07291993,0.009060565,0.08395795,0.06029452,0.02341545,0.0006854385,0.006598722,0.04595782,0.07407514
525.9894,0.07036655,0.03649636,0.0002163947,0.0004225299,0.02799305,0.0319697,0.01855841,0.02465926,0.08050445,0.05908828,0.07739934,0.04565538,0.001760438,0.02749063,0.01281361,0.02703329,0.02062129,0.02877554,0.05462372,0.08104629,0.005969919,0.08212105,0.07272111,0.02907893,0.006118923,0.000587156,0.05546068,0.07601707
526.4715,0.07101476,0.03472028,0.0,0.0,0.02925305,0.03331334,0.02805249,0.02298107,0.08067155,0.06264256,0.07474455,0.04391901,0.001485221,0.02794986,0.01440124,0.02669971,0.02952055,0.03144838,0.05572995,0.08930117,0.006537076,0.07710145,0.08295301,0.03263846,0.01516619,0.0,0.06326249,0.07612722
526.9536,0.06889167,0.03321121,0.0004414991,0.004174702,0.03059081,0.03352925,0.0356871,0.02011832,0.07659763,0.07031836,0.06951636,0.04163288,0.002007574,0.02931955,0.01702794,0.0266627,0.03488458,0.03233218,0.05576992,0.09300701,0.00754077,0.07213525,0.08989391,0.03407707,0.02533495,0.002549194,0.06960089,0.07872132
527.4357,0.06577753,0.03198219,0.003753372,0.007993788,0.02988338,0.02823888,0.04084956,0.01712745,0.07246663,0.07881607,0.06298511,0.04140885,0.004168868,0.03263512,0.02129422,0.0299802,0.0362853,0.03047112,0.05675511,0.09063587,0.01145146,0.06925899,0.0936719,0.03306046,0.03364764,0.008848701,0.07472518,0.0824801
527.9178,0.06592084,0.03464825,0.007392749,0.009470887,0.0309374,0.02428569,0.04373992,0.01450215,0.06752934,0.08194646,0.05655953,0.04017241,0.007045712,0.03243603,0.02443206,0.03271177,0.03448136,0.0299516,0.05539285,0.08906587,0.01557919,0.06677902,0.09509496,0.03178729,0.0379646,0.01304153,0.0786027,0.08358201
528.4,0.06577768,0.03777411,0.008113965,0.01622121,0.03355974,0.02290214,0.04503167,0.01229951,0.06091248,0.07916068,0.05143441,0.03630863,0.01045142,0.02851774,0.02298459,0.03275353,0.03083429,0.03011032,0.050393,0.08379805,0.01719808,0.06496643,0.09504349,0.02836246,0.0374229,0.01434457,0.08092161,0.08148897
528.8821,0.0664452,0.03950498,0.007508464,0.02263021,0.03688982,0.02382044,0.04555032,0.01031534,0.05501153,0.07111453,0.04829502,0.03224394,0.01334044,0.02339685,0.01963425,0.03190616,0.02676246,0.03004259,0.04371676,0.07585284,0.01671909,0.0625425,0.09412957,0.0239042,0.03263219,0.01327124,0.08127436,0.07795029
529.3642,0.06719569,0.04041392,0.006570283,0.02891093,0.03966773,0.02556957,0.04591111,0.008325506,0.05069662,0.06234233,0.0471755,0.02848944,0.01590816,0.01857918,0.01597911,0.03091766,0.02326896,0.02928777,0.0370717,0.06750114,0.01630243,0.05958495,0.09262066,0.01977555,0.02528788,0.01223974,0.07947174,0.07402387
529.8463,0.06708935,0.04146038,0.006416835,0.03548439,0.04091898,0.0260718,0.04633715,0.006224319,0.04862213,0.0583205,0.04756541,0.025265,0.01907918,0.01566683,0.01389372,0.03064456,0.02088984,0.0277702,0.03305039,0.06106402,0.01828168,0.05673557,0.09062763,0.01746548,0.01774707,0.01374773,0.07570252,0.07121471
