absorbance_1,2.6_4A.CSV_1,absorbance_3,2.6_4A.CSV_2,absorbance_5,2.6_4A.CSV_3,absorbance_7,2.6_4A.CSV_4
525.5073,0.08923599,525.5073,0.03570693,525.5073,0.09868512,525.5073,0.06431551
525.9894,0.1017209,525.9894,0.03596411,525.9894,0.09841695,525.9894,0.06486695
526.4715,0.1075834,526.4715,0.03709576,526.4715,0.09263884,526.4715,0.06302636
526.9536,0.1046975,526.9536,0.03821598,526.9536,0.08341238,526.9536,0.06195371
527.4357,0.09344509,527.4357,0.04090803,527.4357,0.07372779,527.4357,0.0622756
527.9178,0.07591131,527.9178,0.04361327,527.9178,0.06607353,527.9178,0.06273805
528.4,0.0550126,528.4,0.04456767,528.4,0.06181619,528.4,0.06309031
528.8821,0.03408336,528.8821,0.04551859,528.8821,0.06079903,528.8821,0.06454973
529.3642,0.01626249,529.3642,0.04656328,529.3642,0.0615551,529.3642,0.06588104
529.8463,0.004362956,529.8463,0.04767547,529.8463,0.06186487,529.8463,0.06564458
530.3284,0.0,530.3284,0.04886594,530.3284,0.05979913,530.3284,0.06326728
530.8105,0.003003567,530.8105,0.05037139,530.8105,0.05471888,530.8105,0.05930103
531.2927,0.01154231,531.2927,0.05240481,531.2927,0.0474412,531.2927,0.05527927
531.7748,0.02264764,531.7748,0.0550578,531.7748,0.03988291,531.7748,0.05312534
532.2569,0.0332675,532.2569,0.0584389,532.2569,0.03406961,532.2569,0.05429289
532.739,0.0406279,532.739,0.06262267,532.739,0.03157143,532.739,0.05900929
533.2211,0.04308208,533.2211,0.06738266,533.2211,0.03279144,533.2211,0.06590813
533.7032,0.040533,533.7032,0.07204042,533.7032,0.03689457,533.7032,0.07270689
534.1854,0.03450016,534.1854,0.07579893,534.1854,0.04207281,534.1854,0.07701331
534.6675,0.02754977,534.6675,0.07798012,534.6675,0.04635322,534.6675,0.07729145
535.1496,0.02213902,535.1496,0.07804894,535.1496,0.04842594,535.1496,0.07337842
535.6317,0.01993875,535.6317,0.07549489,535.6317,0.04786487,535.6317,0.06653091
536.1138,0.02125273,536.1138,0.07016038,536.1138,0.04508196,536.1138,0.05892471
536.5959,0.02525849,536.5959,0.06229645,536.5959,0.04080456,536.5959,0.05269974
537.0781,0.03043633,537.0781,0.05245561,537.0781,0.03566272,537.0781,0.04939443
537.5602,0.03520386,537.5602,0.04157559,537.5602,0.02990444,537.5602,0.04947987
538.0423,0.03838748,538.0423,0.03109955,538.0423,0.02350522,538.0423,0.05263522
538.5244,0.03934829,538.5244,0.02301777,538.5244,0.01651145,538.5244,0.05798627
539.0065,0.03804088,539.0065,0.0164805,539.0065,0.009409457,539.0065,0.06186587
539.4886,0.03478459,539.4886,0.01642588,539.4886,0.003319338,539.4886,0.06753022
539.9708,0.03011741,539.9708,0.02027955,539.9708,0.0,539.9708,0.0729948
540.4529,0.02468543,540.4529,0.02573505,540.4529,0.001236334,540.4529,0.07650074
540.935,0.01927341,540.935,0.03022856,540.935,0.008205712,540.935,0.07709356
541.4171,0.01485602,541.4171,0.03324333,541.4171,0.02081163,541.4171,0.07642739
541.8992,0.01238512,541.8992,0.03269808,541.8992,0.0375317,541.8992,0.07222788
542.3813,0.01261598,542.3813,0.0273236,542.3813,0.05584761,542.3813,0.0641413
542.8635,0.01579508,542.8635,0.02002778,542.8635,0.07297147,542.8635,0.05480426
543.3456,0.02144099,543.3456,0.01246148,543.3456,0.08680098,543.3456,0.04541057
543.8277,0.02827326,543.8277,0.005005077,543.8277,0.09610742,543.8277,0.03992906
544.3098,0.03438755,544.3098,0.001008332,544.3098,0.1007091,544.3098,0.03344159
544.7919,0.03792318,544.7919,0.0,544.7919,0.1013191,544.7919,0.02865604
545.274,0.03754064,545.274,0.002267152,545.274,0.09929221,545.274,0.02423522
545.7562,0.03308403,545.7562,0.005314805,545.7562,0.0961641,545.7562,0.02419994
546.2383,0.02563949,546.2383,0.008049518,546.2383,0.09305316,546.2383,0.02292493
546.7204,0.01725708,546.7204,0.01205161,546.7204,0.09046134,546.7204,0.02442313
547.2025,0.01023672,547.2025,0.01548094,547.2025,0.0881684,547.2025,0.02719653
547.6846,0.006290186,547.6846,0.01845796,547.6846,0.08553933,547.6846,0.03098194
548.1667,0.006259259,548.1667,0.02110093,548.1667,0.08184529,548.1667,0.03485712
548.6489,0.009841774,548.6489,0.02268972,548.6489,0.07669339,548.6489,0.03655227
549.131,0.01588656,549.131,0.02482901,549.131,0.07024072,549.131,0.03661738
549.6131,0.02272878,549.6131,0.02736802,549.6131,0.06322614,549.6131,0.03426724
550.0952,0.02879648,550.0952,0.03040142,550.0952,0.0567156,550.0952,0.03023708
550.5773,0.03305198,550.5773,0.03393429,550.5773,0.05166489,550.5773,0.02587194
551.0594,0.03503342,551.0594,0.03778645,551.0594,0.04866884,551.0594,0.02291654
551.5416,0.03488339,551.5416,0.04149516,551.5416,0.04770432,551.5416,0.02304279
552.0237,0.03314503,552.0237,0.04508142,552.0237,0.04821945,552.0237,0.02536125
552.5058,0.03059805,552.5058,0.04793941,552.5058,0.0493417,552.5058,0.02910745
552.9879,0.02802776,552.9879,0.04744506,552.9879,0.0502908,552.9879,0.03751308
553.47,0.0260893,553.47,0.04301872,553.47,0.05066765,553.47,0.04468442
553.9521,0.02527031,553.9521,0.03714224,553.9521,0.05053809,553.9521,0.05101214
554.4343,0.02577842,554.4343,0.03000061,554.4343,0.05031632,554.4343,0.05456404
554.9164,0.02752326,554.9164,0.02249631,554.9164,0.05047211,554.9164,0.05438862
555.3985,0.03007064,555.3985,0.01632523,555.3985,0.05127421,555.3985,0.05078417
555.8806,0.03271977,555.8806,0.01262561,555.8806,0.05259495,555.8806,0.0442914
556.3627,0.03464613,556.3627,0.01086579,556.3627,0.05393334,556.3627,0.03471335
556.8448,0.03513793,556.8448,0.01219862,556.8448,0.05458993,556.8448,0.02446824
557.327,0.03392777,557.327,0.01622072,557.327,0.05403745,557.327,0.01503102
557.8091,0.03130116,557.8091,0.02212505,557.8091,0.05216312,557.8091,0.007709377
558.2912,0.0280585,558.2912,0.02887647,558.2912,0.04939641,558.2912,0.003437907
558.7733,0.02518737,558.7733,0.03298831,558.7733,0.04652767,558.7733,0.0
559.2554,0.02360561,559.2554,0.0370644,559.2554,0.0444722,559.2554,0.005027562
559.7375,0.02381839,559.7375,0.04068351,559.7375,0.04395458,559.7375,0.010402
560.2197,0.02571905,560.2197,0.0420171,560.2197,0.04525831,560.2197,0.01739223
560.7018,0.02860336,560.7018,0.040944,560.7018,0.04822705,560.7018,0.02492791
561.1839,0.03139507,561.1839,0.03792974,561.1839,0.0523692,561.1839,0.03113211
561.666,0.03311321,561.666,0.03486015,561.666,0.05711267,561.666,0.03738563
562.1481,0.03312495,562.1481,0.02999373,562.1481,0.06189997,562.1481,0.04403046
562.6302,0.031403,562.6302,0.0238708,562.6302,0.06625351,562.6302,0.0484171
563.1124,0.02845594,563.1124,0.01866458,563.1124,0.06974418,563.1124,0.05181168
563.5945,0.02517546,563.5945,0.01515717,563.5945,0.07185932,563.5945,0.05411496
564.0766,0.02249377,564.0766,0.01376419,564.0766,0.07205161,564.0766,0.05513948
564.5587,0.02103178,564.5587,0.0144343,564.5587,0.06991512,564.5587,0.05479389
565.0408,0.02098629,565.0408,0.01688002,565.0408,0.06533518,565.0408,0.05330694
565.5229,0.02209208,565.5229,0.02073096,565.5229,0.05866562,565.5229,0.05130298
566.0051,0.02384113,566.0051,0.02570479,566.0051,0.05066734,566.0051,0.0496249
566.4872,0.02568541,566.4872,0.03157289,566.4872,0.04245514,566.4872,0.04912484
566.9693,0.02729175,566.9693,0.0381148,566.9693,0.03521843,566.9693,0.05026525
567.4514,0.02864769,567.4514,0.04503653,567.4514,0.02995626,567.4514,0.05289419
567.9335,0.0300395,567.9335,0.05179147,567.9335,0.02736385,567.9335,0.05621117
568.4156,0.03191242,568.4156,0.05613785,568.4156,0.02762179,568.4156,0.06291082
568.8978,0.03464949,568.8978,0.06046235,568.8978,0.03046917,568.8978,0.06413752
569.3799,0.03843053,569.3799,0.06121211,569.3799,0.03536136,569.3799,0.06224304
569.862,0.04311977,569.862,0.06181146,569.862,0.04172017,569.862,0.06074299
570.3441,0.04831101,570.3441,0.0609467,570.3441,0.04903419,570.3441,0.05875485
570.8262,0.05339538,570.8262,0.05817514,570.8262,0.05676804,570.8262,0.05613099
571.3083,0.05776311,571.3083,0.05528824,571.3083,0.06427937,571.3083,0.05452242
571.7905,0.06092489,571.7905,0.05329602,571.7905,0.07073259,571.7905,0.05431817
572.2726,0.06260277,572.2726,0.05310577,572.2726,0.0751286,572.2726,0.05546788
572.7547,0.06277256,572.7547,0.05368207,572.7547,0.07663093,572.7547,0.05613846
573.2368,0.06156893,573.2368,0.05794939,573.2368,0.07476458,573.2368,0.05887987
573.7189,0.05917101,573.7189,0.06384305,573.7189,0.06964505,573.7189,0.06201075
574.201,0.05569351,574.201,0.0703169,574.201,0.06199753,574.201,0.06533925
574.6832,0.0511764,574.6832,0.0760539,574.6832,0.05311407,574.6832,0.06864636
575.1653,0.04566338,575.1653,0.07977621,575.1653,0.04460362,575.1653,0.07158701
575.6474,0.03931621,575.6474,0.08065344,575.6474,0.03785024,575.6474,0.07372911
576.1295,0.03250217,576.1295,0.07858739,576.1295,0.03370994,576.1295,0.07473826
576.6116,0.02578007,576.6116,0.07432169,576.6116,0.03220841,576.6116,0.07461837
577.0938,0.01974569,577.0938,0.06903346,577.0938,0.03271636,577.0938,0.07374391
577.5759,0.0149761,577.5759,0.06395526,577.5759,0.03432099,577.5759,0.07275452
578.058,0.01193449,578.058,0.05994606,578.058,0.03627054,578.058,0.07230215
578.5401,0.01089751,578.5401,0.05736008,578.5401,0.03822693,578.5401,0.07276441
579.0222,0.01195441,579.0222,0.05616048,579.0222,0.04020062,579.0222,0.07410242
579.5043,0.01489393,579.5043,0.05603367,579.5043,0.04239169,579.5043,0.07583237
579.9865,0.0192134,579.9865,0.05661174,579.9865,0.04493008,579.9865,0.07725701
580.4686,0.02412323,580.4686,0.05758072,580.4686,0.04770379,580.4686,0.07771046
580.9507,0.02878328,580.9507,0.05888332,580.9507,0.05031719,580.9507,0.07689232
581.4328,0.03257399,581.4328,0.06068849,581.4328,0.05226875,581.4328,0.07497736
581.9149,0.03520928,581.9149,0.06327337,581.9149,0.05314641,581.9149,0.07254006
582.397,0.03681313,582.397,0.06680883,582.397,0.05286415,582.397,0.0703022
582.8792,0.03779619,582.8792,0.07119726,582.8792,0.05170302,582.8792,0.06884017
583.3613,0.03871508,583.3613,0.07603227,583.3613,0.0502681,583.3613,0.06845693
583.8434,0.04003727,583.8434,0.08063009,583.8434,0.04928081,583.8434,0.06906955
584.3255,0.041981,584.3255,0.08420944,584.3255,0.04934517,584.3255,0.0703074
584.8076,0.04445406,584.8076,0.08603616,584.8076,0.05079934,584.8076,0.07162158
585.2897,0.04708672,585.2897,0.08567041,585.2897,0.05354375,585.2897,0.07250184
585.7719,0.04938222,585.7719,0.08307472,585.7719,0.05706408,585.7719,0.07262599
586.254,0.05084509,586.254,0.07861683,586.254,0.06051416,586.254,0.07190678
586.7361,0.05116527,586.7361,0.07302108,586.7361,0.06301233,586.7361,0.07050438
587.2182,0.05026708,587.2182,0.06752645,587.2182,0.06386423,587.2182,0.06833237
587.7003,0.04830533,587.7003,0.06261677,587.7003,0.0627574,587.7003,0.06632759
588.1824,0.04557167,588.1824,0.05900397,588.1824,0.05987605,588.1824,0.0649495
588.6646,0.04239594,588.6646,0.05704476,588.6646,0.05583948,588.6646,0.06444712
589.1467,0.0390515,589.1467,0.0566399,589.1467,0.05160037,589.1467,0.06481177
589.6288,0.03569375,589.6288,0.05730727,589.6288,0.04815046,589.6288,0.06583321
590.1109,0.03241406,590.1109,0.05829655,590.1109,0.04637288,590.1109,0.06719095
590.593,0.02931261,590.593,0.0587872,590.593,0.04676813,590.593,0.06856878
591.0751,0.02655327,591.0751,0.05817533,591.0751,0.04924728,591.0751,0.06977756
591.5573,0.02439605,591.5573,0.05621833,591.5573,0.05310152,591.5573,0.07079051
592.0394,0.02311911,592.0394,0.05316177,592.0394,0.05721793,592.0394,0.0717456
592.5215,0.0228869,592.5215,0.04960886,592.5215,0.06058618,592.5215,0.07284123
593.0036,0.02368139,593.0036,0.04633518,593.0036,0.06257662,593.0036,0.07424712
593.4857,0.025282,593.4857,0.04401324,593.4857,0.06313886,593.4857,0.07600506
593.9678,0.02735503,593.9678,0.0430212,593.9678,0.06265441,593.9678,0.07800873
594.45,0.02953171,594.45,0.04345625,594.45,0.06171294,594.45,0.08002398
594.9321,0.03152285,594.9321,0.04513076,594.9321,0.06085497,594.9321,0.08174898
595.4142,0.03319563,595.4142,0.04766794,595.4142,0.06039597,595.4142,0.08290834
595.8963,0.03457085,595.8963,0.05055299,595.8963,0.06042283,595.8963,0.08328688
596.3784,0.03579528,596.3784,0.05326873,596.3784,0.06083037,596.3784,0.08279753
596.8605,0.03704387,596.8605,0.05542988,596.8605,0.06145158,596.8605,0.08148304
597.3427,0.03845102,597.3427,0.05683426,597.3427,0.06214369,597.3427,0.07948945
597.8248,0.04003423,597.8248,0.05754419,597.8248,0.06284395,597.8248,0.07701878
598.3069,0.04169449,598.3069,0.05784686,598.3069,0.06353353,598.3069,0.07427999
598.789,0.04324317,598.789,0.05820936,598.789,0.06415994,598.789,0.07149418
599.2711,0.04447637,599.2711,0.05912089,599.2711,0.06458618,599.2711,0.06886707
599.7532,0.04523801,599.7532,0.06092992,599.7532,0.06460708,599.7532,0.06659154
600.2354,0.04544608,600.2354,0.06373847,600.2354,0.06401771,600.2354,0.06485421
600.7175,0.04510102,600.7175,0.06732907,600.7175,0.06274847,600.7175,0.06379651
601.1996,0.04425859,601.1996,0.07124667,601.1996,0.06093366,601.1996,0.0634909
601.6817,0.04301347,601.6817,0.0748987,601.6817,0.05890772,601.6817,0.0639203
602.1638,0.04149342,602.1638,0.07776004,602.1638,0.05707945,602.1638,0.06496895
602.6459,0.03987218,602.6459,0.0794657,602.6459,0.05579773,602.6459,0.06643413
603.1281,0.03839099,603.1281,0.07987224,603.1281,0.05522754,603.1281,0.06804621
603.6102,0.03730609,603.6102,0.0790845,603.6102,0.05527515,603.6102,0.06954385
604.0923,0.03684222,604.0923,0.0774049,604.0923,0.05562935,604.0923,0.07071221
604.5744,0.03710325,604.5744,0.07526094,604.5744,0.0558728,604.5744,0.07143026
605.0565,0.03800796,605.0565,0.07305937,605.0565,0.05568451,605.0565,0.07169625
605.5386,0.03928203,605.5386,0.07112497,605.5386,0.05495134,605.5386,0.0716039
606.0208,0.04052248,606.0208,0.06964552,606.0208,0.05383135,606.0208,0.07130667
606.5029,0.04136067,606.5029,0.06866311,606.5029,0.05266143,606.5029,0.07095721
606.985,0.04156311,606.985,0.0681184,606.985,0.05183434,606.985,0.07068642
607.4671,0.04114092,607.4671,0.06788656,607.4671,0.05162138,607.4671,0.07058831
607.9492,0.04033421,607.9492,0.06782527,607.9492,0.05205727,607.9492,0.07071963
608.4313,0.03954259,608.4313,0.06778142,608.4313,0.05293577,608.4313,0.07112159
608.9135,0.03917644,608.9135,0.06761514,608.9135,0.05387442,608.9135,0.07182567
609.3956,0.03950047,609.3956,0.06723039,609.3956,0.05448128,609.3956,0.07284567
609.8777,0.04058119,609.8777,0.06659413,609.8777,0.05445401,609.8777,0.07416076
610.3598,0.04225555,610.3598,0.06577523,610.3598,0.05371122,610.3598,0.07569353
610.8419,0.04421834,610.8419,0.06494803,610.8419,0.05240497,610.8419,0.07730734
611.324,0.04608454,611.324,0.06438829,611.324,0.05088273,611.324,0.07880559
611.8062,0.04750665,611.8062,0.06440108,611.8062,0.04956641,611.8062,0.07997321
612.2883,0.04824375,612.2883,0.06521782,612.2883,0.04881015,612.2883,0.08062867
612.7704,0.04814196,612.7704,0.06693175,612.7704,0.04885603,612.7704,0.08064044
613.2525,0.04713968,613.2525,0.06942709,613.2525,0.04976797,613.2525,0.07996178
613.7346,0.04524467,613.7346,0.07240918,613.7346,0.05145445,613.7346,0.07862736
614.2167,0.04253909,614.2167,0.07543904,614.2167,0.05369362,614.2167,0.07674805
614.6989,0.03920361,614.6989,0.07807053,614.6989,0.05619369,614.6989,0.07449315
615.181,0.03553318,615.181,0.07995993,615.181,0.05865366,615.181,0.07206692
615.6631,0.03196195,615.6631,0.08091918,615.6631,0.06079157,615.6631,0.06970622
616.1452,0.02897087,616.1452,0.08096321,616.1452,0.06241579,616.1452,0.06763086
616.6273,0.02699342,616.6273,0.08026209,616.6273,0.06343607,616.6273,0.06601541
617.1094,0.0263212,617.1094,0.07907164,617.1094,0.06385595,617.1094,0.06497118
617.5916,0.02699455,617.5916,0.07762532,617.5916,0.06374642,617.5916,0.06452197
618.0737,0.02880681,618.0737,0.07608142,618.0737,0.06320903,618.0737,0.06461358
618.5558,0.03134534,618.5558,0.0745105,618.5558,0.06235392,618.5558,0.06513169
619.0379,0.03413315,619.0379,0.07291419,619.0379,0.06127895,619.0379,0.06593862
619.52,0.03671457,619.52,0.07127701,619.52,0.06007905,619.52,0.06689101
